trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,22810,0.0-2.0,z0huug32,,,,,,6161.0,66d76c50ae7ee05847ae48e5,66d76c50ae7ee05847ae48e5,,,,,,,,,,,,,,,,,,
introduction,3,27801,0.0-3.0,z0huug32,,,,,,4990.0,66d76c50ae7ee05847ae48e5,66d76c50ae7ee05847ae48e5,,,,,,,,,,,,,,,,,,
introduction,4,33945,0.0-4.0-0.0,z0huug32,,,,,,6143.0,,66d76c50ae7ee05847ae48e5,"[{""page_index"":0,""viewing_time"":1280},{""page_index"":1,""viewing_time"":3440},{""page_index"":2,""viewing_time"":1424}]",,,,,,,,,,,,,,,,,
introduction,5,35833,0.0-5.0-0.0,z0huug32,,,,,,1888.0,1,66d76c50ae7ee05847ae48e5,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,36257,0.0-5.0-0.1,z0huug32,,,,,,423.0,2,66d76c50ae7ee05847ae48e5,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,37809,0.0-5.0-0.2,z0huug32,,,,,,1552.0,1,66d76c50ae7ee05847ae48e5,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,39842,0.0-5.0-0.3,z0huug32,,,,,,2032.0,3,66d76c50ae7ee05847ae48e5,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,40562,0.0-5.0-0.4,z0huug32,,,,,,720.0,2,66d76c50ae7ee05847ae48e5,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,41242,0.0-5.0-0.5,z0huug32,,,,,,679.0,3,66d76c50ae7ee05847ae48e5,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,41705,0.0-5.0-0.6,z0huug32,,,,,,464.0,1,66d76c50ae7ee05847ae48e5,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,42378,0.0-5.0-0.7,z0huug32,,,,,,672.0,2,66d76c50ae7ee05847ae48e5,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,43050,0.0-5.0-0.8,z0huug32,,,,,,672.0,3,66d76c50ae7ee05847ae48e5,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,43729,0.0-5.0-0.9,z0huug32,,,,,,679.0,2,66d76c50ae7ee05847ae48e5,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,44314,0.0-5.0-0.10,z0huug32,,,,,,584.0,1,66d76c50ae7ee05847ae48e5,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,45074,0.0-5.0-0.11,z0huug32,,,,,,760.0,3,66d76c50ae7ee05847ae48e5,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,61873,0.0-6.0-0.0,z0huug32,,,,,,16799.0,,66d76c50ae7ee05847ae48e5,"[{""page_index"":0,""viewing_time"":2359},{""page_index"":1,""viewing_time"":2609},{""page_index"":2,""viewing_time"":9248},{""page_index"":3,""viewing_time"":2584}]",,,,,,,,,,,,,,,,,
introduction,19,77474,0.0-8.0-0.0,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,img/Red_circle.png,2665.0,calibration,,,,,,,,,,,,,,
introduction,20,83034,0.0-8.0-1.0-0.0,z0huug32,,,,,,5559.0,3133,66d76c50ae7ee05847ae48e5,,3133,,calibration,,,,,,,,,,,,,,
introduction,21,85048,0.0-8.0-2.0,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,87715,0.0-8.0-0.1,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,img/Red_circle.png,3213.0,calibration,,,,,,,,,,,,,,
introduction,23,89770,0.0-8.0-1.1-0.1,z0huug32,,,,,,2054.0,2233,66d76c50ae7ee05847ae48e5,,2233,,calibration,,,,,,,,,,,,,,
introduction,24,89770,0.0-8.0-2.1,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,,,,,,,,,,,,,,,,,
introduction,25,91780,0.0-8.0-0.2,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,<p>CAREFUL. That was too slow.</p>,1432.0,calibration,,,,,,,,,,,,,,
introduction,26,93233,0.0-8.0-1.2-0.2,z0huug32,,,,,,1452.0,332,66d76c50ae7ee05847ae48e5,,332,,calibration,,,,,,,,,,,,,,
introduction,27,93233,0.0-8.0-2.2,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,,,,,,,,,,,,,,,,,
introduction,28,94676,0.0-8.0-0.3,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,img/Red_circle.png,3341.0,calibration,,,,,,,,,,,,,,
introduction,29,96393,0.0-8.0-1.3-0.3,z0huug32,,,,,,1716.0,1111,66d76c50ae7ee05847ae48e5,,1111,,calibration,,,,,,,,,,,,,,
introduction,30,96394,0.0-8.0-2.3,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,,,,,,,,,,,,,,,,,
introduction,31,98406,0.0-8.0-0.4,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,<p>CAREFUL. That was too slow.</p>,3431.0,calibration,,,,,,,,,,,,,,
introduction,32,100121,0.0-8.0-1.4-0.4,z0huug32,,,,,,1714.0,1221,66d76c50ae7ee05847ae48e5,,1221,,calibration,,,,,,,,,,,,,,
introduction,33,100122,0.0-8.0-2.4,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,,,,,,,,,,,,,,,,,
introduction,34,102130,0.0-8.0-0.5,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,<p>CAREFUL. That was too slow.</p>,1050.0,calibration,,,,,,,,,,,,,,
introduction,35,104857,0.0-8.0-1.5-0.5,z0huug32,,,,,,2727.0,213,66d76c50ae7ee05847ae48e5,,213,,calibration,,,,,,,,,,,,,,
introduction,36,104858,0.0-8.0-2.5,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,,,,,,,,,,,,,,,,,
introduction,37,105917,0.0-8.0-0.6,z0huug32,,,,,,,,66d76c50ae7ee05847ae48e5,,img/Red_circle.png,1145.0,calibration,,,,,,,,,,,,,,
