trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,32898,0.0-2.0,llnh1wj1,,,,,,17066.0,66d7a4ca0fcf61aba9eb9328,66d7a4ca0fcf61aba9eb9328,,,,,,,,,,,,,,,,,,
introduction,3,37813,0.0-3.0,llnh1wj1,,,,,,4912.0,66d7a4ca0fcf61aba9eb9328,66d7a4ca0fcf61aba9eb9328,,,,,,,,,,,,,,,,,,
introduction,4,245877,0.0-4.0-0.0,llnh1wj1,,,,,,208064.0,,66d7a4ca0fcf61aba9eb9328,"[{""page_index"":0,""viewing_time"":1647},{""page_index"":1,""viewing_time"":204638},{""page_index"":2,""viewing_time"":1778}]",,,,,,,,,,,,,,,,,
introduction,5,246535,0.0-5.0-0.0,llnh1wj1,,,,,,656.0,1,66d7a4ca0fcf61aba9eb9328,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,247172,0.0-5.0-0.1,llnh1wj1,,,,,,636.0,2,66d7a4ca0fcf61aba9eb9328,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,247695,0.0-5.0-0.2,llnh1wj1,,,,,,523.0,1,66d7a4ca0fcf61aba9eb9328,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,248250,0.0-5.0-0.3,llnh1wj1,,,,,,555.0,3,66d7a4ca0fcf61aba9eb9328,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,249077,0.0-5.0-0.4,llnh1wj1,,,,,,826.0,2,66d7a4ca0fcf61aba9eb9328,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,249716,0.0-5.0-0.5,llnh1wj1,,,,,,638.0,3,66d7a4ca0fcf61aba9eb9328,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,250383,0.0-5.0-0.6,llnh1wj1,,,,,,666.0,1,66d7a4ca0fcf61aba9eb9328,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,250951,0.0-5.0-0.7,llnh1wj1,,,,,,568.0,2,66d7a4ca0fcf61aba9eb9328,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,251630,0.0-5.0-0.8,llnh1wj1,,,,,,679.0,3,66d7a4ca0fcf61aba9eb9328,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,252254,0.0-5.0-0.9,llnh1wj1,,,,,,623.0,2,66d7a4ca0fcf61aba9eb9328,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,252812,0.0-5.0-0.10,llnh1wj1,,,,,,558.0,1,66d7a4ca0fcf61aba9eb9328,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,253385,0.0-5.0-0.11,llnh1wj1,,,,,,572.0,3,66d7a4ca0fcf61aba9eb9328,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,258261,0.0-6.0-0.0,llnh1wj1,,,,,,4876.0,,66d7a4ca0fcf61aba9eb9328,"[{""page_index"":0,""viewing_time"":1115},{""page_index"":1,""viewing_time"":779},{""page_index"":2,""viewing_time"":1530},{""page_index"":3,""viewing_time"":1452}]",,,,,,,,,,,,,,,,,
introduction,19,265833,0.0-8.0-0.0,llnh1wj1,,,,,,,,66d7a4ca0fcf61aba9eb9328,,img/Red_circle.png,2879.0,calibration,,,,,,,,,,,,,,
introduction,20,268527,0.0-8.0-1.0-0.0,llnh1wj1,,,,,,2692.0,2133,66d7a4ca0fcf61aba9eb9328,,2133,,calibration,,,,,,,,,,,,,,
introduction,21,268528,0.0-8.0-2.0,llnh1wj1,,,,,,,,66d7a4ca0fcf61aba9eb9328,,,,,,,,,,,,,,,,,,
introduction,22,270531,0.0-8.0-0.1,llnh1wj1,,,,,,,,66d7a4ca0fcf61aba9eb9328,,<p>CAREFUL. That was too slow.</p>,1128.0,calibration,,,,,,,,,,,,,,
introduction,23,272818,0.0-8.0-1.1-0.1,llnh1wj1,,,,,,2285.0,1222,66d7a4ca0fcf61aba9eb9328,,1222,,calibration,,,,,,,,,,,,,,
introduction,24,272819,0.0-8.0-2.1,llnh1wj1,,,,,,,,66d7a4ca0fcf61aba9eb9328,,,,,,,,,,,,,,,,,,
introduction,25,273953,0.0-8.0-0.2,llnh1wj1,,,,,,,,66d7a4ca0fcf61aba9eb9328,,img/Red_circle.png,2287.0,calibration,,,,,,,,,,,,,,
introduction,26,276814,0.0-8.0-1.2-0.2,llnh1wj1,,,,,,2859.0,313,66d7a4ca0fcf61aba9eb9328,,313,,calibration,,,,,,,,,,,,,,
