trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,21368,0.0-2.0,zx8trjl8,,,,,,16246.0,66dce0656e7ac36df7634205,66dce0656e7ac36df7634205,,,,,,,,,,,,,,,,,,
introduction,3,25015,0.0-3.0,zx8trjl8,,,,,,3645.0,66dce0656e7ac36df7634205,66dce0656e7ac36df7634205,,,,,,,,,,,,,,,,,,
introduction,4,46989,0.0-4.0-0.0,zx8trjl8,,,,,,21973.0,,66dce0656e7ac36df7634205,"[{""page_index"":0,""viewing_time"":1267},{""page_index"":1,""viewing_time"":17989},{""page_index"":2,""viewing_time"":2717}]",,,,,,,,,,,,,,,,,
introduction,5,47580,0.0-5.0-0.0,zx8trjl8,,,,,,589.0,1,66dce0656e7ac36df7634205,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,48226,0.0-5.0-0.1,zx8trjl8,,,,,,645.0,2,66dce0656e7ac36df7634205,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,49134,0.0-5.0-0.2,zx8trjl8,,,,,,907.0,1,66dce0656e7ac36df7634205,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,49953,0.0-5.0-0.3,zx8trjl8,,,,,,818.0,3,66dce0656e7ac36df7634205,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,50780,0.0-5.0-0.4,zx8trjl8,,,,,,826.0,2,66dce0656e7ac36df7634205,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,51430,0.0-5.0-0.5,zx8trjl8,,,,,,649.0,3,66dce0656e7ac36df7634205,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,52107,0.0-5.0-0.6,zx8trjl8,,,,,,678.0,1,66dce0656e7ac36df7634205,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,52659,0.0-5.0-0.7,zx8trjl8,,,,,,552.0,2,66dce0656e7ac36df7634205,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,53287,0.0-5.0-0.8,zx8trjl8,,,,,,628.0,3,66dce0656e7ac36df7634205,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,55073,0.0-5.0-0.9,zx8trjl8,,,,,,1786.0,2,66dce0656e7ac36df7634205,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,55998,0.0-5.0-0.10,zx8trjl8,,,,,,923.0,1,66dce0656e7ac36df7634205,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,56874,0.0-5.0-0.11,zx8trjl8,,,,,,876.0,3,66dce0656e7ac36df7634205,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,93337,0.0-6.0-0.0,zx8trjl8,,,,,,36463.0,,66dce0656e7ac36df7634205,"[{""page_index"":0,""viewing_time"":1004},{""page_index"":1,""viewing_time"":8918},{""page_index"":2,""viewing_time"":23502},{""page_index"":3,""viewing_time"":3039}]",,,,,,,,,,,,,,,,,
introduction,19,107565,0.0-8.0-0.0,zx8trjl8,,,,,,,,66dce0656e7ac36df7634205,,img/Red_circle.png,2825.0,calibration,,,,,,,,,,,,,,
introduction,20,109653,0.0-8.0-1.0-0.0,zx8trjl8,,,,,,2086.0,2222,66dce0656e7ac36df7634205,,2222,,calibration,,,,,,,,,,,,,,
introduction,21,109654,0.0-8.0-2.0,zx8trjl8,,,,,,,,66dce0656e7ac36df7634205,,,,,,,,,,,,,,,,,,
introduction,22,111656,0.0-8.0-0.1,zx8trjl8,,,,,,,,66dce0656e7ac36df7634205,,<p>CAREFUL. That was too slow.</p>,1375.0,calibration,,,,,,,,,,,,,,
introduction,23,113153,0.0-8.0-1.1-0.1,zx8trjl8,,,,,,1494.0,121,66dce0656e7ac36df7634205,,121,,calibration,,,,,,,,,,,,,,
