trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,25209,0.0-2.0,bkaamxtb,,,,,,14700.0,66e1f2708b21704eddaf8388,66e1f2708b21704eddaf8388,,,,,,,,,,,,,,,,,,
introduction,3,47192,0.0-3.0,bkaamxtb,,,,,,21980.0,66e1f2708b21704eddaf8388,66e1f2708b21704eddaf8388,,,,,,,,,,,,,,,,,,
introduction,4,50792,0.0-4.0-0.0,bkaamxtb,,,,,,3598.0,,66e1f2708b21704eddaf8388,"[{""page_index"":0,""viewing_time"":1415},{""page_index"":1,""viewing_time"":1368},{""page_index"":2,""viewing_time"":816}]",,,,,,,,,,,,,,,,,
introduction,5,60916,0.0-5.0-0.0,bkaamxtb,,,,,,10122.0,1,66e1f2708b21704eddaf8388,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,61701,0.0-5.0-0.1,bkaamxtb,,,,,,783.0,2,66e1f2708b21704eddaf8388,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,62396,0.0-5.0-0.2,bkaamxtb,,,,,,694.0,1,66e1f2708b21704eddaf8388,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,63218,0.0-5.0-0.3,bkaamxtb,,,,,,820.0,3,66e1f2708b21704eddaf8388,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,63824,0.0-5.0-0.4,bkaamxtb,,,,,,605.0,2,66e1f2708b21704eddaf8388,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,64294,0.0-5.0-0.5,bkaamxtb,,,,,,469.0,3,66e1f2708b21704eddaf8388,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,64826,0.0-5.0-0.6,bkaamxtb,,,,,,531.0,1,66e1f2708b21704eddaf8388,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,65425,0.0-5.0-0.7,bkaamxtb,,,,,,598.0,2,66e1f2708b21704eddaf8388,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,65969,0.0-5.0-0.8,bkaamxtb,,,,,,542.0,3,66e1f2708b21704eddaf8388,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,66954,0.0-5.0-0.9,bkaamxtb,,,,,,984.0,2,66e1f2708b21704eddaf8388,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,67526,0.0-5.0-0.10,bkaamxtb,,,,,,571.0,1,66e1f2708b21704eddaf8388,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,68041,0.0-5.0-0.11,bkaamxtb,,,,,,514.0,3,66e1f2708b21704eddaf8388,,Press: 3,,,,,,,,,,,,,,,,
