trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,68722,0.0-2.0,9n1c1xah,,,,,,63593.0,66e7549ffa6e7b90fd01ce13,66e7549ffa6e7b90fd01ce13,,,,,,,,,,,,,,,,,,
introduction,3,71603,0.0-3.0,9n1c1xah,,,,,,2878.0,66e7549ffa6e7b90fd01ce13,66e7549ffa6e7b90fd01ce13,,,,,,,,,,,,,,,,,,
introduction,4,84598,0.0-4.0-0.0,9n1c1xah,,,,,,12994.0,,66e7549ffa6e7b90fd01ce13,"[{""page_index"":0,""viewing_time"":1432},{""page_index"":1,""viewing_time"":5818},{""page_index"":2,""viewing_time"":5744}]",,,,,,,,,,,,,,,,,
introduction,5,86260,0.0-5.0-0.0,9n1c1xah,,,,,,1661.0,1,66e7549ffa6e7b90fd01ce13,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,86771,0.0-5.0-0.1,9n1c1xah,,,,,,511.0,2,66e7549ffa6e7b90fd01ce13,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,87451,0.0-5.0-0.2,9n1c1xah,,,,,,679.0,1,66e7549ffa6e7b90fd01ce13,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,88059,0.0-5.0-0.3,9n1c1xah,,,,,,607.0,3,66e7549ffa6e7b90fd01ce13,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,88602,0.0-5.0-0.4,9n1c1xah,,,,,,544.0,2,66e7549ffa6e7b90fd01ce13,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,89155,0.0-5.0-0.5,9n1c1xah,,,,,,552.0,3,66e7549ffa6e7b90fd01ce13,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,89690,0.0-5.0-0.6,9n1c1xah,,,,,,536.0,1,66e7549ffa6e7b90fd01ce13,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,90241,0.0-5.0-0.7,9n1c1xah,,,,,,551.0,2,66e7549ffa6e7b90fd01ce13,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,90777,0.0-5.0-0.8,9n1c1xah,,,,,,535.0,3,66e7549ffa6e7b90fd01ce13,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,91345,0.0-5.0-0.9,9n1c1xah,,,,,,568.0,2,66e7549ffa6e7b90fd01ce13,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,91833,0.0-5.0-0.10,9n1c1xah,,,,,,487.0,1,66e7549ffa6e7b90fd01ce13,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,92344,0.0-5.0-0.11,9n1c1xah,,,,,,510.0,3,66e7549ffa6e7b90fd01ce13,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,130409,0.0-6.0-0.0,9n1c1xah,,,,,,38065.0,,66e7549ffa6e7b90fd01ce13,"[{""page_index"":0,""viewing_time"":1741},{""page_index"":1,""viewing_time"":2058},{""page_index"":2,""viewing_time"":29032},{""page_index"":3,""viewing_time"":5234}]",,,,,,,,,,,,,,,,,
introduction,19,158530,0.0-8.0-0.0,9n1c1xah,,,,,,,,66e7549ffa6e7b90fd01ce13,,img/Red_circle.png,2286.0,calibration,,,,,,,,,,,,,,
