trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,77206,0.0-2.0,gv2unvpo,,,,,,24595.0,66f097d9e9ccab0b678f9b4e,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,3,84816,0.0-3.0,gv2unvpo,,,,,,7607.0,66f097d9e9ccab0b678f9b4e,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,4,96373,0.0-4.0-0.0,gv2unvpo,,,,,,11556.0,,66f097d9e9ccab0b678f9b4e,"[{""page_index"":0,""viewing_time"":1236},{""page_index"":1,""viewing_time"":9533},{""page_index"":2,""viewing_time"":787}]",,,,,,,,,,,,,,,,,
introduction,5,98278,0.0-5.0-0.0,gv2unvpo,,,,,,1904.0,1,66f097d9e9ccab0b678f9b4e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,99282,0.0-5.0-0.1,gv2unvpo,,,,,,1003.0,2,66f097d9e9ccab0b678f9b4e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,100325,0.0-5.0-0.2,gv2unvpo,,,,,,1042.0,1,66f097d9e9ccab0b678f9b4e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,101286,0.0-5.0-0.3,gv2unvpo,,,,,,961.0,3,66f097d9e9ccab0b678f9b4e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,102117,0.0-5.0-0.4,gv2unvpo,,,,,,830.0,2,66f097d9e9ccab0b678f9b4e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,103053,0.0-5.0-0.5,gv2unvpo,,,,,,935.0,3,66f097d9e9ccab0b678f9b4e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,103886,0.0-5.0-0.6,gv2unvpo,,,,,,833.0,1,66f097d9e9ccab0b678f9b4e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,104654,0.0-5.0-0.7,gv2unvpo,,,,,,768.0,2,66f097d9e9ccab0b678f9b4e,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,105522,0.0-5.0-0.8,gv2unvpo,,,,,,867.0,3,66f097d9e9ccab0b678f9b4e,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,106264,0.0-5.0-0.9,gv2unvpo,,,,,,741.0,2,66f097d9e9ccab0b678f9b4e,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,106982,0.0-5.0-0.10,gv2unvpo,,,,,,717.0,1,66f097d9e9ccab0b678f9b4e,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,108095,0.0-5.0-0.11,gv2unvpo,,,,,,1113.0,3,66f097d9e9ccab0b678f9b4e,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,122158,0.0-6.0-0.0,gv2unvpo,,,,,,14062.0,,66f097d9e9ccab0b678f9b4e,"[{""page_index"":0,""viewing_time"":1335},{""page_index"":1,""viewing_time"":3014},{""page_index"":2,""viewing_time"":8070},{""page_index"":3,""viewing_time"":1643}]",,,,,,,,,,,,,,,,,
introduction,19,144110,0.0-8.0-0.0,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,2493.0,calibration,,,,,,,,,,,,,,
introduction,20,146358,0.0-8.0-1.0-0.0,gv2unvpo,,,,,,2245.0,13,66f097d9e9ccab0b678f9b4e,,13,,calibration,,,,,,,,,,,,,,
introduction,21,146368,0.0-8.0-2.0,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,22,148373,0.0-8.0-0.1,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,1975.0,calibration,,,,,,,,,,,,,,
introduction,23,150969,0.0-8.0-1.1-0.1,gv2unvpo,,,,,,2594.0,2223,66f097d9e9ccab0b678f9b4e,,2223,,calibration,,,,,,,,,,,,,,
introduction,24,150970,0.0-8.0-2.1,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,25,152947,0.0-8.0-0.2,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,3362.0,calibration,,,,,,,,,,,,,,
introduction,26,155608,0.0-8.0-1.2-0.2,gv2unvpo,,,,,,2658.0,3133,66f097d9e9ccab0b678f9b4e,,3133,,calibration,,,,,,,,,,,,,,
introduction,27,155609,0.0-8.0-2.2,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,28,157610,0.0-8.0-0.3,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,3413.0,calibration,,,,,,,,,,,,,,
introduction,29,159764,0.0-8.0-1.3-0.3,gv2unvpo,,,,,,2151.0,3322,66f097d9e9ccab0b678f9b4e,,3322,,calibration,,,,,,,,,,,,,,
introduction,30,159765,0.0-8.0-2.3,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,31,161777,0.0-8.0-0.4,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,1031.0,calibration,,,,,,,,,,,,,,
introduction,32,164369,0.0-8.0-1.4-0.4,gv2unvpo,,,,,,2589.0,3321,66f097d9e9ccab0b678f9b4e,,3321,,calibration,,,,,,,,,,,,,,
introduction,33,164370,0.0-8.0-2.4,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,34,165405,0.0-8.0-0.5,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,3071.0,calibration,,,,,,,,,,,,,,
introduction,35,167892,0.0-8.0-1.5-0.5,gv2unvpo,,,,,,2485.0,3122,66f097d9e9ccab0b678f9b4e,,3122,,calibration,,,,,,,,,,,,,,
introduction,36,167893,0.0-8.0-2.5,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,37,169906,0.0-8.0-0.6,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,1434.0,calibration,,,,,,,,,,,,,,
introduction,38,171910,0.0-8.0-1.6-0.6,gv2unvpo,,,,,,2001.0,2122,66f097d9e9ccab0b678f9b4e,,2122,,calibration,,,,,,,,,,,,,,
introduction,39,171911,0.0-8.0-2.6,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,40,173351,0.0-8.0-0.7,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,1028.0,calibration,,,,,,,,,,,,,,
introduction,41,175435,0.0-8.0-1.7-0.7,gv2unvpo,,,,,,2082.0,312,66f097d9e9ccab0b678f9b4e,,312,,calibration,,,,,,,,,,,,,,
introduction,42,175436,0.0-8.0-2.7,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,43,176477,0.0-8.0-0.8,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,1093.0,calibration,,,,,,,,,,,,,,
introduction,44,178812,0.0-8.0-1.8-0.8,gv2unvpo,,,,,,2332.0,3122,66f097d9e9ccab0b678f9b4e,,3122,,calibration,,,,,,,,,,,,,,
introduction,45,178813,0.0-8.0-2.8,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,46,179922,0.0-8.0-0.9,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,1756.0,calibration,,,,,,,,,,,,,,
introduction,47,181901,0.0-8.0-1.9-0.9,gv2unvpo,,,,,,1977.0,3222,66f097d9e9ccab0b678f9b4e,,3222,,calibration,,,,,,,,,,,,,,
introduction,48,181902,0.0-8.0-2.9,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,49,183667,0.0-8.0-0.10,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,2709.0,calibration,,,,,,,,,,,,,,
introduction,50,185480,0.0-8.0-1.10-0.10,gv2unvpo,,,,,,1811.0,3122,66f097d9e9ccab0b678f9b4e,,3122,,calibration,,,,,,,,,,,,,,
introduction,51,185481,0.0-8.0-2.10,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,52,187483,0.0-8.0-0.11,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,2163.0,calibration,,,,,,,,,,,,,,
introduction,53,189208,0.0-8.0-1.11-0.11,gv2unvpo,,,,,,1722.0,1121,66f097d9e9ccab0b678f9b4e,,1121,,calibration,,,,,,,,,,,,,,
introduction,54,189209,0.0-8.0-2.11,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,55,191221,0.0-8.0-0.12,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,1606.0,calibration,,,,,,,,,,,,,,
introduction,56,192829,0.0-8.0-1.12-0.12,gv2unvpo,,,,,,1607.0,212,66f097d9e9ccab0b678f9b4e,,212,,calibration,,,,,,,,,,,,,,
introduction,57,192830,0.0-8.0-2.12,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,58,194441,0.0-8.0-0.13,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,1881.0,calibration,,,,,,,,,,,,,,
introduction,59,196163,0.0-8.0-1.13-0.13,gv2unvpo,,,,,,1720.0,1333,66f097d9e9ccab0b678f9b4e,,1333,,calibration,,,,,,,,,,,,,,
introduction,60,196164,0.0-8.0-2.13,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,61,198057,0.0-8.0-0.14,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,3173.0,calibration,,,,,,,,,,,,,,
introduction,62,201203,0.0-8.0-1.14-0.14,gv2unvpo,,,,,,3145.0,3213,66f097d9e9ccab0b678f9b4e,,3213,,calibration,,,,,,,,,,,,,,
introduction,63,201205,0.0-8.0-2.14,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,64,203216,0.0-8.0-0.15,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,1778.0,calibration,,,,,,,,,,,,,,
introduction,65,204878,0.0-8.0-1.15-0.15,gv2unvpo,,,,,,1660.0,332,66f097d9e9ccab0b678f9b4e,,332,,calibration,,,,,,,,,,,,,,
introduction,66,204879,0.0-8.0-2.15,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,67,206660,0.0-8.0-0.16,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,2313.0,calibration,,,,,,,,,,,,,,
introduction,68,208492,0.0-8.0-1.16-0.16,gv2unvpo,,,,,,1829.0,2112,66f097d9e9ccab0b678f9b4e,,2112,,calibration,,,,,,,,,,,,,,
introduction,69,208493,0.0-8.0-2.16,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,70,210497,0.0-8.0-0.17,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,2621.0,calibration,,,,,,,,,,,,,,
introduction,71,212544,0.0-8.0-1.17-0.17,gv2unvpo,,,,,,2045.0,2213,66f097d9e9ccab0b678f9b4e,,2213,,calibration,,,,,,,,,,,,,,
introduction,72,212545,0.0-8.0-2.17,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,73,214549,0.0-8.0-0.18,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,2622.0,calibration,,,,,,,,,,,,,,
introduction,74,216674,0.0-8.0-1.18-0.18,gv2unvpo,,,,,,2123.0,3323,66f097d9e9ccab0b678f9b4e,,3323,,calibration,,,,,,,,,,,,,,
introduction,75,216675,0.0-8.0-2.18,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,76,218682,0.0-8.0-0.19,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,3301.0,calibration,,,,,,,,,,,,,,
introduction,77,220575,0.0-8.0-1.19-0.19,gv2unvpo,,,,,,1892.0,1222,66f097d9e9ccab0b678f9b4e,,1222,,calibration,,,,,,,,,,,,,,
introduction,78,220576,0.0-8.0-2.19,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,79,222590,0.0-8.0-0.20,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,3275.0,calibration,,,,,,,,,,,,,,
introduction,80,224303,0.0-8.0-1.20-0.20,gv2unvpo,,,,,,1711.0,1222,66f097d9e9ccab0b678f9b4e,,1222,,calibration,,,,,,,,,,,,,,
introduction,81,224305,0.0-8.0-2.20,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,82,226318,0.0-8.0-0.21,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,1565.0,calibration,,,,,,,,,,,,,,
introduction,83,227820,0.0-8.0-1.21-0.21,gv2unvpo,,,,,,1500.0,123,66f097d9e9ccab0b678f9b4e,,123,,calibration,,,,,,,,,,,,,,
introduction,84,227821,0.0-8.0-2.21,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,85,229394,0.0-8.0-0.22,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,3053.0,calibration,,,,,,,,,,,,,,
introduction,86,230708,0.0-8.0-1.22-0.22,gv2unvpo,,,,,,1312.0,222,66f097d9e9ccab0b678f9b4e,,222,,calibration,,,,,,,,,,,,,,
introduction,87,230709,0.0-8.0-2.22,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,88,232720,0.0-8.0-0.23,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,1699.0,calibration,,,,,,,,,,,,,,
introduction,89,234437,0.0-8.0-1.23-0.23,gv2unvpo,,,,,,1715.0,2122,66f097d9e9ccab0b678f9b4e,,2122,,calibration,,,,,,,,,,,,,,
introduction,90,234438,0.0-8.0-2.23,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,91,236153,0.0-8.0-0.24,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,1464.0,calibration,,,,,,,,,,,,,,
introduction,92,237848,0.0-8.0-1.24-0.24,gv2unvpo,,,,,,1694.0,331,66f097d9e9ccab0b678f9b4e,,331,,calibration,,,,,,,,,,,,,,
introduction,93,237850,0.0-8.0-2.24,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,94,239320,0.0-8.0-0.25,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,1834.0,calibration,,,,,,,,,,,,,,
introduction,95,240860,0.0-8.0-1.25-0.25,gv2unvpo,,,,,,1537.0,31,66f097d9e9ccab0b678f9b4e,,31,,calibration,,,,,,,,,,,,,,
introduction,96,240861,0.0-8.0-2.25,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,97,242703,0.0-8.0-0.26,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,2531.0,calibration,,,,,,,,,,,,,,
introduction,98,244087,0.0-8.0-1.26-0.26,gv2unvpo,,,,,,1382.0,112,66f097d9e9ccab0b678f9b4e,,112,,calibration,,,,,,,,,,,,,,
introduction,99,244088,0.0-8.0-2.26,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,100,246103,0.0-8.0-0.27,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,1311.0,calibration,,,,,,,,,,,,,,
introduction,101,248350,0.0-8.0-1.27-0.27,gv2unvpo,,,,,,2245.0,3132,66f097d9e9ccab0b678f9b4e,,3132,,calibration,,,,,,,,,,,,,,
introduction,102,248351,0.0-8.0-2.27,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,103,249666,0.0-8.0-0.28,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,3276.0,calibration,,,,,,,,,,,,,,
introduction,104,251402,0.0-8.0-1.28-0.28,gv2unvpo,,,,,,1734.0,2221,66f097d9e9ccab0b678f9b4e,,2221,,calibration,,,,,,,,,,,,,,
introduction,105,251403,0.0-8.0-2.28,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,106,253416,0.0-8.0-0.29,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,2060.0,calibration,,,,,,,,,,,,,,
introduction,107,255175,0.0-8.0-1.29-0.29,gv2unvpo,,,,,,1756.0,2212,66f097d9e9ccab0b678f9b4e,,2212,,calibration,,,,,,,,,,,,,,
introduction,108,255176,0.0-8.0-2.29,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,109,257187,0.0-8.0-0.30,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,<p>CAREFUL. That was too slow.</p>,2087.0,calibration,,,,,,,,,,,,,,
introduction,110,258598,0.0-8.0-1.30-0.30,gv2unvpo,,,,,,1408.0,221,66f097d9e9ccab0b678f9b4e,,221,,calibration,,,,,,,,,,,,,,
introduction,111,258600,0.0-8.0-2.30,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
introduction,113,369433,0.0-10.0,gv2unvpo,,,,,,109820.0,,66f097d9e9ccab0b678f9b4e,"[{""page_index"":0,""viewing_time"":45837},{""page_index"":1,""viewing_time"":18360},{""page_index"":2,""viewing_time"":6549},{""page_index"":3,""viewing_time"":8916},{""page_index"":4,""viewing_time"":7891},{""page_index"":5,""viewing_time"":3165},{""page_index"":6,""viewing_time"":11797},{""page_index"":7,""viewing_time"":4853},{""page_index"":8,""viewing_time"":2452}]",,,,,,,,,,,,,,,,,
Red,114,371537,0.0-11.0-0.0,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,img/Red_circle.png,1286.0,,,,,,,,,,,,,,,
Green,115,375985,0.0-11.0-1.0-0.0,gv2unvpo,,,,,,4445.0,1121,66f097d9e9ccab0b678f9b4e,,1121,,PR,performance,,,,,,,,,,,,,
introduction,116,375987,0.0-11.0-2.0,gv2unvpo,,,,,,,,66f097d9e9ccab0b678f9b4e,,,,,,,,,,,,,,,,,,
