trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8368,0.0-2.0,dcfjr0gv,,,,,,3907.0,66f2b9096375da22b55e03fb,66f2b9096375da22b55e03fb,,,,,,,,,,,,,,,,,,
introduction,3,11484,0.0-3.0,dcfjr0gv,,,,,,3113.0,66f2b9096375da22b55e03fb,66f2b9096375da22b55e03fb,,,,,,,,,,,,,,,,,,
introduction,4,16666,0.0-4.0-0.0,dcfjr0gv,,,,,,5181.0,,66f2b9096375da22b55e03fb,"[{""page_index"":0,""viewing_time"":864},{""page_index"":1,""viewing_time"":3350},{""page_index"":2,""viewing_time"":967}]",,,,,,,,,,,,,,,,,
introduction,5,17099,0.0-5.0-0.0,dcfjr0gv,,,,,,431.0,1,66f2b9096375da22b55e03fb,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,17837,0.0-5.0-0.1,dcfjr0gv,,,,,,737.0,2,66f2b9096375da22b55e03fb,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,18802,0.0-5.0-0.2,dcfjr0gv,,,,,,964.0,1,66f2b9096375da22b55e03fb,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,19487,0.0-5.0-0.3,dcfjr0gv,,,,,,685.0,3,66f2b9096375da22b55e03fb,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,20508,0.0-5.0-0.4,dcfjr0gv,,,,,,1020.0,2,66f2b9096375da22b55e03fb,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,21362,0.0-5.0-0.5,dcfjr0gv,,,,,,853.0,3,66f2b9096375da22b55e03fb,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22097,0.0-5.0-0.6,dcfjr0gv,,,,,,734.0,1,66f2b9096375da22b55e03fb,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,22905,0.0-5.0-0.7,dcfjr0gv,,,,,,808.0,2,66f2b9096375da22b55e03fb,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,23634,0.0-5.0-0.8,dcfjr0gv,,,,,,728.0,3,66f2b9096375da22b55e03fb,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,24374,0.0-5.0-0.9,dcfjr0gv,,,,,,740.0,2,66f2b9096375da22b55e03fb,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,25038,0.0-5.0-0.10,dcfjr0gv,,,,,,663.0,1,66f2b9096375da22b55e03fb,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,25884,0.0-5.0-0.11,dcfjr0gv,,,,,,845.0,3,66f2b9096375da22b55e03fb,,Press: 3,,,,,,,,,,,,,,,,
