trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,9212,0.0-2.0,nw368amw,,,,,,5246.0,66f578343a3ef5afed111fb9,66f578343a3ef5afed111fb9,,,,,,,,,,,,,,,,,,
introduction,3,12899,0.0-3.0,nw368amw,,,,,,3670.0,66f578343a3ef5afed111fb9,66f578343a3ef5afed111fb9,,,,,,,,,,,,,,,,,,
introduction,4,23961,0.0-4.0-0.0,nw368amw,,,,,,11060.0,,66f578343a3ef5afed111fb9,"[{""page_index"":0,""viewing_time"":1428},{""page_index"":1,""viewing_time"":7917},{""page_index"":2,""viewing_time"":1712}]",,,,,,,,,,,,,,,,,
introduction,5,24991,0.0-5.0-0.0,nw368amw,,,,,,1024.0,1,66f578343a3ef5afed111fb9,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,25803,0.0-5.0-0.1,nw368amw,,,,,,808.0,2,66f578343a3ef5afed111fb9,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,27012,0.0-5.0-0.2,nw368amw,,,,,,1204.0,1,66f578343a3ef5afed111fb9,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,27993,0.0-5.0-0.3,nw368amw,,,,,,977.0,3,66f578343a3ef5afed111fb9,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,28884,0.0-5.0-0.4,nw368amw,,,,,,888.0,2,66f578343a3ef5afed111fb9,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,29728,0.0-5.0-0.5,nw368amw,,,,,,841.0,3,66f578343a3ef5afed111fb9,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,30391,0.0-5.0-0.6,nw368amw,,,,,,659.0,1,66f578343a3ef5afed111fb9,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,31056,0.0-5.0-0.7,nw368amw,,,,,,661.0,2,66f578343a3ef5afed111fb9,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,31675,0.0-5.0-0.8,nw368amw,,,,,,615.0,3,66f578343a3ef5afed111fb9,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,32445,0.0-5.0-0.9,nw368amw,,,,,,767.0,2,66f578343a3ef5afed111fb9,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,33060,0.0-5.0-0.10,nw368amw,,,,,,611.0,1,66f578343a3ef5afed111fb9,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,33912,0.0-5.0-0.11,nw368amw,,,,,,847.0,3,66f578343a3ef5afed111fb9,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,57360,0.0-6.0-0.0,nw368amw,,,,,,23446.0,,66f578343a3ef5afed111fb9,"[{""page_index"":0,""viewing_time"":1753},{""page_index"":1,""viewing_time"":3818},{""page_index"":2,""viewing_time"":15504},{""page_index"":3,""viewing_time"":2370}]",,,,,,,,,,,,,,,,,
introduction,19,85632,0.0-8.0-0.0,nw368amw,,,,,,,,66f578343a3ef5afed111fb9,,img/Red_circle.png,3046.0,calibration,,,,,,,,,,,,,,
introduction,20,89097,0.0-8.0-1.0-0.0,nw368amw,,,,,,3451.0,2333,66f578343a3ef5afed111fb9,,2333,,calibration,,,,,,,,,,,,,,
introduction,21,89103,0.0-8.0-2.0,nw368amw,,,,,,,,66f578343a3ef5afed111fb9,,,,,,,,,,,,,,,,,,
introduction,22,91105,0.0-8.0-0.1,nw368amw,,,,,,,,66f578343a3ef5afed111fb9,,<p>CAREFUL. That was too slow.</p>,1732.0,calibration,,,,,,,,,,,,,,
introduction,23,94079,0.0-8.0-1.1-0.1,nw368amw,,,,,,2961.0,3122,66f578343a3ef5afed111fb9,,3122,,calibration,,,,,,,,,,,,,,
introduction,24,94084,0.0-8.0-2.1,nw368amw,,,,,,,,66f578343a3ef5afed111fb9,,,,,,,,,,,,,,,,,,
introduction,25,95821,0.0-8.0-0.2,nw368amw,,,,,,,,66f578343a3ef5afed111fb9,,img/Red_circle.png,3260.0,calibration,,,,,,,,,,,,,,
introduction,26,99316,0.0-8.0-1.2-0.2,nw368amw,,,,,,3481.0,1131,66f578343a3ef5afed111fb9,,1131,,calibration,,,,,,,,,,,,,,
introduction,27,99320,0.0-8.0-2.2,nw368amw,,,,,,,,66f578343a3ef5afed111fb9,,,,,,,,,,,,,,,,,,
introduction,28,101320,0.0-8.0-0.3,nw368amw,,,,,,,,66f578343a3ef5afed111fb9,,<p>CAREFUL. That was too slow.</p>,1373.0,calibration,,,,,,,,,,,,,,
introduction,29,104677,0.0-8.0-1.3-0.3,nw368amw,,,,,,3347.0,3313,66f578343a3ef5afed111fb9,,3313,,calibration,,,,,,,,,,,,,,
introduction,30,104680,0.0-8.0-2.3,nw368amw,,,,,,,,66f578343a3ef5afed111fb9,,,,,,,,,,,,,,,,,,
introduction,31,106059,0.0-8.0-0.4,nw368amw,,,,,,,,66f578343a3ef5afed111fb9,,img/Red_circle.png,2304.0,calibration,,,,,,,,,,,,,,
introduction,32,108961,0.0-8.0-1.4-0.4,nw368amw,,,,,,2886.0,3232,66f578343a3ef5afed111fb9,,3232,,calibration,,,,,,,,,,,,,,
introduction,33,108964,0.0-8.0-2.4,nw368amw,,,,,,,,66f578343a3ef5afed111fb9,,,,,,,,,,,,,,,,,,
introduction,34,110966,0.0-8.0-0.5,nw368amw,,,,,,,,66f578343a3ef5afed111fb9,,<p>CAREFUL. That was too slow.</p>,1516.0,calibration,,,,,,,,,,,,,,
introduction,35,113382,0.0-8.0-1.5-0.5,nw368amw,,,,,,2401.0,1133,66f578343a3ef5afed111fb9,,1133,,calibration,,,,,,,,,,,,,,
introduction,36,113385,0.0-8.0-2.5,nw368amw,,,,,,,,66f578343a3ef5afed111fb9,,,,,,,,,,,,,,,,,,
