trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10554,0.0-2.0,zkycjy61,,,,,,8082.0,66f6dfde93de2c0d7eaf463f,66f6dfde93de2c0d7eaf463f,,,,,,,,,,,,,,,,,,
introduction,3,13920,0.0-3.0,zkycjy61,,,,,,3360.0,66f6dfde93de2c0d7eaf463f,66f6dfde93de2c0d7eaf463f,,,,,,,,,,,,,,,,,,
introduction,4,23512,0.0-4.0-0.0,zkycjy61,,,,,,9591.0,,66f6dfde93de2c0d7eaf463f,"[{""page_index"":0,""viewing_time"":1215},{""page_index"":1,""viewing_time"":7360},{""page_index"":2,""viewing_time"":1016}]",,,,,,,,,,,,,,,,,
introduction,5,24067,0.0-5.0-0.0,zkycjy61,,,,,,553.0,1,66f6dfde93de2c0d7eaf463f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,24537,0.0-5.0-0.1,zkycjy61,,,,,,469.0,2,66f6dfde93de2c0d7eaf463f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,25120,0.0-5.0-0.2,zkycjy61,,,,,,582.0,1,66f6dfde93de2c0d7eaf463f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,25679,0.0-5.0-0.3,zkycjy61,,,,,,558.0,3,66f6dfde93de2c0d7eaf463f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,26185,0.0-5.0-0.4,zkycjy61,,,,,,505.0,2,66f6dfde93de2c0d7eaf463f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,26739,0.0-5.0-0.5,zkycjy61,,,,,,553.0,3,66f6dfde93de2c0d7eaf463f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,27264,0.0-5.0-0.6,zkycjy61,,,,,,524.0,1,66f6dfde93de2c0d7eaf463f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,27761,0.0-5.0-0.7,zkycjy61,,,,,,496.0,2,66f6dfde93de2c0d7eaf463f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,28313,0.0-5.0-0.8,zkycjy61,,,,,,550.0,3,66f6dfde93de2c0d7eaf463f,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,28937,0.0-5.0-0.9,zkycjy61,,,,,,623.0,2,66f6dfde93de2c0d7eaf463f,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,29465,0.0-5.0-0.10,zkycjy61,,,,,,527.0,1,66f6dfde93de2c0d7eaf463f,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,30072,0.0-5.0-0.11,zkycjy61,,,,,,606.0,3,66f6dfde93de2c0d7eaf463f,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,52568,0.0-6.0-0.0,zkycjy61,,,,,,22496.0,,66f6dfde93de2c0d7eaf463f,"[{""page_index"":0,""viewing_time"":1896},{""page_index"":1,""viewing_time"":2672},{""page_index"":2,""viewing_time"":15159},{""page_index"":3,""viewing_time"":2769}]",,,,,,,,,,,,,,,,,
introduction,19,69186,0.0-8.0-0.0,zkycjy61,,,,,,,,66f6dfde93de2c0d7eaf463f,,img/Red_circle.png,2028.0,calibration,,,,,,,,,,,,,,
introduction,20,71303,0.0-8.0-1.0-0.0,zkycjy61,,,,,,2111.0,1311,66f6dfde93de2c0d7eaf463f,,1311,,calibration,,,,,,,,,,,,,,
introduction,21,71305,0.0-8.0-2.0,zkycjy61,,,,,,,,66f6dfde93de2c0d7eaf463f,,,,,,,,,,,,,,,,,,
introduction,22,73317,0.0-8.0-0.1,zkycjy61,,,,,,,,66f6dfde93de2c0d7eaf463f,,<p>CAREFUL. That was too slow.</p>,3475.0,calibration,,,,,,,,,,,,,,
introduction,23,75048,0.0-8.0-1.1-0.1,zkycjy61,,,,,,1726.0,3222,66f6dfde93de2c0d7eaf463f,,3222,,calibration,,,,,,,,,,,,,,
introduction,24,75048,0.0-8.0-2.1,zkycjy61,,,,,,,,66f6dfde93de2c0d7eaf463f,,,,,,,,,,,,,,,,,,
introduction,25,77054,0.0-8.0-0.2,zkycjy61,,,,,,,,66f6dfde93de2c0d7eaf463f,,<p>CAREFUL. That was too slow.</p>,2722.0,calibration,,,,,,,,,,,,,,
introduction,26,78608,0.0-8.0-1.2-0.2,zkycjy61,,,,,,1550.0,1112,66f6dfde93de2c0d7eaf463f,,1112,,calibration,,,,,,,,,,,,,,
