trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,38780,0.0-2.0,vlgfwvpm,,,,,,5045.0,6706af217ea3142dd07d1e83,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,3,43732,0.0-3.0,vlgfwvpm,,,,,,4950.0,6706af217ea3142dd07d1e83,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,4,51139,0.0-4.0-0.0,vlgfwvpm,,,,,,7407.0,,6706af217ea3142dd07d1e83,"[{""page_index"":0,""viewing_time"":1695},{""page_index"":1,""viewing_time"":4360},{""page_index"":2,""viewing_time"":1352}]",,,,,,,,,,,,,,,,,
introduction,5,52778,0.0-5.0-0.0,vlgfwvpm,,,,,,1637.0,1,6706af217ea3142dd07d1e83,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,53816,0.0-5.0-0.1,vlgfwvpm,,,,,,1038.0,2,6706af217ea3142dd07d1e83,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,54981,0.0-5.0-0.2,vlgfwvpm,,,,,,1165.0,1,6706af217ea3142dd07d1e83,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,56001,0.0-5.0-0.3,vlgfwvpm,,,,,,1019.0,3,6706af217ea3142dd07d1e83,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,56949,0.0-5.0-0.4,vlgfwvpm,,,,,,948.0,2,6706af217ea3142dd07d1e83,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,58090,0.0-5.0-0.5,vlgfwvpm,,,,,,1140.0,3,6706af217ea3142dd07d1e83,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,58882,0.0-5.0-0.6,vlgfwvpm,,,,,,792.0,1,6706af217ea3142dd07d1e83,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,59597,0.0-5.0-0.7,vlgfwvpm,,,,,,715.0,2,6706af217ea3142dd07d1e83,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,60360,0.0-5.0-0.8,vlgfwvpm,,,,,,762.0,3,6706af217ea3142dd07d1e83,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,61125,0.0-5.0-0.9,vlgfwvpm,,,,,,765.0,2,6706af217ea3142dd07d1e83,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,61696,0.0-5.0-0.10,vlgfwvpm,,,,,,570.0,1,6706af217ea3142dd07d1e83,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,62654,0.0-5.0-0.11,vlgfwvpm,,,,,,958.0,3,6706af217ea3142dd07d1e83,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,102300,0.0-6.0-0.0,vlgfwvpm,,,,,,39646.0,,6706af217ea3142dd07d1e83,"[{""page_index"":0,""viewing_time"":1653},{""page_index"":1,""viewing_time"":8296},{""page_index"":2,""viewing_time"":28199},{""page_index"":3,""viewing_time"":1497}]",,,,,,,,,,,,,,,,,
introduction,19,142464,0.0-8.0-0.0,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,img/Red_circle.png,2585.0,calibration,,,,,,,,,,,,,,
introduction,20,146995,0.0-8.0-1.0-0.0,vlgfwvpm,,,,,,4528.0,1231,6706af217ea3142dd07d1e83,,1213,,calibration,,,,,,,,,,,,,,
introduction,21,154157,0.0-8.0-1.1-0.1,vlgfwvpm,,,,,,7158.0,1213,6706af217ea3142dd07d1e83,,1213,,calibration,,,,,,,,,,,,,,
introduction,22,156166,0.0-8.0-2.0,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,23,158760,0.0-8.0-0.1,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,img/Red_circle.png,3250.0,calibration,,,,,,,,,,,,,,
introduction,24,161799,0.0-8.0-1.2-0.2,vlgfwvpm,,,,,,3036.0,3223,6706af217ea3142dd07d1e83,,3223,,calibration,,,,,,,,,,,,,,
introduction,25,161799,0.0-8.0-2.1,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,26,163807,0.0-8.0-0.2,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,<p>CAREFUL. That was too slow.</p>,2434.0,calibration,,,,,,,,,,,,,,
introduction,27,165951,0.0-8.0-1.3-0.3,vlgfwvpm,,,,,,2141.0,13,6706af217ea3142dd07d1e83,,13,,calibration,,,,,,,,,,,,,,
introduction,28,165951,0.0-8.0-2.2,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,29,167980,0.0-8.0-0.3,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,<p>CAREFUL. That was too slow.</p>,2200.0,calibration,,,,,,,,,,,,,,
introduction,30,170172,0.0-8.0-1.4-0.4,vlgfwvpm,,,,,,2190.0,211,6706af217ea3142dd07d1e83,,211,,calibration,,,,,,,,,,,,,,
introduction,31,170173,0.0-8.0-2.3,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,32,172182,0.0-8.0-0.4,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,<p>CAREFUL. That was too slow.</p>,3472.0,calibration,,,,,,,,,,,,,,
introduction,33,175101,0.0-8.0-1.5-0.5,vlgfwvpm,,,,,,2917.0,3321,6706af217ea3142dd07d1e83,,3321,,calibration,,,,,,,,,,,,,,
introduction,34,175102,0.0-8.0-2.4,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,35,177105,0.0-8.0-0.5,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,<p>CAREFUL. That was too slow.</p>,3110.0,calibration,,,,,,,,,,,,,,
introduction,36,179409,0.0-8.0-1.6-0.6,vlgfwvpm,,,,,,2302.0,311,6706af217ea3142dd07d1e83,,311,,calibration,,,,,,,,,,,,,,
introduction,37,179410,0.0-8.0-2.5,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,38,181417,0.0-8.0-0.6,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,<p>CAREFUL. That was too slow.</p>,1488.0,calibration,,,,,,,,,,,,,,
introduction,39,183820,0.0-8.0-1.7-0.7,vlgfwvpm,,,,,,2402.0,1211,6706af217ea3142dd07d1e83,,1211,,calibration,,,,,,,,,,,,,,
introduction,40,183821,0.0-8.0-2.6,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,41,185323,0.0-8.0-0.7,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,img/Red_circle.png,1005.0,calibration,,,,,,,,,,,,,,
introduction,42,187715,0.0-8.0-1.8-0.8,vlgfwvpm,,,,,,2390.0,1223,6706af217ea3142dd07d1e83,,1223,,calibration,,,,,,,,,,,,,,
introduction,43,187716,0.0-8.0-2.7,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,44,188745,0.0-8.0-0.8,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,img/Red_circle.png,1327.0,calibration,,,,,,,,,,,,,,
introduction,45,190868,0.0-8.0-1.9-0.9,vlgfwvpm,,,,,,2122.0,1132,6706af217ea3142dd07d1e83,,1132,,calibration,,,,,,,,,,,,,,
introduction,46,190870,0.0-8.0-2.8,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,47,192229,0.0-8.0-0.9,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,img/Red_circle.png,2914.0,calibration,,,,,,,,,,,,,,
introduction,48,194390,0.0-8.0-1.10-0.10,vlgfwvpm,,,,,,2159.0,111,6706af217ea3142dd07d1e83,,111,,calibration,,,,,,,,,,,,,,
introduction,49,194391,0.0-8.0-2.9,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,50,196401,0.0-8.0-0.10,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,<p>CAREFUL. That was too slow.</p>,3226.0,calibration,,,,,,,,,,,,,,
introduction,51,199437,0.0-8.0-1.11-0.11,vlgfwvpm,,,,,,3034.0,2321,6706af217ea3142dd07d1e83,,2321,,calibration,,,,,,,,,,,,,,
introduction,52,199438,0.0-8.0-2.10,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,53,201449,0.0-8.0-0.11,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,<p>CAREFUL. That was too slow.</p>,1290.0,calibration,,,,,,,,,,,,,,
introduction,54,203669,0.0-8.0-1.12-0.12,vlgfwvpm,,,,,,2218.0,1222,6706af217ea3142dd07d1e83,,1222,,calibration,,,,,,,,,,,,,,
introduction,55,203670,0.0-8.0-2.11,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,56,204963,0.0-8.0-0.12,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,img/Red_circle.png,2988.0,calibration,,,,,,,,,,,,,,
introduction,57,207490,0.0-8.0-1.13-0.13,vlgfwvpm,,,,,,2524.0,1123,6706af217ea3142dd07d1e83,,1123,,calibration,,,,,,,,,,,,,,
introduction,58,207491,0.0-8.0-2.12,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,,,,,,,,,,,,,,,,,
introduction,59,209496,0.0-8.0-0.13,vlgfwvpm,,,,,,,,6706af217ea3142dd07d1e83,,<p>CAREFUL. That was too slow.</p>,1980.0,calibration,,,,,,,,,,,,,,
introduction,60,212104,0.0-8.0-1.14-0.14,vlgfwvpm,,,,,,2606.0,3213,6706af217ea3142dd07d1e83,,3213,,calibration,,,,,,,,,,,,,,
