trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,11098,0.0-2.0,2xez3jfu,,,,,,6678.0,67104c7deff954cb22438402,67104c7deff954cb22438402,,,,,,,,,,,,,,,,,,
introduction,3,22706,0.0-3.0,2xez3jfu,,,,,,11606.0,67104c7deff954cb22438402,67104c7deff954cb22438402,,,,,,,,,,,,,,,,,,
introduction,4,32912,0.0-4.0-0.0,2xez3jfu,,,,,,10206.0,,67104c7deff954cb22438402,"[{""page_index"":0,""viewing_time"":1766},{""page_index"":1,""viewing_time"":6555},{""page_index"":2,""viewing_time"":1883}]",,,,,,,,,,,,,,,,,
introduction,5,33808,0.0-5.0-0.0,2xez3jfu,,,,,,895.0,1,67104c7deff954cb22438402,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,34569,0.0-5.0-0.1,2xez3jfu,,,,,,760.0,2,67104c7deff954cb22438402,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,35532,0.0-5.0-0.2,2xez3jfu,,,,,,963.0,1,67104c7deff954cb22438402,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,36322,0.0-5.0-0.3,2xez3jfu,,,,,,789.0,3,67104c7deff954cb22438402,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,37055,0.0-5.0-0.4,2xez3jfu,,,,,,733.0,2,67104c7deff954cb22438402,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,37621,0.0-5.0-0.5,2xez3jfu,,,,,,565.0,3,67104c7deff954cb22438402,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,38149,0.0-5.0-0.6,2xez3jfu,,,,,,527.0,1,67104c7deff954cb22438402,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,38810,0.0-5.0-0.7,2xez3jfu,,,,,,661.0,2,67104c7deff954cb22438402,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,39307,0.0-5.0-0.8,2xez3jfu,,,,,,497.0,3,67104c7deff954cb22438402,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,40000,0.0-5.0-0.9,2xez3jfu,,,,,,692.0,2,67104c7deff954cb22438402,,Press: 2,,,,,,,,,,,,,,,,
