trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,2672839,0.0-2.0,4h6b8vrn,,,,,,2648109.0,6712d8f45f5cfb988ba2677b,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,3,2676646,0.0-3.0,4h6b8vrn,,,,,,3803.0,6712d8f45f5cfb988ba2677b,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,4,2679125,0.0-4.0-0.0,4h6b8vrn,,,,,,2479.0,,6712d8f45f5cfb988ba2677b,"[{""page_index"":0,""viewing_time"":975},{""page_index"":1,""viewing_time"":792},{""page_index"":2,""viewing_time"":712}]",,,,,,,,,,,,,,,,,
introduction,5,2997749,0.0-5.0-0.0,4h6b8vrn,,,,,,318622.0,1,6712d8f45f5cfb988ba2677b,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,2998579,0.0-5.0-0.1,4h6b8vrn,,,,,,828.0,2,6712d8f45f5cfb988ba2677b,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,2999357,0.0-5.0-0.2,4h6b8vrn,,,,,,776.0,1,6712d8f45f5cfb988ba2677b,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,3000314,0.0-5.0-0.3,4h6b8vrn,,,,,,957.0,3,6712d8f45f5cfb988ba2677b,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,3001002,0.0-5.0-0.4,4h6b8vrn,,,,,,687.0,2,6712d8f45f5cfb988ba2677b,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,3001733,0.0-5.0-0.5,4h6b8vrn,,,,,,729.0,3,6712d8f45f5cfb988ba2677b,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,3002439,0.0-5.0-0.6,4h6b8vrn,,,,,,705.0,1,6712d8f45f5cfb988ba2677b,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,3003672,0.0-5.0-0.7,4h6b8vrn,,,,,,1232.0,2,6712d8f45f5cfb988ba2677b,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,3004480,0.0-5.0-0.8,4h6b8vrn,,,,,,807.0,3,6712d8f45f5cfb988ba2677b,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,3005312,0.0-5.0-0.9,4h6b8vrn,,,,,,831.0,2,6712d8f45f5cfb988ba2677b,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,3005981,0.0-5.0-0.10,4h6b8vrn,,,,,,668.0,1,6712d8f45f5cfb988ba2677b,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,3006833,0.0-5.0-0.11,4h6b8vrn,,,,,,851.0,3,6712d8f45f5cfb988ba2677b,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,3010181,0.0-6.0-0.0,4h6b8vrn,,,,,,3348.0,,6712d8f45f5cfb988ba2677b,"[{""page_index"":0,""viewing_time"":1012},{""page_index"":1,""viewing_time"":703},{""page_index"":2,""viewing_time"":928},{""page_index"":3,""viewing_time"":704}]",,,,,,,,,,,,,,,,,
introduction,19,3018747,0.0-8.0-0.0,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,2026.0,calibration,,,,,,,,,,,,,,
introduction,20,3020961,0.0-8.0-1.0-0.0,4h6b8vrn,,,,,,2210.0,2323,6712d8f45f5cfb988ba2677b,,2323,,calibration,,,,,,,,,,,,,,
introduction,21,3020963,0.0-8.0-2.0,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,22,3022967,0.0-8.0-0.1,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,1102.0,calibration,,,,,,,,,,,,,,
introduction,23,3025801,0.0-8.0-1.1-0.1,4h6b8vrn,,,,,,2831.0,3111,6712d8f45f5cfb988ba2677b,,3111,,calibration,,,,,,,,,,,,,,
introduction,24,3025802,0.0-8.0-2.1,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,25,3026917,0.0-8.0-0.2,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,1674.0,calibration,,,,,,,,,,,,,,
introduction,26,3029489,0.0-8.0-1.2-0.2,4h6b8vrn,,,,,,2568.0,3212,6712d8f45f5cfb988ba2677b,,3212,,calibration,,,,,,,,,,,,,,
introduction,27,3029490,0.0-8.0-2.2,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,28,3031171,0.0-8.0-0.3,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,1674.0,calibration,,,,,,,,,,,,,,
introduction,29,3033640,0.0-8.0-1.3-0.3,4h6b8vrn,,,,,,2464.0,2331,6712d8f45f5cfb988ba2677b,,2331,,calibration,,,,,,,,,,,,,,
introduction,30,3033642,0.0-8.0-2.3,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,31,3035326,0.0-8.0-0.4,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,1384.0,calibration,,,,,,,,,,,,,,
introduction,32,3037179,0.0-8.0-1.4-0.4,4h6b8vrn,,,,,,1849.0,3331,6712d8f45f5cfb988ba2677b,,3331,,calibration,,,,,,,,,,,,,,
introduction,33,3037180,0.0-8.0-2.4,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,34,3038576,0.0-8.0-0.5,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,1089.0,calibration,,,,,,,,,,,,,,
introduction,35,3041018,0.0-8.0-1.5-0.5,4h6b8vrn,,,,,,2437.0,3132,6712d8f45f5cfb988ba2677b,,3132,,calibration,,,,,,,,,,,,,,
introduction,36,3041019,0.0-8.0-2.5,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,37,3042138,0.0-8.0-0.6,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,2470.0,calibration,,,,,,,,,,,,,,
introduction,38,3043306,0.0-8.0-1.6-0.6,4h6b8vrn,,,,,,1165.0,22,6712d8f45f5cfb988ba2677b,,22,,calibration,,,,,,,,,,,,,,
introduction,39,3043307,0.0-8.0-2.6,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,40,3045310,0.0-8.0-0.7,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,1314.0,calibration,,,,,,,,,,,,,,
introduction,41,3047239,0.0-8.0-1.7-0.7,4h6b8vrn,,,,,,1928.0,2331,6712d8f45f5cfb988ba2677b,,2331,,calibration,,,,,,,,,,,,,,
introduction,42,3047241,0.0-8.0-2.7,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,43,3048561,0.0-8.0-0.8,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,1471.0,calibration,,,,,,,,,,,,,,
introduction,44,3050526,0.0-8.0-1.8-0.8,4h6b8vrn,,,,,,1961.0,2322,6712d8f45f5cfb988ba2677b,,2322,,calibration,,,,,,,,,,,,,,
introduction,45,3050527,0.0-8.0-2.8,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,46,3052012,0.0-8.0-0.9,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,1762.0,calibration,,,,,,,,,,,,,,
introduction,47,3056667,0.0-8.0-1.9-0.9,4h6b8vrn,,,,,,4651.0,1323,6712d8f45f5cfb988ba2677b,,1323,,calibration,,,,,,,,,,,,,,
introduction,48,3058671,0.0-8.0-2.9,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,49,3060435,0.0-8.0-0.10,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,2244.0,calibration,,,,,,,,,,,,,,
introduction,50,3061935,0.0-8.0-1.10-0.10,4h6b8vrn,,,,,,1496.0,113,6712d8f45f5cfb988ba2677b,,113,,calibration,,,,,,,,,,,,,,
introduction,51,3061936,0.0-8.0-2.10,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,52,3063951,0.0-8.0-0.11,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,1887.0,calibration,,,,,,,,,,,,,,
introduction,53,3066036,0.0-8.0-1.11-0.11,4h6b8vrn,,,,,,2080.0,2133,6712d8f45f5cfb988ba2677b,,2133,,calibration,,,,,,,,,,,,,,
introduction,54,3066037,0.0-8.0-2.11,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,55,3067951,0.0-8.0-0.12,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,1428.0,calibration,,,,,,,,,,,,,,
introduction,56,3070079,0.0-8.0-1.12-0.12,4h6b8vrn,,,,,,2123.0,2333,6712d8f45f5cfb988ba2677b,,2333,,calibration,,,,,,,,,,,,,,
introduction,57,3070080,0.0-8.0-2.12,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,58,3071514,0.0-8.0-0.13,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,1035.0,calibration,,,,,,,,,,,,,,
introduction,59,3073517,0.0-8.0-1.13-0.13,4h6b8vrn,,,,,,1999.0,131,6712d8f45f5cfb988ba2677b,,131,,calibration,,,,,,,,,,,,,,
introduction,60,3073519,0.0-8.0-2.13,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,61,3074560,0.0-8.0-0.14,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,1793.0,calibration,,,,,,,,,,,,,,
introduction,62,3076506,0.0-8.0-1.14-0.14,4h6b8vrn,,,,,,1942.0,2311,6712d8f45f5cfb988ba2677b,,2311,,calibration,,,,,,,,,,,,,,
introduction,63,3076506,0.0-8.0-2.14,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,64,3078312,0.0-8.0-0.15,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,2568.0,calibration,,,,,,,,,,,,,,
introduction,65,3080579,0.0-8.0-1.15-0.15,4h6b8vrn,,,,,,2261.0,313,6712d8f45f5cfb988ba2677b,,313,,calibration,,,,,,,,,,,,,,
introduction,66,3080580,0.0-8.0-2.15,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,67,3082593,0.0-8.0-0.16,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,3086.0,calibration,,,,,,,,,,,,,,
introduction,68,3084150,0.0-8.0-1.16-0.16,4h6b8vrn,,,,,,1554.0,133,6712d8f45f5cfb988ba2677b,,133,,calibration,,,,,,,,,,,,,,
introduction,69,3084152,0.0-8.0-2.16,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,70,3086154,0.0-8.0-0.17,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,3418.0,calibration,,,,,,,,,,,,,,
introduction,71,3088063,0.0-8.0-1.17-0.17,4h6b8vrn,,,,,,1905.0,3331,6712d8f45f5cfb988ba2677b,,3331,,calibration,,,,,,,,,,,,,,
introduction,72,3088063,0.0-8.0-2.17,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,73,3090077,0.0-8.0-0.18,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,2760.0,calibration,,,,,,,,,,,,,,
introduction,74,3092009,0.0-8.0-1.18-0.18,4h6b8vrn,,,,,,1928.0,3332,6712d8f45f5cfb988ba2677b,,3332,,calibration,,,,,,,,,,,,,,
introduction,75,3092010,0.0-8.0-2.18,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,76,3094014,0.0-8.0-0.19,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,3178.0,calibration,,,,,,,,,,,,,,
introduction,77,3095776,0.0-8.0-1.19-0.19,4h6b8vrn,,,,,,1757.0,3332,6712d8f45f5cfb988ba2677b,,3332,,calibration,,,,,,,,,,,,,,
introduction,78,3095777,0.0-8.0-2.19,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,79,3097779,0.0-8.0-0.20,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,3285.0,calibration,,,,,,,,,,,,,,
introduction,80,3099847,0.0-8.0-1.20-0.20,4h6b8vrn,,,,,,2065.0,1232,6712d8f45f5cfb988ba2677b,,1232,,calibration,,,,,,,,,,,,,,
introduction,81,3099849,0.0-8.0-2.20,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,82,3101858,0.0-8.0-0.21,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,1978.0,calibration,,,,,,,,,,,,,,
introduction,83,3104519,0.0-8.0-1.21-0.21,4h6b8vrn,,,,,,2657.0,3212,6712d8f45f5cfb988ba2677b,,3212,,calibration,,,,,,,,,,,,,,
introduction,84,3104520,0.0-8.0-2.21,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,85,3106514,0.0-8.0-0.22,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,img/Red_circle.png,3163.0,calibration,,,,,,,,,,,,,,
introduction,86,3108059,0.0-8.0-1.22-0.22,4h6b8vrn,,,,,,1542.0,331,6712d8f45f5cfb988ba2677b,,331,,calibration,,,,,,,,,,,,,,
introduction,87,3108060,0.0-8.0-2.22,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,88,3110061,0.0-8.0-0.23,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,2515.0,calibration,,,,,,,,,,,,,,
introduction,89,3112472,0.0-8.0-1.23-0.23,4h6b8vrn,,,,,,2407.0,3223,6712d8f45f5cfb988ba2677b,,3223,,calibration,,,,,,,,,,,,,,
introduction,90,3112473,0.0-8.0-2.23,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,91,3114483,0.0-8.0-0.24,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,2488.0,calibration,,,,,,,,,,,,,,
introduction,92,3115487,0.0-8.0-1.24-0.24,4h6b8vrn,,,,,,1000.0,11,6712d8f45f5cfb988ba2677b,,11,,calibration,,,,,,,,,,,,,,
introduction,93,3115488,0.0-8.0-2.24,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,,,,,,,,,,,,,,,,,
introduction,94,3117499,0.0-8.0-0.25,4h6b8vrn,,,,,,,,6712d8f45f5cfb988ba2677b,,<p>CAREFUL. That was too slow.</p>,2123.0,calibration,,,,,,,,,,,,,,
introduction,95,3119236,0.0-8.0-1.25-0.25,4h6b8vrn,,,,,,1734.0,1221,6712d8f45f5cfb988ba2677b,,1221,,calibration,,,,,,,,,,,,,,
