trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,25955,0.0-2.0,t79v7ozk,,,,,,21361.0,6713c3cbb7017fabce8708c3,6713c3cbb7017fabce8708c3,,,,,,,,,,,,,,,,,,
introduction,3,28059,0.0-3.0,t79v7ozk,,,,,,2103.0,6713c3cbb7017fabce8708c3,6713c3cbb7017fabce8708c3,,,,,,,,,,,,,,,,,,
introduction,4,33618,0.0-4.0-0.0,t79v7ozk,,,,,,5559.0,,6713c3cbb7017fabce8708c3,"[{""page_index"":0,""viewing_time"":1143},{""page_index"":1,""viewing_time"":3440},{""page_index"":2,""viewing_time"":976}]",,,,,,,,,,,,,,,,,
introduction,5,34764,0.0-5.0-0.0,t79v7ozk,,,,,,1145.0,1,6713c3cbb7017fabce8708c3,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,35316,0.0-5.0-0.1,t79v7ozk,,,,,,550.0,2,6713c3cbb7017fabce8708c3,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,36107,0.0-5.0-0.2,t79v7ozk,,,,,,790.0,1,6713c3cbb7017fabce8708c3,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,36635,0.0-5.0-0.3,t79v7ozk,,,,,,527.0,3,6713c3cbb7017fabce8708c3,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,37243,0.0-5.0-0.4,t79v7ozk,,,,,,607.0,2,6713c3cbb7017fabce8708c3,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,37747,0.0-5.0-0.5,t79v7ozk,,,,,,503.0,3,6713c3cbb7017fabce8708c3,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,38251,0.0-5.0-0.6,t79v7ozk,,,,,,503.0,1,6713c3cbb7017fabce8708c3,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,38787,0.0-5.0-0.7,t79v7ozk,,,,,,535.0,2,6713c3cbb7017fabce8708c3,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,39243,0.0-5.0-0.8,t79v7ozk,,,,,,455.0,3,6713c3cbb7017fabce8708c3,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,39891,0.0-5.0-0.9,t79v7ozk,,,,,,647.0,2,6713c3cbb7017fabce8708c3,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,40314,0.0-5.0-0.10,t79v7ozk,,,,,,422.0,1,6713c3cbb7017fabce8708c3,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,40827,0.0-5.0-0.11,t79v7ozk,,,,,,512.0,3,6713c3cbb7017fabce8708c3,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,54770,0.0-6.0-0.0,t79v7ozk,,,,,,13943.0,,6713c3cbb7017fabce8708c3,"[{""page_index"":0,""viewing_time"":1470},{""page_index"":1,""viewing_time"":1456},{""page_index"":2,""viewing_time"":9488},{""page_index"":3,""viewing_time"":1528}]",,,,,,,,,,,,,,,,,
introduction,19,66480,0.0-8.0-0.0,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,img/Red_circle.png,3448.0,calibration,,,,,,,,,,,,,,
introduction,20,67626,0.0-8.0-1.0-0.0,t79v7ozk,,,,,,1140.0,22,6713c3cbb7017fabce8708c3,,22,,calibration,,,,,,,,,,,,,,
introduction,21,67627,0.0-8.0-2.0,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,,,,,,,,,,,,,,,,,
introduction,22,69638,0.0-8.0-0.1,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,<p>CAREFUL. That was too slow.</p>,2624.0,calibration,,,,,,,,,,,,,,
introduction,23,70978,0.0-8.0-1.1-0.1,t79v7ozk,,,,,,1337.0,2131,6713c3cbb7017fabce8708c3,,2131,,calibration,,,,,,,,,,,,,,
introduction,24,70979,0.0-8.0-2.1,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,,,,,,,,,,,,,,,,,
introduction,25,72980,0.0-8.0-0.2,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,<p>CAREFUL. That was too slow.</p>,1827.0,calibration,,,,,,,,,,,,,,
introduction,26,74242,0.0-8.0-1.2-0.2,t79v7ozk,,,,,,1259.0,3121,6713c3cbb7017fabce8708c3,,3121,,calibration,,,,,,,,,,,,,,
introduction,27,74243,0.0-8.0-2.2,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,,,,,,,,,,,,,,,,,
introduction,28,76086,0.0-8.0-0.3,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,img/Red_circle.png,3141.0,calibration,,,,,,,,,,,,,,
introduction,29,77210,0.0-8.0-1.3-0.3,t79v7ozk,,,,,,1123.0,1332,6713c3cbb7017fabce8708c3,,1332,,calibration,,,,,,,,,,,,,,
introduction,30,77211,0.0-8.0-2.3,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,,,,,,,,,,,,,,,,,
introduction,31,79215,0.0-8.0-0.4,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,<p>CAREFUL. That was too slow.</p>,1963.0,calibration,,,,,,,,,,,,,,
introduction,32,80314,0.0-8.0-1.4-0.4,t79v7ozk,,,,,,1098.0,3131,6713c3cbb7017fabce8708c3,,3131,,calibration,,,,,,,,,,,,,,
introduction,33,80315,0.0-8.0-2.4,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,,,,,,,,,,,,,,,,,
introduction,34,82291,0.0-8.0-0.5,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,img/Red_circle.png,1763.0,calibration,,,,,,,,,,,,,,
introduction,35,83466,0.0-8.0-1.5-0.5,t79v7ozk,,,,,,1172.0,1213,6713c3cbb7017fabce8708c3,,1213,,calibration,,,,,,,,,,,,,,
introduction,36,83467,0.0-8.0-2.5,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,,,,,,,,,,,,,,,,,
introduction,37,85238,0.0-8.0-0.6,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,img/Red_circle.png,1632.0,calibration,,,,,,,,,,,,,,
introduction,38,86282,0.0-8.0-1.6-0.6,t79v7ozk,,,,,,1041.0,123,6713c3cbb7017fabce8708c3,,123,,calibration,,,,,,,,,,,,,,
introduction,39,86283,0.0-8.0-2.6,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,,,,,,,,,,,,,,,,,
introduction,40,87919,0.0-8.0-0.7,t79v7ozk,,,,,,,,6713c3cbb7017fabce8708c3,,img/Red_circle.png,1315.0,calibration,,,,,,,,,,,,,,
introduction,41,89130,0.0-8.0-1.7-0.7,t79v7ozk,,,,,,1208.0,3323,6713c3cbb7017fabce8708c3,,3323,,calibration,,,,,,,,,,,,,,
