trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10029,0.0-2.0,04fajvgx,,,,,,3884.0,671a3ac3dada5efe6d439698,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
introduction,3,13775,0.0-3.0,04fajvgx,,,,,,3740.0,671a3ac3dada5efe6d439698,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
introduction,4,20296,0.0-4.0-0.0,04fajvgx,,,,,,6520.0,,671a3ac3dada5efe6d439698,"[{""page_index"":0,""viewing_time"":1711},{""page_index"":1,""viewing_time"":3399},{""page_index"":2,""viewing_time"":1410}]",,,,,,,,,,,,,,,,,
introduction,5,21623,0.0-5.0-0.0,04fajvgx,,,,,,1325.0,1,671a3ac3dada5efe6d439698,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,22861,0.0-5.0-0.1,04fajvgx,,,,,,1236.0,2,671a3ac3dada5efe6d439698,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,23810,0.0-5.0-0.2,04fajvgx,,,,,,948.0,1,671a3ac3dada5efe6d439698,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,24637,0.0-5.0-0.3,04fajvgx,,,,,,826.0,3,671a3ac3dada5efe6d439698,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,25637,0.0-5.0-0.4,04fajvgx,,,,,,998.0,2,671a3ac3dada5efe6d439698,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,26486,0.0-5.0-0.5,04fajvgx,,,,,,848.0,3,671a3ac3dada5efe6d439698,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,27360,0.0-5.0-0.6,04fajvgx,,,,,,873.0,1,671a3ac3dada5efe6d439698,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,28185,0.0-5.0-0.7,04fajvgx,,,,,,824.0,2,671a3ac3dada5efe6d439698,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,29022,0.0-5.0-0.8,04fajvgx,,,,,,837.0,3,671a3ac3dada5efe6d439698,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,29798,0.0-5.0-0.9,04fajvgx,,,,,,774.0,2,671a3ac3dada5efe6d439698,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,30655,0.0-5.0-0.10,04fajvgx,,,,,,856.0,1,671a3ac3dada5efe6d439698,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,31478,0.0-5.0-0.11,04fajvgx,,,,,,822.0,3,671a3ac3dada5efe6d439698,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,48628,0.0-6.0-0.0,04fajvgx,,,,,,17149.0,,671a3ac3dada5efe6d439698,"[{""page_index"":0,""viewing_time"":1770},{""page_index"":1,""viewing_time"":2935},{""page_index"":2,""viewing_time"":10760},{""page_index"":3,""viewing_time"":1684}]",,,,,,,,,,,,,,,,,
introduction,19,56905,0.0-8.0-0.0,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,img/Red_circle.png,1777.0,calibration,,,,,,,,,,,,,,
introduction,20,59224,0.0-8.0-1.0-0.0,04fajvgx,,,,,,2312.0,2231,671a3ac3dada5efe6d439698,,2231,,calibration,,,,,,,,,,,,,,
introduction,21,59227,0.0-8.0-2.0,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
introduction,22,61009,0.0-8.0-0.1,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,img/Red_circle.png,3376.0,calibration,,,,,,,,,,,,,,
introduction,23,63755,0.0-8.0-1.1-0.1,04fajvgx,,,,,,2742.0,2112,671a3ac3dada5efe6d439698,,2112,,calibration,,,,,,,,,,,,,,
introduction,24,63756,0.0-8.0-2.1,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
introduction,25,65762,0.0-8.0-0.2,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,<p>CAREFUL. That was too slow.</p>,2713.0,calibration,,,,,,,,,,,,,,
introduction,26,67735,0.0-8.0-1.2-0.2,04fajvgx,,,,,,1968.0,3323,671a3ac3dada5efe6d439698,,3323,,calibration,,,,,,,,,,,,,,
introduction,27,67736,0.0-8.0-2.2,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
introduction,28,69737,0.0-8.0-0.3,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,<p>CAREFUL. That was too slow.</p>,1282.0,calibration,,,,,,,,,,,,,,
introduction,29,71433,0.0-8.0-1.3-0.3,04fajvgx,,,,,,1692.0,3323,671a3ac3dada5efe6d439698,,3323,,calibration,,,,,,,,,,,,,,
introduction,30,71434,0.0-8.0-2.3,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
introduction,31,72721,0.0-8.0-0.4,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,img/Red_circle.png,1691.0,calibration,,,,,,,,,,,,,,
introduction,32,74334,0.0-8.0-1.4-0.4,04fajvgx,,,,,,1609.0,333,671a3ac3dada5efe6d439698,,333,,calibration,,,,,,,,,,,,,,
introduction,33,74335,0.0-8.0-2.4,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
introduction,34,76033,0.0-8.0-0.5,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,img/Red_circle.png,3196.0,calibration,,,,,,,,,,,,,,
introduction,35,77657,0.0-8.0-1.5-0.5,04fajvgx,,,,,,1620.0,2233,671a3ac3dada5efe6d439698,,2233,,calibration,,,,,,,,,,,,,,
introduction,36,77658,0.0-8.0-2.5,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
introduction,37,79665,0.0-8.0-0.6,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,<p>CAREFUL. That was too slow.</p>,1939.0,calibration,,,,,,,,,,,,,,
introduction,38,82472,0.0-8.0-1.6-0.6,04fajvgx,,,,,,2803.0,1112,671a3ac3dada5efe6d439698,,1112,,calibration,,,,,,,,,,,,,,
introduction,39,82473,0.0-8.0-2.6,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
introduction,40,84417,0.0-8.0-0.7,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,img/Red_circle.png,2492.0,calibration,,,,,,,,,,,,,,
introduction,41,85795,0.0-8.0-1.7-0.7,04fajvgx,,,,,,1373.0,221,671a3ac3dada5efe6d439698,,221,,calibration,,,,,,,,,,,,,,
introduction,42,85796,0.0-8.0-2.7,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
introduction,43,87800,0.0-8.0-0.8,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,<p>CAREFUL. That was too slow.</p>,2649.0,calibration,,,,,,,,,,,,,,
introduction,44,89680,0.0-8.0-1.8-0.8,04fajvgx,,,,,,1876.0,3332,671a3ac3dada5efe6d439698,,3332,,calibration,,,,,,,,,,,,,,
introduction,45,89681,0.0-8.0-2.8,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
introduction,46,91689,0.0-8.0-0.9,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,<p>CAREFUL. That was too slow.</p>,2775.0,calibration,,,,,,,,,,,,,,
introduction,47,93301,0.0-8.0-1.9-0.9,04fajvgx,,,,,,1607.0,3332,671a3ac3dada5efe6d439698,,3332,,calibration,,,,,,,,,,,,,,
introduction,48,93302,0.0-8.0-2.9,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
introduction,49,95305,0.0-8.0-0.10,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,<p>CAREFUL. That was too slow.</p>,3223.0,calibration,,,,,,,,,,,,,,
introduction,50,96992,0.0-8.0-1.10-0.10,04fajvgx,,,,,,1684.0,11221,671a3ac3dada5efe6d439698,,1121,,calibration,,,,,,,,,,,,,,
introduction,51,98791,0.0-8.0-1.11-0.11,04fajvgx,,,,,,1795.0,1121,671a3ac3dada5efe6d439698,,1121,,calibration,,,,,,,,,,,,,,
introduction,52,98792,0.0-8.0-2.10,04fajvgx,,,,,,,,671a3ac3dada5efe6d439698,,,,,,,,,,,,,,,,,,
