trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8804,0.0-2.0,vwvwy0qw,,,,,,6449.0,671d0d96e4bdbdca47815da2,671d0d96e4bdbdca47815da2,,,,,,,,,,,,,,,,,,
introduction,3,11056,0.0-3.0,vwvwy0qw,,,,,,2251.0,671d0d96e4bdbdca47815da2,671d0d96e4bdbdca47815da2,,,,,,,,,,,,,,,,,,
introduction,4,15930,0.0-4.0-0.0,vwvwy0qw,,,,,,4873.0,,671d0d96e4bdbdca47815da2,"[{""page_index"":0,""viewing_time"":889},{""page_index"":1,""viewing_time"":2933},{""page_index"":2,""viewing_time"":1051}]",,,,,,,,,,,,,,,,,
introduction,5,17166,0.0-5.0-0.0,vwvwy0qw,,,,,,1234.0,1,671d0d96e4bdbdca47815da2,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,17728,0.0-5.0-0.1,vwvwy0qw,,,,,,561.0,2,671d0d96e4bdbdca47815da2,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,18467,0.0-5.0-0.2,vwvwy0qw,,,,,,738.0,1,671d0d96e4bdbdca47815da2,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,19116,0.0-5.0-0.3,vwvwy0qw,,,,,,649.0,3,671d0d96e4bdbdca47815da2,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,19739,0.0-5.0-0.4,vwvwy0qw,,,,,,623.0,2,671d0d96e4bdbdca47815da2,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,20707,0.0-5.0-0.5,vwvwy0qw,,,,,,967.0,3,671d0d96e4bdbdca47815da2,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,21264,0.0-5.0-0.6,vwvwy0qw,,,,,,557.0,1,671d0d96e4bdbdca47815da2,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,21774,0.0-5.0-0.7,vwvwy0qw,,,,,,510.0,2,671d0d96e4bdbdca47815da2,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,22331,0.0-5.0-0.8,vwvwy0qw,,,,,,556.0,3,671d0d96e4bdbdca47815da2,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,23041,0.0-5.0-0.9,vwvwy0qw,,,,,,710.0,2,671d0d96e4bdbdca47815da2,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,23504,0.0-5.0-0.10,vwvwy0qw,,,,,,463.0,1,671d0d96e4bdbdca47815da2,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,24048,0.0-5.0-0.11,vwvwy0qw,,,,,,543.0,3,671d0d96e4bdbdca47815da2,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,39269,0.0-6.0-0.0,vwvwy0qw,,,,,,15221.0,,671d0d96e4bdbdca47815da2,"[{""page_index"":0,""viewing_time"":1408},{""page_index"":1,""viewing_time"":1971},{""page_index"":2,""viewing_time"":10725},{""page_index"":3,""viewing_time"":1117}]",,,,,,,,,,,,,,,,,
introduction,19,54643,0.0-8.0-0.0,vwvwy0qw,,,,,,,,671d0d96e4bdbdca47815da2,,img/Red_circle.png,2429.0,calibration,,,,,,,,,,,,,,
introduction,20,56669,0.0-8.0-1.0-0.0,vwvwy0qw,,,,,,2022.0,2113,671d0d96e4bdbdca47815da2,,2113,,calibration,,,,,,,,,,,,,,
introduction,21,56671,0.0-8.0-2.0,vwvwy0qw,,,,,,,,671d0d96e4bdbdca47815da2,,,,,,,,,,,,,,,,,,
introduction,22,58673,0.0-8.0-0.1,vwvwy0qw,,,,,,,,671d0d96e4bdbdca47815da2,,<p>CAREFUL. That was too slow.</p>,2181.0,calibration,,,,,,,,,,,,,,
introduction,23,60209,0.0-8.0-1.1-0.1,vwvwy0qw,,,,,,1534.0,3133,671d0d96e4bdbdca47815da2,,3133,,calibration,,,,,,,,,,,,,,
introduction,24,60210,0.0-8.0-2.1,vwvwy0qw,,,,,,,,671d0d96e4bdbdca47815da2,,,,,,,,,,,,,,,,,,
