trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7525,0.0-2.0,xwwomxyj,,,,,,4454.0,6720f4ced2a11d4e702566fa,6720f4ced2a11d4e702566fa,,,,,,,,,,,,,,,,,,
introduction,3,11252,0.0-3.0,xwwomxyj,,,,,,3725.0,6720f4ced2a11d4e702566fa,6720f4ced2a11d4e702566fa,,,,,,,,,,,,,,,,,,
introduction,4,134777,0.0-4.0-0.0,xwwomxyj,,,,,,123524.0,,6720f4ced2a11d4e702566fa,"[{""page_index"":0,""viewing_time"":4424},{""page_index"":1,""viewing_time"":117881},{""page_index"":2,""viewing_time"":1218}]",,,,,,,,,,,,,,,,,
introduction,5,135629,0.0-5.0-0.0,xwwomxyj,,,,,,851.0,1,6720f4ced2a11d4e702566fa,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,136337,0.0-5.0-0.1,xwwomxyj,,,,,,706.0,2,6720f4ced2a11d4e702566fa,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,137099,0.0-5.0-0.2,xwwomxyj,,,,,,761.0,1,6720f4ced2a11d4e702566fa,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,137745,0.0-5.0-0.3,xwwomxyj,,,,,,645.0,3,6720f4ced2a11d4e702566fa,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,138329,0.0-5.0-0.4,xwwomxyj,,,,,,584.0,2,6720f4ced2a11d4e702566fa,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,138991,0.0-5.0-0.5,xwwomxyj,,,,,,662.0,3,6720f4ced2a11d4e702566fa,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,139589,0.0-5.0-0.6,xwwomxyj,,,,,,597.0,1,6720f4ced2a11d4e702566fa,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,140138,0.0-5.0-0.7,xwwomxyj,,,,,,549.0,2,6720f4ced2a11d4e702566fa,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,140711,0.0-5.0-0.8,xwwomxyj,,,,,,572.0,3,6720f4ced2a11d4e702566fa,,Press: 3,,,,,,,,,,,,,,,,
