trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,11073,0.0-2.0,urbaypcl,,,,,,6075.0,67227aa6ae0bcf3306f52e33,67227aa6ae0bcf3306f52e33,,,,,,,,,,,,,,,,,,
introduction,3,18968,0.0-3.0,urbaypcl,,,,,,7891.0,67227aa6ae0bcf3306f52e33,67227aa6ae0bcf3306f52e33,,,,,,,,,,,,,,,,,,
introduction,4,43842,0.0-4.0-0.0,urbaypcl,,,,,,24871.0,,67227aa6ae0bcf3306f52e33,"[{""page_index"":0,""viewing_time"":1889},{""page_index"":1,""viewing_time"":15470},{""page_index"":2,""viewing_time"":7512}]",,,,,,,,,,,,,,,,,
introduction,5,47193,0.0-5.0-0.0,urbaypcl,,,,,,3349.0,1,67227aa6ae0bcf3306f52e33,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,48320,0.0-5.0-0.1,urbaypcl,,,,,,1126.0,2,67227aa6ae0bcf3306f52e33,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,49864,0.0-5.0-0.2,urbaypcl,,,,,,1543.0,1,67227aa6ae0bcf3306f52e33,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,50864,0.0-5.0-0.3,urbaypcl,,,,,,1000.0,3,67227aa6ae0bcf3306f52e33,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,51912,0.0-5.0-0.4,urbaypcl,,,,,,1047.0,2,67227aa6ae0bcf3306f52e33,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,52888,0.0-5.0-0.5,urbaypcl,,,,,,976.0,3,67227aa6ae0bcf3306f52e33,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,53824,0.0-5.0-0.6,urbaypcl,,,,,,935.0,1,67227aa6ae0bcf3306f52e33,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,54928,0.0-5.0-0.7,urbaypcl,,,,,,1103.0,2,67227aa6ae0bcf3306f52e33,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,55928,0.0-5.0-0.8,urbaypcl,,,,,,1000.0,3,67227aa6ae0bcf3306f52e33,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,56912,0.0-5.0-0.9,urbaypcl,,,,,,983.0,2,67227aa6ae0bcf3306f52e33,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,57952,0.0-5.0-0.10,urbaypcl,,,,,,1040.0,1,67227aa6ae0bcf3306f52e33,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,59000,0.0-5.0-0.11,urbaypcl,,,,,,1047.0,3,67227aa6ae0bcf3306f52e33,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,99024,0.0-6.0-0.0,urbaypcl,,,,,,40023.0,,67227aa6ae0bcf3306f52e33,"[{""page_index"":0,""viewing_time"":3027},{""page_index"":1,""viewing_time"":4302},{""page_index"":2,""viewing_time"":30980},{""page_index"":3,""viewing_time"":1714}]",,,,,,,,,,,,,,,,,
