trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8957,0.0-2.0,mcnpmaux,,,,,,5030.0,672950c88194b010025e09b0,672950c88194b010025e09b0,,,,,,,,,,,,,,,,,,
introduction,3,11981,0.0-3.0,mcnpmaux,,,,,,3021.0,672950c88194b010025e09b0,672950c88194b010025e09b0,,,,,,,,,,,,,,,,,,
introduction,4,17628,0.0-4.0-0.0,mcnpmaux,,,,,,5645.0,,672950c88194b010025e09b0,"[{""page_index"":0,""viewing_time"":911},{""page_index"":1,""viewing_time"":3792},{""page_index"":2,""viewing_time"":941}]",,,,,,,,,,,,,,,,,
introduction,5,18909,0.0-5.0-0.0,mcnpmaux,,,,,,1279.0,1,672950c88194b010025e09b0,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,19284,0.0-5.0-0.1,mcnpmaux,,,,,,373.0,2,672950c88194b010025e09b0,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,20178,0.0-5.0-0.2,mcnpmaux,,,,,,894.0,1,672950c88194b010025e09b0,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,21212,0.0-5.0-0.3,mcnpmaux,,,,,,1033.0,3,672950c88194b010025e09b0,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,21694,0.0-5.0-0.4,mcnpmaux,,,,,,481.0,2,672950c88194b010025e09b0,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,22337,0.0-5.0-0.5,mcnpmaux,,,,,,643.0,3,672950c88194b010025e09b0,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22878,0.0-5.0-0.6,mcnpmaux,,,,,,540.0,1,672950c88194b010025e09b0,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,23429,0.0-5.0-0.7,mcnpmaux,,,,,,550.0,2,672950c88194b010025e09b0,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,23968,0.0-5.0-0.8,mcnpmaux,,,,,,538.0,3,672950c88194b010025e09b0,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,24550,0.0-5.0-0.9,mcnpmaux,,,,,,582.0,2,672950c88194b010025e09b0,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,25073,0.0-5.0-0.10,mcnpmaux,,,,,,522.0,1,672950c88194b010025e09b0,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,25708,0.0-5.0-0.11,mcnpmaux,,,,,,634.0,3,672950c88194b010025e09b0,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,52205,0.0-6.0-0.0,mcnpmaux,,,,,,26496.0,,672950c88194b010025e09b0,"[{""page_index"":0,""viewing_time"":1889},{""page_index"":1,""viewing_time"":3761},{""page_index"":2,""viewing_time"":19559},{""page_index"":3,""viewing_time"":1286}]",,,,,,,,,,,,,,,,,
introduction,19,86284,0.0-8.0-0.0,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,img/Red_circle.png,2565.0,calibration,,,,,,,,,,,,,,
introduction,20,88912,0.0-8.0-1.0-0.0,mcnpmaux,,,,,,2625.0,3321,672950c88194b010025e09b0,,3321,,calibration,,,,,,,,,,,,,,
introduction,21,88914,0.0-8.0-2.0,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,,,,,,,,,,,,,,,,,
introduction,22,90917,0.0-8.0-0.1,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,<p>CAREFUL. That was too slow.</p>,3342.0,calibration,,,,,,,,,,,,,,
introduction,23,93456,0.0-8.0-1.1-0.1,mcnpmaux,,,,,,2535.0,2121,672950c88194b010025e09b0,,2121,,calibration,,,,,,,,,,,,,,
introduction,24,93457,0.0-8.0-2.1,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,,,,,,,,,,,,,,,,,
introduction,25,95474,0.0-8.0-0.2,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,<p>CAREFUL. That was too slow.</p>,1179.0,calibration,,,,,,,,,,,,,,
introduction,26,97495,0.0-8.0-1.2-0.2,mcnpmaux,,,,,,2017.0,312,672950c88194b010025e09b0,,312,,calibration,,,,,,,,,,,,,,
introduction,27,97496,0.0-8.0-2.2,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,,,,,,,,,,,,,,,,,
introduction,28,98681,0.0-8.0-0.3,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,img/Red_circle.png,2525.0,calibration,,,,,,,,,,,,,,
introduction,29,99868,0.0-8.0-1.3-0.3,mcnpmaux,,,,,,1183.0,22,672950c88194b010025e09b0,,22,,calibration,,,,,,,,,,,,,,
introduction,30,99869,0.0-8.0-2.3,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,,,,,,,,,,,,,,,,,
introduction,31,101874,0.0-8.0-0.4,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,<p>CAREFUL. That was too slow.</p>,2608.0,calibration,,,,,,,,,,,,,,
introduction,32,103796,0.0-8.0-1.4-0.4,mcnpmaux,,,,,,1920.0,2112,672950c88194b010025e09b0,,2112,,calibration,,,,,,,,,,,,,,
introduction,33,103797,0.0-8.0-2.4,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,,,,,,,,,,,,,,,,,
introduction,34,105800,0.0-8.0-0.5,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,<p>CAREFUL. That was too slow.</p>,1840.0,calibration,,,,,,,,,,,,,,
introduction,35,107943,0.0-8.0-1.5-0.5,mcnpmaux,,,,,,2139.0,1312,672950c88194b010025e09b0,,1312,,calibration,,,,,,,,,,,,,,
introduction,36,107945,0.0-8.0-2.5,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,,,,,,,,,,,,,,,,,
introduction,37,109790,0.0-8.0-0.6,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,img/Red_circle.png,2087.0,calibration,,,,,,,,,,,,,,
introduction,38,111507,0.0-8.0-1.6-0.6,mcnpmaux,,,,,,1714.0,1311,672950c88194b010025e09b0,,1311,,calibration,,,,,,,,,,,,,,
introduction,39,111508,0.0-8.0-2.6,mcnpmaux,,,,,,,,672950c88194b010025e09b0,,,,,,,,,,,,,,,,,,
