trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,26247,0.0-2.0,xro1eeky,,,,,,23235.0,67306f1f38287499d8a02319,67306f1f38287499d8a02319,,,,,,,,,,,,,,,,,,
introduction,3,29517,0.0-3.0,xro1eeky,,,,,,3267.0,67306f1f38287499d8a02319,67306f1f38287499d8a02319,,,,,,,,,,,,,,,,,,
introduction,4,44967,0.0-4.0-0.0,xro1eeky,,,,,,15450.0,,67306f1f38287499d8a02319,"[{""page_index"":0,""viewing_time"":1184},{""page_index"":1,""viewing_time"":11580},{""page_index"":2,""viewing_time"":2686}]",,,,,,,,,,,,,,,,,
introduction,5,45608,0.0-5.0-0.0,xro1eeky,,,,,,640.0,1,67306f1f38287499d8a02319,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,45989,0.0-5.0-0.1,xro1eeky,,,,,,381.0,2,67306f1f38287499d8a02319,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,46661,0.0-5.0-0.2,xro1eeky,,,,,,672.0,1,67306f1f38287499d8a02319,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,47272,0.0-5.0-0.3,xro1eeky,,,,,,611.0,3,67306f1f38287499d8a02319,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,48029,0.0-5.0-0.4,xro1eeky,,,,,,757.0,2,67306f1f38287499d8a02319,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,48924,0.0-5.0-0.5,xro1eeky,,,,,,895.0,3,67306f1f38287499d8a02319,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,49586,0.0-5.0-0.6,xro1eeky,,,,,,662.0,1,67306f1f38287499d8a02319,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,50082,0.0-5.0-0.7,xro1eeky,,,,,,494.0,2,67306f1f38287499d8a02319,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,50491,0.0-5.0-0.8,xro1eeky,,,,,,410.0,3,67306f1f38287499d8a02319,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,51334,0.0-5.0-0.9,xro1eeky,,,,,,843.0,2,67306f1f38287499d8a02319,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,51969,0.0-5.0-0.10,xro1eeky,,,,,,635.0,1,67306f1f38287499d8a02319,,Press: 1,,,,,,,,,,,,,,,,
