trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7533,0.0-2.0,vzsml24b,,,,,,4456.0,67317abab35f695da3b9a565,67317abab35f695da3b9a565,,,,,,,,,,,,,,,,,,
introduction,3,10473,0.0-3.0,vzsml24b,,,,,,2939.0,67317abab35f695da3b9a565,67317abab35f695da3b9a565,,,,,,,,,,,,,,,,,,
introduction,4,41936,0.0-4.0-0.0,vzsml24b,,,,,,31462.0,,67317abab35f695da3b9a565,"[{""page_index"":0,""viewing_time"":1244},{""page_index"":1,""viewing_time"":29044},{""page_index"":2,""viewing_time"":1174}]",,,,,,,,,,,,,,,,,
introduction,5,42563,0.0-5.0-0.0,vzsml24b,,,,,,626.0,1,67317abab35f695da3b9a565,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,43083,0.0-5.0-0.1,vzsml24b,,,,,,520.0,2,67317abab35f695da3b9a565,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,43933,0.0-5.0-0.2,vzsml24b,,,,,,849.0,1,67317abab35f695da3b9a565,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,44702,0.0-5.0-0.3,vzsml24b,,,,,,770.0,3,67317abab35f695da3b9a565,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,45329,0.0-5.0-0.4,vzsml24b,,,,,,626.0,2,67317abab35f695da3b9a565,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,46181,0.0-5.0-0.5,vzsml24b,,,,,,852.0,3,67317abab35f695da3b9a565,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,46785,0.0-5.0-0.6,vzsml24b,,,,,,605.0,1,67317abab35f695da3b9a565,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,47460,0.0-5.0-0.7,vzsml24b,,,,,,675.0,2,67317abab35f695da3b9a565,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,48147,0.0-5.0-0.8,vzsml24b,,,,,,687.0,3,67317abab35f695da3b9a565,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,48796,0.0-5.0-0.9,vzsml24b,,,,,,649.0,2,67317abab35f695da3b9a565,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,49407,0.0-5.0-0.10,vzsml24b,,,,,,611.0,1,67317abab35f695da3b9a565,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,50068,0.0-5.0-0.11,vzsml24b,,,,,,661.0,3,67317abab35f695da3b9a565,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,89068,0.0-6.0-0.0,vzsml24b,,,,,,38999.0,,67317abab35f695da3b9a565,"[{""page_index"":0,""viewing_time"":3770},{""page_index"":1,""viewing_time"":4117},{""page_index"":2,""viewing_time"":30041},{""page_index"":3,""viewing_time"":1071}]",,,,,,,,,,,,,,,,,
introduction,19,108134,0.0-8.0-0.0,vzsml24b,,,,,,,,67317abab35f695da3b9a565,,img/Red_circle.png,1114.0,calibration,,,,,,,,,,,,,,
introduction,20,109990,0.0-8.0-1.0-0.0,vzsml24b,,,,,,1855.0,221,67317abab35f695da3b9a565,,211,,calibration,,,,,,,,,,,,,,
introduction,21,112301,0.0-8.0-1.1-0.1,vzsml24b,,,,,,2309.0,211,67317abab35f695da3b9a565,,211,,calibration,,,,,,,,,,,,,,
introduction,22,114307,0.0-8.0-2.0,vzsml24b,,,,,,,,67317abab35f695da3b9a565,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
