trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8086,0.0-2.0,1fq26fdn,,,,,,4358.0,6733fb521d5344bc975a02a8,6733fb521d5344bc975a02a8,,,,,,,,,,,,,,,,,,
introduction,3,10078,0.0-3.0,1fq26fdn,,,,,,1990.0,6733fb521d5344bc975a02a8,6733fb521d5344bc975a02a8,,,,,,,,,,,,,,,,,,
introduction,4,20647,0.0-4.0-0.0,1fq26fdn,,,,,,10568.0,,6733fb521d5344bc975a02a8,"[{""page_index"":0,""viewing_time"":1144},{""page_index"":1,""viewing_time"":8047},{""page_index"":2,""viewing_time"":1376}]",,,,,,,,,,,,,,,,,
introduction,5,21521,0.0-5.0-0.0,1fq26fdn,,,,,,874.0,1,6733fb521d5344bc975a02a8,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,21931,0.0-5.0-0.1,1fq26fdn,,,,,,409.0,2,6733fb521d5344bc975a02a8,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,22651,0.0-5.0-0.2,1fq26fdn,,,,,,720.0,1,6733fb521d5344bc975a02a8,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,23127,0.0-5.0-0.3,1fq26fdn,,,,,,475.0,3,6733fb521d5344bc975a02a8,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,23559,0.0-5.0-0.4,1fq26fdn,,,,,,432.0,2,6733fb521d5344bc975a02a8,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,23995,0.0-5.0-0.5,1fq26fdn,,,,,,435.0,3,6733fb521d5344bc975a02a8,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,24420,0.0-5.0-0.6,1fq26fdn,,,,,,425.0,1,6733fb521d5344bc975a02a8,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,24805,0.0-5.0-0.7,1fq26fdn,,,,,,384.0,2,6733fb521d5344bc975a02a8,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,25262,0.0-5.0-0.8,1fq26fdn,,,,,,457.0,3,6733fb521d5344bc975a02a8,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,25928,0.0-5.0-0.9,1fq26fdn,,,,,,666.0,2,6733fb521d5344bc975a02a8,,Press: 2,,,,,,,,,,,,,,,,
