trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8132,0.0-2.0,ukkbp2gz,,,,,,3880.0,6736725a85681fed223ace38,6736725a85681fed223ace38,,,,,,,,,,,,,,,,,,
introduction,3,10859,0.0-3.0,ukkbp2gz,,,,,,2726.0,6736725a85681fed223ace38,6736725a85681fed223ace38,,,,,,,,,,,,,,,,,,
introduction,4,17126,0.0-4.0-0.0,ukkbp2gz,,,,,,6266.0,,6736725a85681fed223ace38,"[{""page_index"":0,""viewing_time"":923},{""page_index"":1,""viewing_time"":3964},{""page_index"":2,""viewing_time"":1380}]",,,,,,,,,,,,,,,,,
introduction,5,18237,0.0-5.0-0.0,ukkbp2gz,,,,,,1110.0,1,6736725a85681fed223ace38,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,19020,0.0-5.0-0.1,ukkbp2gz,,,,,,782.0,2,6736725a85681fed223ace38,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,19906,0.0-5.0-0.2,ukkbp2gz,,,,,,886.0,1,6736725a85681fed223ace38,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,20531,0.0-5.0-0.3,ukkbp2gz,,,,,,624.0,3,6736725a85681fed223ace38,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,21196,0.0-5.0-0.4,ukkbp2gz,,,,,,664.0,2,6736725a85681fed223ace38,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,21930,0.0-5.0-0.5,ukkbp2gz,,,,,,733.0,3,6736725a85681fed223ace38,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22570,0.0-5.0-0.6,ukkbp2gz,,,,,,640.0,1,6736725a85681fed223ace38,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,23523,0.0-5.0-0.7,ukkbp2gz,,,,,,952.0,2,6736725a85681fed223ace38,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,25355,0.0-5.0-0.8,ukkbp2gz,,,,,,1831.0,3,6736725a85681fed223ace38,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,25891,0.0-5.0-0.9,ukkbp2gz,,,,,,536.0,2,6736725a85681fed223ace38,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,26460,0.0-5.0-0.10,ukkbp2gz,,,,,,568.0,1,6736725a85681fed223ace38,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,27020,0.0-5.0-0.11,ukkbp2gz,,,,,,559.0,3,6736725a85681fed223ace38,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,47235,0.0-6.0-0.0,ukkbp2gz,,,,,,20214.0,,6736725a85681fed223ace38,"[{""page_index"":0,""viewing_time"":1906},{""page_index"":1,""viewing_time"":1984},{""page_index"":2,""viewing_time"":14732},{""page_index"":3,""viewing_time"":1592}]",,,,,,,,,,,,,,,,,
introduction,19,74519,0.0-8.0-0.0,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,img/Red_circle.png,3081.0,calibration,,,,,,,,,,,,,,
introduction,20,76685,0.0-8.0-1.0-0.0,ukkbp2gz,,,,,,2164.0,332,6736725a85681fed223ace38,,332,,calibration,,,,,,,,,,,,,,
introduction,21,76687,0.0-8.0-2.0,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,,,,,,,,,,,,,,,,,
introduction,22,78696,0.0-8.0-0.1,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,<p>CAREFUL. That was too slow.</p>,2278.0,calibration,,,,,,,,,,,,,,
introduction,23,80662,0.0-8.0-1.1-0.1,ukkbp2gz,,,,,,1963.0,3213,6736725a85681fed223ace38,,3213,,calibration,,,,,,,,,,,,,,
introduction,24,80663,0.0-8.0-2.1,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,,,,,,,,,,,,,,,,,
introduction,25,82671,0.0-8.0-0.2,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,<p>CAREFUL. That was too slow.</p>,2640.0,calibration,,,,,,,,,,,,,,
introduction,26,84540,0.0-8.0-1.2-0.2,ukkbp2gz,,,,,,1865.0,111,6736725a85681fed223ace38,,111,,calibration,,,,,,,,,,,,,,
introduction,27,84540,0.0-8.0-2.2,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,,,,,,,,,,,,,,,,,
introduction,28,86546,0.0-8.0-0.3,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,<p>CAREFUL. That was too slow.</p>,2116.0,calibration,,,,,,,,,,,,,,
introduction,29,89813,0.0-8.0-1.3-0.3,ukkbp2gz,,,,,,3263.0,2311,6736725a85681fed223ace38,,2311,,calibration,,,,,,,,,,,,,,
introduction,30,89814,0.0-8.0-2.3,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,,,,,,,,,,,,,,,,,
introduction,31,91828,0.0-8.0-0.4,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,<p>CAREFUL. That was too slow.</p>,2352.0,calibration,,,,,,,,,,,,,,
introduction,32,93860,0.0-8.0-1.4-0.4,ukkbp2gz,,,,,,2029.0,1333,6736725a85681fed223ace38,,1333,,calibration,,,,,,,,,,,,,,
introduction,33,93860,0.0-8.0-2.4,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,,,,,,,,,,,,,,,,,
introduction,34,95872,0.0-8.0-0.5,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,<p>CAREFUL. That was too slow.</p>,3474.0,calibration,,,,,,,,,,,,,,
introduction,35,97796,0.0-8.0-1.5-0.5,ukkbp2gz,,,,,,1921.0,2122,6736725a85681fed223ace38,,2122,,calibration,,,,,,,,,,,,,,
introduction,36,97797,0.0-8.0-2.5,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,,,,,,,,,,,,,,,,,
introduction,37,99811,0.0-8.0-0.6,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,<p>CAREFUL. That was too slow.</p>,1530.0,calibration,,,,,,,,,,,,,,
introduction,38,102245,0.0-8.0-1.6-0.6,ukkbp2gz,,,,,,2429.0,2331,6736725a85681fed223ace38,,2331,,calibration,,,,,,,,,,,,,,
introduction,39,102245,0.0-8.0-2.6,ukkbp2gz,,,,,,,,6736725a85681fed223ace38,,,,,,,,,,,,,,,,,,
