trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,26434,0.0-2.0,uungxb8s,,,,,,10046.0,6737a806f29cc8b5d0a6977d,6737a806f29cc8b5d0a6977d,,,,,,,,,,,,,,,,,,
introduction,3,30929,0.0-3.0,uungxb8s,,,,,,4493.0,6737a806f29cc8b5d0a6977d,6737a806f29cc8b5d0a6977d,,,,,,,,,,,,,,,,,,
introduction,4,47089,0.0-4.0-0.0,uungxb8s,,,,,,16159.0,,6737a806f29cc8b5d0a6977d,"[{""page_index"":0,""viewing_time"":1271},{""page_index"":1,""viewing_time"":13768},{""page_index"":2,""viewing_time"":1120}]",,,,,,,,,,,,,,,,,
introduction,5,48428,0.0-5.0-0.0,uungxb8s,,,,,,1338.0,1,6737a806f29cc8b5d0a6977d,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,48834,0.0-5.0-0.1,uungxb8s,,,,,,405.0,2,6737a806f29cc8b5d0a6977d,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,50006,0.0-5.0-0.2,uungxb8s,,,,,,1171.0,1,6737a806f29cc8b5d0a6977d,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,51035,0.0-5.0-0.3,uungxb8s,,,,,,1029.0,3,6737a806f29cc8b5d0a6977d,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,51937,0.0-5.0-0.4,uungxb8s,,,,,,902.0,2,6737a806f29cc8b5d0a6977d,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,52972,0.0-5.0-0.5,uungxb8s,,,,,,1033.0,3,6737a806f29cc8b5d0a6977d,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,53857,0.0-5.0-0.6,uungxb8s,,,,,,885.0,1,6737a806f29cc8b5d0a6977d,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,54801,0.0-5.0-0.7,uungxb8s,,,,,,943.0,2,6737a806f29cc8b5d0a6977d,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,55767,0.0-5.0-0.8,uungxb8s,,,,,,965.0,3,6737a806f29cc8b5d0a6977d,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,56648,0.0-5.0-0.9,uungxb8s,,,,,,880.0,2,6737a806f29cc8b5d0a6977d,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,57537,0.0-5.0-0.10,uungxb8s,,,,,,888.0,1,6737a806f29cc8b5d0a6977d,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,58429,0.0-5.0-0.11,uungxb8s,,,,,,892.0,3,6737a806f29cc8b5d0a6977d,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,118833,0.0-6.0-0.0,uungxb8s,,,,,,60403.0,,6737a806f29cc8b5d0a6977d,"[{""page_index"":0,""viewing_time"":2322},{""page_index"":1,""viewing_time"":4992},{""page_index"":2,""viewing_time"":34656},{""page_index"":3,""viewing_time"":4384},{""page_index"":2,""viewing_time"":12968},{""page_index"":3,""viewing_time"":1081}]",,,,,,,,,,,,,,,,,
introduction,19,155048,0.0-8.0-0.0,uungxb8s,,,,,,,,6737a806f29cc8b5d0a6977d,,img/Red_circle.png,2469.0,calibration,,,,,,,,,,,,,,
introduction,20,158143,0.0-8.0-1.0-0.0,uungxb8s,,,,,,3092.0,3321,6737a806f29cc8b5d0a6977d,,3321,,calibration,,,,,,,,,,,,,,
introduction,21,158145,0.0-8.0-2.0,uungxb8s,,,,,,,,6737a806f29cc8b5d0a6977d,,,,,,,,,,,,,,,,,,
introduction,22,160159,0.0-8.0-0.1,uungxb8s,,,,,,,,6737a806f29cc8b5d0a6977d,,<p>CAREFUL. That was too slow.</p>,1910.0,calibration,,,,,,,,,,,,,,
introduction,23,164229,0.0-8.0-1.1-0.1,uungxb8s,,,,,,4067.0,3113,6737a806f29cc8b5d0a6977d,,3113,,calibration,,,,,,,,,,,,,,
introduction,24,166239,0.0-8.0-2.1,uungxb8s,,,,,,,,6737a806f29cc8b5d0a6977d,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,25,168159,0.0-8.0-0.2,uungxb8s,,,,,,,,6737a806f29cc8b5d0a6977d,,img/Red_circle.png,2862.0,calibration,,,,,,,,,,,,,,
introduction,26,170351,0.0-8.0-1.2-0.2,uungxb8s,,,,,,2188.0,1333,6737a806f29cc8b5d0a6977d,,1333,,calibration,,,,,,,,,,,,,,
introduction,27,170352,0.0-8.0-2.2,uungxb8s,,,,,,,,6737a806f29cc8b5d0a6977d,,,,,,,,,,,,,,,,,,
introduction,28,172364,0.0-8.0-0.3,uungxb8s,,,,,,,,6737a806f29cc8b5d0a6977d,,<p>CAREFUL. That was too slow.</p>,2591.0,calibration,,,,,,,,,,,,,,
introduction,29,174826,0.0-8.0-1.3-0.3,uungxb8s,,,,,,2458.0,3311,6737a806f29cc8b5d0a6977d,,3311,,calibration,,,,,,,,,,,,,,
introduction,30,174827,0.0-8.0-2.3,uungxb8s,,,,,,,,6737a806f29cc8b5d0a6977d,,,,,,,,,,,,,,,,,,
introduction,31,176831,0.0-8.0-0.4,uungxb8s,,,,,,,,6737a806f29cc8b5d0a6977d,,<p>CAREFUL. That was too slow.</p>,1882.0,calibration,,,,,,,,,,,,,,
