trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,30346,0.0-2.0,aa014309,,,,,,6196.0,673cf6d476dc4af064402a8c,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,3,35007,0.0-3.0,aa014309,,,,,,4648.0,673cf6d476dc4af064402a8c,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,4,54455,0.0-4.0-0.0,aa014309,,,,,,19447.0,,673cf6d476dc4af064402a8c,"[{""page_index"":0,""viewing_time"":2765},{""page_index"":1,""viewing_time"":13142},{""page_index"":2,""viewing_time"":3539}]",,,,,,,,,,,,,,,,,
introduction,5,55395,0.0-5.0-0.0,aa014309,,,,,,937.0,1,673cf6d476dc4af064402a8c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,56425,0.0-5.0-0.1,aa014309,,,,,,1029.0,2,673cf6d476dc4af064402a8c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,57364,0.0-5.0-0.2,aa014309,,,,,,938.0,1,673cf6d476dc4af064402a8c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,58518,0.0-5.0-0.3,aa014309,,,,,,1153.0,3,673cf6d476dc4af064402a8c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,59634,0.0-5.0-0.4,aa014309,,,,,,1115.0,2,673cf6d476dc4af064402a8c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,60874,0.0-5.0-0.5,aa014309,,,,,,1239.0,3,673cf6d476dc4af064402a8c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,61672,0.0-5.0-0.6,aa014309,,,,,,797.0,1,673cf6d476dc4af064402a8c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,62768,0.0-5.0-0.7,aa014309,,,,,,1095.0,2,673cf6d476dc4af064402a8c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,63552,0.0-5.0-0.8,aa014309,,,,,,783.0,3,673cf6d476dc4af064402a8c,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,64461,0.0-5.0-0.9,aa014309,,,,,,909.0,2,673cf6d476dc4af064402a8c,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,65305,0.0-5.0-0.10,aa014309,,,,,,842.0,1,673cf6d476dc4af064402a8c,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,66440,0.0-5.0-0.11,aa014309,,,,,,1135.0,3,673cf6d476dc4af064402a8c,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,151681,0.0-6.0-0.0,aa014309,,,,,,85239.0,,673cf6d476dc4af064402a8c,"[{""page_index"":0,""viewing_time"":1599},{""page_index"":1,""viewing_time"":4534},{""page_index"":2,""viewing_time"":74128},{""page_index"":3,""viewing_time"":4978}]",,,,,,,,,,,,,,,,,
introduction,19,181933,0.0-8.0-0.0,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,img/Red_circle.png,3176.0,calibration,,,,,,,,,,,,,,
introduction,20,184092,0.0-8.0-1.0-0.0,aa014309,,,,,,2154.0,2131,673cf6d476dc4af064402a8c,,2131,,calibration,,,,,,,,,,,,,,
introduction,21,184095,0.0-8.0-2.0,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,22,186109,0.0-8.0-0.1,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,<p>CAREFUL. That was too slow.</p>,2817.0,calibration,,,,,,,,,,,,,,
introduction,23,188598,0.0-8.0-1.1-0.1,aa014309,,,,,,2484.0,123,673cf6d476dc4af064402a8c,,1233,,calibration,,,,,,,,,,,,,,
introduction,24,191838,0.0-8.0-1.2-0.2,aa014309,,,,,,3227.0,1233,673cf6d476dc4af064402a8c,,1233,,calibration,,,,,,,,,,,,,,
introduction,25,193849,0.0-8.0-2.1,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,26,196676,0.0-8.0-0.2,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,img/Red_circle.png,1913.0,calibration,,,,,,,,,,,,,,
introduction,27,198783,0.0-8.0-1.3-0.3,aa014309,,,,,,2097.0,2121,673cf6d476dc4af064402a8c,,2121,,calibration,,,,,,,,,,,,,,
introduction,28,198785,0.0-8.0-2.2,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,29,200719,0.0-8.0-0.3,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,img/Red_circle.png,2474.0,calibration,,,,,,,,,,,,,,
introduction,30,202804,0.0-8.0-1.4-0.4,aa014309,,,,,,2077.0,2233,673cf6d476dc4af064402a8c,,2233,,calibration,,,,,,,,,,,,,,
introduction,31,202807,0.0-8.0-2.3,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,32,204820,0.0-8.0-0.4,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,<p>CAREFUL. That was too slow.</p>,2820.0,calibration,,,,,,,,,,,,,,
introduction,33,206689,0.0-8.0-1.5-0.5,aa014309,,,,,,1862.0,1121,673cf6d476dc4af064402a8c,,1121,,calibration,,,,,,,,,,,,,,
introduction,34,206692,0.0-8.0-2.4,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,35,208705,0.0-8.0-0.5,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,<p>CAREFUL. That was too slow.</p>,3343.0,calibration,,,,,,,,,,,,,,
introduction,36,211165,0.0-8.0-1.6-0.6,aa014309,,,,,,2453.0,3221,673cf6d476dc4af064402a8c,,3221,,calibration,,,,,,,,,,,,,,
introduction,37,211167,0.0-8.0-2.5,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,38,213181,0.0-8.0-0.6,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,<p>CAREFUL. That was too slow.</p>,2721.0,calibration,,,,,,,,,,,,,,
introduction,39,215203,0.0-8.0-1.7-0.7,aa014309,,,,,,2015.0,3321,673cf6d476dc4af064402a8c,,3321,,calibration,,,,,,,,,,,,,,
introduction,40,215205,0.0-8.0-2.6,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,41,217211,0.0-8.0-0.7,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,<p>CAREFUL. That was too slow.</p>,2634.0,calibration,,,,,,,,,,,,,,
introduction,42,219023,0.0-8.0-1.8-0.8,aa014309,,,,,,1802.0,1211,673cf6d476dc4af064402a8c,,1211,,calibration,,,,,,,,,,,,,,
introduction,43,219025,0.0-8.0-2.7,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,44,221027,0.0-8.0-0.8,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,<p>CAREFUL. That was too slow.</p>,2218.0,calibration,,,,,,,,,,,,,,
introduction,45,223097,0.0-8.0-1.9-0.9,aa014309,,,,,,2060.0,3222,673cf6d476dc4af064402a8c,,3222,,calibration,,,,,,,,,,,,,,
introduction,46,223100,0.0-8.0-2.8,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,47,225100,0.0-8.0-0.9,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,<p>CAREFUL. That was too slow.</p>,1207.0,calibration,,,,,,,,,,,,,,
introduction,48,227089,0.0-8.0-1.10-0.10,aa014309,,,,,,1980.0,3231,673cf6d476dc4af064402a8c,,3231,,calibration,,,,,,,,,,,,,,
introduction,49,227091,0.0-8.0-2.9,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,50,228319,0.0-8.0-0.10,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,img/Red_circle.png,1203.0,calibration,,,,,,,,,,,,,,
introduction,51,230170,0.0-8.0-1.11-0.11,aa014309,,,,,,1842.0,311,673cf6d476dc4af064402a8c,,311,,calibration,,,,,,,,,,,,,,
introduction,52,230172,0.0-8.0-2.10,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,53,231388,0.0-8.0-0.11,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,img/Red_circle.png,2823.0,calibration,,,,,,,,,,,,,,
introduction,54,233333,0.0-8.0-1.12-0.12,aa014309,,,,,,1937.0,3221,673cf6d476dc4af064402a8c,,3221,,calibration,,,,,,,,,,,,,,
introduction,55,233339,0.0-8.0-2.11,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
introduction,56,235337,0.0-8.0-0.12,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,<p>CAREFUL. That was too slow.</p>,1168.0,calibration,,,,,,,,,,,,,,
introduction,57,237281,0.0-8.0-1.13-0.13,aa014309,,,,,,1936.0,2133,673cf6d476dc4af064402a8c,,2133,,calibration,,,,,,,,,,,,,,
introduction,58,237283,0.0-8.0-2.12,aa014309,,,,,,,,673cf6d476dc4af064402a8c,,,,,,,,,,,,,,,,,,
