trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,25086,0.0-2.0,axdvzcuo,,,,,,13146.0,674112a6b017538cf65ce69f,674112a6b017538cf65ce69f,,,,,,,,,,,,,,,,,,
introduction,3,27707,0.0-3.0,axdvzcuo,,,,,,2614.0,674112a6b017538cf65ce69f,674112a6b017538cf65ce69f,,,,,,,,,,,,,,,,,,
introduction,4,32557,0.0-4.0-0.0,axdvzcuo,,,,,,4847.0,,674112a6b017538cf65ce69f,"[{""page_index"":0,""viewing_time"":1071},{""page_index"":1,""viewing_time"":2582},{""page_index"":2,""viewing_time"":1193}]",,,,,,,,,,,,,,,,,
introduction,5,33593,0.0-5.0-0.0,axdvzcuo,,,,,,1032.0,1,674112a6b017538cf65ce69f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,34109,0.0-5.0-0.1,axdvzcuo,,,,,,514.0,2,674112a6b017538cf65ce69f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,35009,0.0-5.0-0.2,axdvzcuo,,,,,,899.0,1,674112a6b017538cf65ce69f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,35512,0.0-5.0-0.3,axdvzcuo,,,,,,502.0,3,674112a6b017538cf65ce69f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,36044,0.0-5.0-0.4,axdvzcuo,,,,,,530.0,2,674112a6b017538cf65ce69f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,36575,0.0-5.0-0.5,axdvzcuo,,,,,,529.0,3,674112a6b017538cf65ce69f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,36996,0.0-5.0-0.6,axdvzcuo,,,,,,420.0,1,674112a6b017538cf65ce69f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,37414,0.0-5.0-0.7,axdvzcuo,,,,,,417.0,2,674112a6b017538cf65ce69f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,37841,0.0-5.0-0.8,axdvzcuo,,,,,,425.0,3,674112a6b017538cf65ce69f,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,38307,0.0-5.0-0.9,axdvzcuo,,,,,,464.0,2,674112a6b017538cf65ce69f,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,38733,0.0-5.0-0.10,axdvzcuo,,,,,,425.0,1,674112a6b017538cf65ce69f,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,39160,0.0-5.0-0.11,axdvzcuo,,,,,,426.0,3,674112a6b017538cf65ce69f,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,50472,0.0-6.0-0.0,axdvzcuo,,,,,,11312.0,,674112a6b017538cf65ce69f,"[{""page_index"":0,""viewing_time"":1817},{""page_index"":1,""viewing_time"":1496},{""page_index"":2,""viewing_time"":6926},{""page_index"":3,""viewing_time"":1073}]",,,,,,,,,,,,,,,,,
introduction,19,62475,0.0-8.0-0.0,axdvzcuo,,,,,,,,674112a6b017538cf65ce69f,,img/Red_circle.png,3261.0,calibration,,,,,,,,,,,,,,
