trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8983,0.0-2.0,ylumnm37,,,,,,5207.0,67435bbf9649c44a0e379543,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
introduction,3,12231,0.0-3.0,ylumnm37,,,,,,3246.0,67435bbf9649c44a0e379543,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
introduction,4,23310,0.0-4.0-0.0,ylumnm37,,,,,,11078.0,,67435bbf9649c44a0e379543,"[{""page_index"":0,""viewing_time"":6222},{""page_index"":1,""viewing_time"":4032},{""page_index"":2,""viewing_time"":823}]",,,,,,,,,,,,,,,,,
introduction,5,24489,0.0-5.0-0.0,ylumnm37,,,,,,1178.0,1,67435bbf9649c44a0e379543,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,24904,0.0-5.0-0.1,ylumnm37,,,,,,414.0,2,67435bbf9649c44a0e379543,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,25624,0.0-5.0-0.2,ylumnm37,,,,,,719.0,1,67435bbf9649c44a0e379543,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,26376,0.0-5.0-0.3,ylumnm37,,,,,,751.0,3,67435bbf9649c44a0e379543,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,27061,0.0-5.0-0.4,ylumnm37,,,,,,685.0,2,67435bbf9649c44a0e379543,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,27733,0.0-5.0-0.5,ylumnm37,,,,,,672.0,3,67435bbf9649c44a0e379543,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,28307,0.0-5.0-0.6,ylumnm37,,,,,,574.0,1,67435bbf9649c44a0e379543,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,28766,0.0-5.0-0.7,ylumnm37,,,,,,459.0,2,67435bbf9649c44a0e379543,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,29144,0.0-5.0-0.8,ylumnm37,,,,,,378.0,3,67435bbf9649c44a0e379543,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,30072,0.0-5.0-0.9,ylumnm37,,,,,,928.0,2,67435bbf9649c44a0e379543,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,30507,0.0-5.0-0.10,ylumnm37,,,,,,435.0,1,67435bbf9649c44a0e379543,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,31116,0.0-5.0-0.11,ylumnm37,,,,,,608.0,3,67435bbf9649c44a0e379543,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,45038,0.0-6.0-0.0,ylumnm37,,,,,,13922.0,,67435bbf9649c44a0e379543,"[{""page_index"":0,""viewing_time"":1722},{""page_index"":1,""viewing_time"":1616},{""page_index"":2,""viewing_time"":9696},{""page_index"":3,""viewing_time"":888}]",,,,,,,,,,,,,,,,,
introduction,19,70867,0.0-8.0-0.0,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,img/Red_circle.png,3423.0,calibration,,,,,,,,,,,,,,
introduction,20,73273,0.0-8.0-1.0-0.0,ylumnm37,,,,,,2402.0,1223,67435bbf9649c44a0e379543,,1223,,calibration,,,,,,,,,,,,,,
introduction,21,73275,0.0-8.0-2.0,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
introduction,22,75276,0.0-8.0-0.1,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,<p>CAREFUL. That was too slow.</p>,3177.0,calibration,,,,,,,,,,,,,,
introduction,23,77049,0.0-8.0-1.1-0.1,ylumnm37,,,,,,1771.0,2222,67435bbf9649c44a0e379543,,2222,,calibration,,,,,,,,,,,,,,
introduction,24,77050,0.0-8.0-2.1,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
introduction,25,79057,0.0-8.0-0.2,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,<p>CAREFUL. That was too slow.</p>,1353.0,calibration,,,,,,,,,,,,,,
introduction,26,80400,0.0-8.0-1.2-0.2,ylumnm37,,,,,,1340.0,333,67435bbf9649c44a0e379543,,333,,calibration,,,,,,,,,,,,,,
introduction,27,80400,0.0-8.0-2.2,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
introduction,28,81762,0.0-8.0-0.3,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,img/Red_circle.png,3075.0,calibration,,,,,,,,,,,,,,
introduction,29,84235,0.0-8.0-1.3-0.3,ylumnm37,,,,,,2471.0,2321,67435bbf9649c44a0e379543,,2321,,calibration,,,,,,,,,,,,,,
introduction,30,84236,0.0-8.0-2.3,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
introduction,31,86238,0.0-8.0-0.4,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,<p>CAREFUL. That was too slow.</p>,1252.0,calibration,,,,,,,,,,,,,,
introduction,32,89142,0.0-8.0-1.4-0.4,ylumnm37,,,,,,2901.0,1332,67435bbf9649c44a0e379543,,1332,,calibration,,,,,,,,,,,,,,
introduction,33,89142,0.0-8.0-2.4,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
introduction,34,90410,0.0-8.0-0.5,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,img/Red_circle.png,2082.0,calibration,,,,,,,,,,,,,,
introduction,35,92106,0.0-8.0-1.5-0.5,ylumnm37,,,,,,1695.0,221,67435bbf9649c44a0e379543,,221,,calibration,,,,,,,,,,,,,,
introduction,36,92107,0.0-8.0-2.5,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
introduction,37,94116,0.0-8.0-0.6,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,<p>CAREFUL. That was too slow.</p>,2289.0,calibration,,,,,,,,,,,,,,
introduction,38,95803,0.0-8.0-1.6-0.6,ylumnm37,,,,,,1685.0,2222,67435bbf9649c44a0e379543,,2222,,calibration,,,,,,,,,,,,,,
introduction,39,95804,0.0-8.0-2.6,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
introduction,40,97820,0.0-8.0-0.7,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,<p>CAREFUL. That was too slow.</p>,1870.0,calibration,,,,,,,,,,,,,,
introduction,41,99188,0.0-8.0-1.7-0.7,ylumnm37,,,,,,1366.0,111,67435bbf9649c44a0e379543,,111,,calibration,,,,,,,,,,,,,,
introduction,42,99188,0.0-8.0-2.7,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
introduction,43,101064,0.0-8.0-0.8,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,img/Red_circle.png,2037.0,calibration,,,,,,,,,,,,,,
introduction,44,103403,0.0-8.0-1.8-0.8,ylumnm37,,,,,,2337.0,2212,67435bbf9649c44a0e379543,,2212,,calibration,,,,,,,,,,,,,,
introduction,45,103403,0.0-8.0-2.8,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
introduction,46,105415,0.0-8.0-0.9,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,<p>CAREFUL. That was too slow.</p>,1564.0,calibration,,,,,,,,,,,,,,
introduction,47,107709,0.0-8.0-1.9-0.9,ylumnm37,,,,,,2292.0,1131,67435bbf9649c44a0e379543,,1131,,calibration,,,,,,,,,,,,,,
introduction,48,107709,0.0-8.0-2.9,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
introduction,49,109278,0.0-8.0-0.10,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,img/Red_circle.png,3159.0,calibration,,,,,,,,,,,,,,
introduction,50,111053,0.0-8.0-1.10-0.10,ylumnm37,,,,,,1774.0,1212,67435bbf9649c44a0e379543,,1212,,calibration,,,,,,,,,,,,,,
introduction,51,111054,0.0-8.0-2.10,ylumnm37,,,,,,,,67435bbf9649c44a0e379543,,,,,,,,,,,,,,,,,,
