trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,12255,0.0-2.0,dc24e5p5,,,,,,9188.0,6746ba07ec6ff8d47bf66796,6746ba07ec6ff8d47bf66796,,,,,,,,,,,,,,,,,,
introduction,3,15606,0.0-3.0,dc24e5p5,,,,,,3349.0,6746ba07ec6ff8d47bf66796,6746ba07ec6ff8d47bf66796,,,,,,,,,,,,,,,,,,
introduction,4,18381,0.0-4.0-0.0,dc24e5p5,,,,,,2774.0,,6746ba07ec6ff8d47bf66796,"[{""page_index"":0,""viewing_time"":1110},{""page_index"":1,""viewing_time"":48},{""page_index"":2,""viewing_time"":1616}]",,,,,,,,,,,,,,,,,
introduction,5,20208,0.0-5.0-0.0,dc24e5p5,,,,,,1825.0,1,6746ba07ec6ff8d47bf66796,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,21050,0.0-5.0-0.1,dc24e5p5,,,,,,841.0,2,6746ba07ec6ff8d47bf66796,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,22088,0.0-5.0-0.2,dc24e5p5,,,,,,1037.0,1,6746ba07ec6ff8d47bf66796,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,23284,0.0-5.0-0.3,dc24e5p5,,,,,,1194.0,3,6746ba07ec6ff8d47bf66796,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,24269,0.0-5.0-0.4,dc24e5p5,,,,,,984.0,2,6746ba07ec6ff8d47bf66796,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,25296,0.0-5.0-0.5,dc24e5p5,,,,,,1025.0,3,6746ba07ec6ff8d47bf66796,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,26407,0.0-5.0-0.6,dc24e5p5,,,,,,1109.0,1,6746ba07ec6ff8d47bf66796,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,27268,0.0-5.0-0.7,dc24e5p5,,,,,,859.0,2,6746ba07ec6ff8d47bf66796,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,29742,0.0-5.0-0.8,dc24e5p5,,,,,,2470.0,3,6746ba07ec6ff8d47bf66796,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,30608,0.0-5.0-0.9,dc24e5p5,,,,,,865.0,2,6746ba07ec6ff8d47bf66796,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,31167,0.0-5.0-0.10,dc24e5p5,,,,,,557.0,1,6746ba07ec6ff8d47bf66796,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,32375,0.0-5.0-0.11,dc24e5p5,,,,,,1207.0,3,6746ba07ec6ff8d47bf66796,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,36862,0.0-6.0-0.0,dc24e5p5,,,,,,4486.0,,6746ba07ec6ff8d47bf66796,"[{""page_index"":0,""viewing_time"":917},{""page_index"":1,""viewing_time"":1296},{""page_index"":2,""viewing_time"":1480},{""page_index"":3,""viewing_time"":792}]",,,,,,,,,,,,,,,,,
introduction,19,57391,0.0-8.0-0.0,dc24e5p5,,,,,,,,6746ba07ec6ff8d47bf66796,,img/Red_circle.png,2356.0,calibration,,,,,,,,,,,,,,
introduction,20,59039,0.0-8.0-1.0-0.0,dc24e5p5,,,,,,1639.0,3311,6746ba07ec6ff8d47bf66796,,3311,,calibration,,,,,,,,,,,,,,
introduction,21,59041,0.0-8.0-2.0,dc24e5p5,,,,,,,,6746ba07ec6ff8d47bf66796,,,,,,,,,,,,,,,,,,
introduction,22,61046,0.0-8.0-0.1,dc24e5p5,,,,,,,,6746ba07ec6ff8d47bf66796,,<p>CAREFUL. That was too slow.</p>,1759.0,calibration,,,,,,,,,,,,,,
introduction,23,62493,0.0-8.0-1.1-0.1,dc24e5p5,,,,,,1440.0,23,6746ba07ec6ff8d47bf66796,,23,,calibration,,,,,,,,,,,,,,
introduction,24,62494,0.0-8.0-2.1,dc24e5p5,,,,,,,,6746ba07ec6ff8d47bf66796,,,,,,,,,,,,,,,,,,
introduction,25,64258,0.0-8.0-0.2,dc24e5p5,,,,,,,,6746ba07ec6ff8d47bf66796,,img/Red_circle.png,2854.0,calibration,,,,,,,,,,,,,,
introduction,26,66334,0.0-8.0-1.2-0.2,dc24e5p5,,,,,,2073.0,1332,6746ba07ec6ff8d47bf66796,,1332,,calibration,,,,,,,,,,,,,,
introduction,27,66335,0.0-8.0-2.2,dc24e5p5,,,,,,,,6746ba07ec6ff8d47bf66796,,,,,,,,,,,,,,,,,,
introduction,28,68341,0.0-8.0-0.3,dc24e5p5,,,,,,,,6746ba07ec6ff8d47bf66796,,<p>CAREFUL. That was too slow.</p>,2750.0,calibration,,,,,,,,,,,,,,
introduction,29,69456,0.0-8.0-1.3-0.3,dc24e5p5,,,,,,1109.0,11,6746ba07ec6ff8d47bf66796,,11,,calibration,,,,,,,,,,,,,,
introduction,30,69457,0.0-8.0-2.3,dc24e5p5,,,,,,,,6746ba07ec6ff8d47bf66796,,,,,,,,,,,,,,,,,,
introduction,31,71461,0.0-8.0-0.4,dc24e5p5,,,,,,,,6746ba07ec6ff8d47bf66796,,<p>CAREFUL. That was too slow.</p>,2037.0,calibration,,,,,,,,,,,,,,
