trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7764,0.0-2.0,jf5h00at,,,,,,4190.0,6750c1f9beef487bf5b58069,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,3,10745,0.0-3.0,jf5h00at,,,,,,2973.0,6750c1f9beef487bf5b58069,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,4,26282,0.0-4.0-0.0,jf5h00at,,,,,,15534.0,,6750c1f9beef487bf5b58069,"[{""page_index"":0,""viewing_time"":1120},{""page_index"":1,""viewing_time"":7879},{""page_index"":2,""viewing_time"":6533}]",,,,,,,,,,,,,,,,,
introduction,5,27095,0.0-5.0-0.0,jf5h00at,,,,,,810.0,1,6750c1f9beef487bf5b58069,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,27417,0.0-5.0-0.1,jf5h00at,,,,,,321.0,2,6750c1f9beef487bf5b58069,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,28130,0.0-5.0-0.2,jf5h00at,,,,,,710.0,1,6750c1f9beef487bf5b58069,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,28763,0.0-5.0-0.3,jf5h00at,,,,,,629.0,3,6750c1f9beef487bf5b58069,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,29429,0.0-5.0-0.4,jf5h00at,,,,,,662.0,2,6750c1f9beef487bf5b58069,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,30010,0.0-5.0-0.5,jf5h00at,,,,,,578.0,3,6750c1f9beef487bf5b58069,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,30517,0.0-5.0-0.6,jf5h00at,,,,,,504.0,1,6750c1f9beef487bf5b58069,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,30987,0.0-5.0-0.7,jf5h00at,,,,,,467.0,2,6750c1f9beef487bf5b58069,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,31401,0.0-5.0-0.8,jf5h00at,,,,,,412.0,3,6750c1f9beef487bf5b58069,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,31982,0.0-5.0-0.9,jf5h00at,,,,,,578.0,2,6750c1f9beef487bf5b58069,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,32448,0.0-5.0-0.10,jf5h00at,,,,,,464.0,1,6750c1f9beef487bf5b58069,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,33068,0.0-5.0-0.11,jf5h00at,,,,,,616.0,3,6750c1f9beef487bf5b58069,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,61244,0.0-6.0-0.0,jf5h00at,,,,,,28174.0,,6750c1f9beef487bf5b58069,"[{""page_index"":0,""viewing_time"":1846},{""page_index"":1,""viewing_time"":3458},{""page_index"":2,""viewing_time"":20806},{""page_index"":3,""viewing_time"":2063}]",,,,,,,,,,,,,,,,,
introduction,19,92834,0.0-8.0-0.0,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,img/Red_circle.png,1202.0,calibration,,,,,,,,,,,,,,
introduction,20,94953,0.0-8.0-1.0-0.0,jf5h00at,,,,,,2112.0,221,6750c1f9beef487bf5b58069,,221,,calibration,,,,,,,,,,,,,,
introduction,21,94960,0.0-8.0-2.0,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,22,96168,0.0-8.0-0.1,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,img/Red_circle.png,1975.0,calibration,,,,,,,,,,,,,,
introduction,23,98027,0.0-8.0-1.1-0.1,jf5h00at,,,,,,1840.0,1123,6750c1f9beef487bf5b58069,,1123,,calibration,,,,,,,,,,,,,,
introduction,24,98030,0.0-8.0-2.1,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,25,100009,0.0-8.0-0.2,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,img/Red_circle.png,2523.0,calibration,,,,,,,,,,,,,,
introduction,26,101968,0.0-8.0-1.2-0.2,jf5h00at,,,,,,1951.0,211,6750c1f9beef487bf5b58069,,211,,calibration,,,,,,,,,,,,,,
introduction,27,101972,0.0-8.0-2.2,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,28,103973,0.0-8.0-0.3,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,3006.0,calibration,,,,,,,,,,,,,,
introduction,29,105770,0.0-8.0-1.3-0.3,jf5h00at,,,,,,1788.0,233,6750c1f9beef487bf5b58069,,233,,calibration,,,,,,,,,,,,,,
introduction,30,105774,0.0-8.0-2.3,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,31,107775,0.0-8.0-0.4,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,2370.0,calibration,,,,,,,,,,,,,,
introduction,32,109891,0.0-8.0-1.4-0.4,jf5h00at,,,,,,2097.0,2322,6750c1f9beef487bf5b58069,,2322,,calibration,,,,,,,,,,,,,,
introduction,33,109897,0.0-8.0-2.4,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,34,111898,0.0-8.0-0.5,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,1151.0,calibration,,,,,,,,,,,,,,
introduction,35,113756,0.0-8.0-1.5-0.5,jf5h00at,,,,,,1840.0,1123,6750c1f9beef487bf5b58069,,1123,,calibration,,,,,,,,,,,,,,
introduction,36,113758,0.0-8.0-2.5,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,37,114912,0.0-8.0-0.6,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,img/Red_circle.png,2842.0,calibration,,,,,,,,,,,,,,
introduction,38,117158,0.0-8.0-1.6-0.6,jf5h00at,,,,,,2236.0,1312,6750c1f9beef487bf5b58069,,1312,,calibration,,,,,,,,,,,,,,
introduction,39,117161,0.0-8.0-2.6,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,40,119161,0.0-8.0-0.7,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,1104.0,calibration,,,,,,,,,,,,,,
introduction,41,121197,0.0-8.0-1.7-0.7,jf5h00at,,,,,,2029.0,2222,6750c1f9beef487bf5b58069,,2222,,calibration,,,,,,,,,,,,,,
introduction,42,121199,0.0-8.0-2.7,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,43,122307,0.0-8.0-0.8,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,img/Red_circle.png,2563.0,calibration,,,,,,,,,,,,,,
introduction,44,125393,0.0-8.0-1.8-0.8,jf5h00at,,,,,,3076.0,3111,6750c1f9beef487bf5b58069,,3111,,calibration,,,,,,,,,,,,,,
introduction,45,125397,0.0-8.0-2.8,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,46,127398,0.0-8.0-0.9,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,3481.0,calibration,,,,,,,,,,,,,,
introduction,47,130269,0.0-8.0-1.9-0.9,jf5h00at,,,,,,2860.0,2313,6750c1f9beef487bf5b58069,,2313,,calibration,,,,,,,,,,,,,,
introduction,48,130272,0.0-8.0-2.9,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,49,132273,0.0-8.0-0.10,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,1645.0,calibration,,,,,,,,,,,,,,
introduction,50,134699,0.0-8.0-1.10-0.10,jf5h00at,,,,,,2417.0,2232,6750c1f9beef487bf5b58069,,2232,,calibration,,,,,,,,,,,,,,
introduction,51,134706,0.0-8.0-2.10,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,52,136354,0.0-8.0-0.11,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,img/Red_circle.png,2982.0,calibration,,,,,,,,,,,,,,
introduction,53,138186,0.0-8.0-1.11-0.11,jf5h00at,,,,,,1823.0,1133,6750c1f9beef487bf5b58069,,1133,,calibration,,,,,,,,,,,,,,
introduction,54,138190,0.0-8.0-2.11,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,55,140190,0.0-8.0-0.12,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,2626.0,calibration,,,,,,,,,,,,,,
introduction,56,142038,0.0-8.0-1.12-0.12,jf5h00at,,,,,,1841.0,1212,6750c1f9beef487bf5b58069,,1212,,calibration,,,,,,,,,,,,,,
introduction,57,142042,0.0-8.0-2.12,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,58,144043,0.0-8.0-0.13,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,2100.0,calibration,,,,,,,,,,,,,,
introduction,59,146050,0.0-8.0-1.13-0.13,jf5h00at,,,,,,1995.0,3313,6750c1f9beef487bf5b58069,,3313,,calibration,,,,,,,,,,,,,,
introduction,60,146051,0.0-8.0-2.13,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,61,148052,0.0-8.0-0.14,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,2255.0,calibration,,,,,,,,,,,,,,
introduction,62,149575,0.0-8.0-1.14-0.14,jf5h00at,,,,,,1516.0,131,6750c1f9beef487bf5b58069,,131,,calibration,,,,,,,,,,,,,,
introduction,63,149577,0.0-8.0-2.14,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,64,151579,0.0-8.0-0.15,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,2165.0,calibration,,,,,,,,,,,,,,
introduction,65,153388,0.0-8.0-1.15-0.15,jf5h00at,,,,,,1797.0,2233,6750c1f9beef487bf5b58069,,2233,,calibration,,,,,,,,,,,,,,
introduction,66,153391,0.0-8.0-2.15,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,67,155392,0.0-8.0-0.16,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,2294.0,calibration,,,,,,,,,,,,,,
introduction,68,157024,0.0-8.0-1.16-0.16,jf5h00at,,,,,,1622.0,323,6750c1f9beef487bf5b58069,,323,,calibration,,,,,,,,,,,,,,
introduction,69,157027,0.0-8.0-2.16,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,70,159029,0.0-8.0-0.17,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,2884.0,calibration,,,,,,,,,,,,,,
introduction,71,160974,0.0-8.0-1.17-0.17,jf5h00at,,,,,,1926.0,2323,6750c1f9beef487bf5b58069,,2323,,calibration,,,,,,,,,,,,,,
introduction,72,160977,0.0-8.0-2.17,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,73,162978,0.0-8.0-0.18,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,2692.0,calibration,,,,,,,,,,,,,,
introduction,74,164877,0.0-8.0-1.18-0.18,jf5h00at,,,,,,1885.0,2312,6750c1f9beef487bf5b58069,,2312,,calibration,,,,,,,,,,,,,,
introduction,75,164881,0.0-8.0-2.18,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,76,166882,0.0-8.0-0.19,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,2846.0,calibration,,,,,,,,,,,,,,
introduction,77,168318,0.0-8.0-1.19-0.19,jf5h00at,,,,,,1426.0,33,6750c1f9beef487bf5b58069,,33,,calibration,,,,,,,,,,,,,,
introduction,78,168323,0.0-8.0-2.19,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,79,170324,0.0-8.0-0.20,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,1898.0,calibration,,,,,,,,,,,,,,
introduction,80,171961,0.0-8.0-1.20-0.20,jf5h00at,,,,,,1630.0,2313,6750c1f9beef487bf5b58069,,2313,,calibration,,,,,,,,,,,,,,
introduction,81,171963,0.0-8.0-2.20,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,82,173866,0.0-8.0-0.21,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,img/Red_circle.png,1753.0,calibration,,,,,,,,,,,,,,
introduction,83,176098,0.0-8.0-1.21-0.21,jf5h00at,,,,,,2213.0,32,6750c1f9beef487bf5b58069,,32,,calibration,,,,,,,,,,,,,,
introduction,84,176102,0.0-8.0-2.21,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,85,177859,0.0-8.0-0.22,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,img/Red_circle.png,2791.0,calibration,,,,,,,,,,,,,,
introduction,86,179633,0.0-8.0-1.22-0.22,jf5h00at,,,,,,1765.0,3232,6750c1f9beef487bf5b58069,,3232,,calibration,,,,,,,,,,,,,,
introduction,87,179637,0.0-8.0-2.22,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,88,181638,0.0-8.0-0.23,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,3427.0,calibration,,,,,,,,,,,,,,
introduction,89,183396,0.0-8.0-1.23-0.23,jf5h00at,,,,,,1748.0,1132,6750c1f9beef487bf5b58069,,1132,,calibration,,,,,,,,,,,,,,
introduction,90,183400,0.0-8.0-2.23,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,91,185400,0.0-8.0-0.24,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,3060.0,calibration,,,,,,,,,,,,,,
introduction,92,187326,0.0-8.0-1.24-0.24,jf5h00at,,,,,,1912.0,213,6750c1f9beef487bf5b58069,,213,,calibration,,,,,,,,,,,,,,
introduction,93,187328,0.0-8.0-2.24,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,94,189329,0.0-8.0-0.25,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,2703.0,calibration,,,,,,,,,,,,,,
introduction,95,190888,0.0-8.0-1.25-0.25,jf5h00at,,,,,,1552.0,112,6750c1f9beef487bf5b58069,,112,,calibration,,,,,,,,,,,,,,
introduction,96,190891,0.0-8.0-2.25,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,97,192893,0.0-8.0-0.26,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,2032.0,calibration,,,,,,,,,,,,,,
introduction,98,194882,0.0-8.0-1.26-0.26,jf5h00at,,,,,,1973.0,3131,6750c1f9beef487bf5b58069,,3131,,calibration,,,,,,,,,,,,,,
introduction,99,194885,0.0-8.0-2.26,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,100,196886,0.0-8.0-0.27,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,3367.0,calibration,,,,,,,,,,,,,,
introduction,101,198670,0.0-8.0-1.27-0.27,jf5h00at,,,,,,1778.0,3311,6750c1f9beef487bf5b58069,,3311,,calibration,,,,,,,,,,,,,,
introduction,102,198676,0.0-8.0-2.27,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,103,200678,0.0-8.0-0.28,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,1749.0,calibration,,,,,,,,,,,,,,
introduction,104,202594,0.0-8.0-1.28-0.28,jf5h00at,,,,,,1905.0,2121,6750c1f9beef487bf5b58069,,2121,,calibration,,,,,,,,,,,,,,
introduction,105,202597,0.0-8.0-2.28,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,106,204351,0.0-8.0-0.29,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,img/Red_circle.png,2496.0,calibration,,,,,,,,,,,,,,
introduction,107,205937,0.0-8.0-1.29-0.29,jf5h00at,,,,,,1573.0,23,6750c1f9beef487bf5b58069,,23,,calibration,,,,,,,,,,,,,,
introduction,108,205943,0.0-8.0-2.29,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,,,,,,,,,,,,,,,,,
introduction,109,207944,0.0-8.0-0.30,jf5h00at,,,,,,,,6750c1f9beef487bf5b58069,,<p>CAREFUL. That was too slow.</p>,1542.0,calibration,,,,,,,,,,,,,,
introduction,110,210008,0.0-8.0-1.30-0.30,jf5h00at,,,,,,2049.0,3222,6750c1f9beef487bf5b58069,,3222,,calibration,,,,,,,,,,,,,,
