trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,61130,0.0-2.0,ov8eo4az,,,,,,31665.0,675351e5c347e5839db66ff3,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,3,65240,0.0-3.0,ov8eo4az,,,,,,4103.0,675351e5c347e5839db66ff3,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,4,120057,0.0-4.0-0.0,ov8eo4az,,,,,,54815.0,,675351e5c347e5839db66ff3,"[{""page_index"":0,""viewing_time"":1342},{""page_index"":1,""viewing_time"":52350},{""page_index"":2,""viewing_time"":1122}]",,,,,,,,,,,,,,,,,
introduction,5,122094,0.0-5.0-0.0,ov8eo4az,,,,,,2033.0,1,675351e5c347e5839db66ff3,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,123508,0.0-5.0-0.1,ov8eo4az,,,,,,1412.0,2,675351e5c347e5839db66ff3,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,124309,0.0-5.0-0.2,ov8eo4az,,,,,,799.0,1,675351e5c347e5839db66ff3,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,125733,0.0-5.0-0.3,ov8eo4az,,,,,,1422.0,3,675351e5c347e5839db66ff3,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,126885,0.0-5.0-0.4,ov8eo4az,,,,,,1150.0,2,675351e5c347e5839db66ff3,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,128909,0.0-5.0-0.5,ov8eo4az,,,,,,2023.0,3,675351e5c347e5839db66ff3,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,130069,0.0-5.0-0.6,ov8eo4az,,,,,,1158.0,1,675351e5c347e5839db66ff3,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,131037,0.0-5.0-0.7,ov8eo4az,,,,,,966.0,2,675351e5c347e5839db66ff3,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,132429,0.0-5.0-0.8,ov8eo4az,,,,,,1391.0,3,675351e5c347e5839db66ff3,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,133517,0.0-5.0-0.9,ov8eo4az,,,,,,1086.0,2,675351e5c347e5839db66ff3,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,134269,0.0-5.0-0.10,ov8eo4az,,,,,,750.0,1,675351e5c347e5839db66ff3,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,135533,0.0-5.0-0.11,ov8eo4az,,,,,,1263.0,3,675351e5c347e5839db66ff3,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,146599,0.0-6.0-0.0,ov8eo4az,,,,,,11065.0,,675351e5c347e5839db66ff3,"[{""page_index"":0,""viewing_time"":2408},{""page_index"":1,""viewing_time"":2915},{""page_index"":2,""viewing_time"":4555},{""page_index"":3,""viewing_time"":1187}]",,,,,,,,,,,,,,,,,
introduction,19,158099,0.0-8.0-0.0,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,img/Red_circle.png,2189.0,calibration,,,,,,,,,,,,,,
introduction,20,161119,0.0-8.0-1.0-0.0,ov8eo4az,,,,,,3009.0,13,675351e5c347e5839db66ff3,,13,,calibration,,,,,,,,,,,,,,
introduction,21,161125,0.0-8.0-2.0,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,22,163126,0.0-8.0-0.1,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,2328.0,calibration,,,,,,,,,,,,,,
introduction,23,164534,0.0-8.0-1.1-0.1,ov8eo4az,,,,,,1400.0,112,675351e5c347e5839db66ff3,,112,,calibration,,,,,,,,,,,,,,
introduction,24,164536,0.0-8.0-2.1,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,25,166539,0.0-8.0-0.2,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,1921.0,calibration,,,,,,,,,,,,,,
introduction,26,168357,0.0-8.0-1.2-0.2,ov8eo4az,,,,,,1811.0,1223,675351e5c347e5839db66ff3,,1223,,calibration,,,,,,,,,,,,,,
introduction,27,168359,0.0-8.0-2.2,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,28,170284,0.0-8.0-0.3,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,img/Red_circle.png,2296.0,calibration,,,,,,,,,,,,,,
introduction,29,172999,0.0-8.0-1.3-0.3,ov8eo4az,,,,,,2705.0,3332,675351e5c347e5839db66ff3,,3332,,calibration,,,,,,,,,,,,,,
introduction,30,173002,0.0-8.0-2.3,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,31,175013,0.0-8.0-0.4,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,2512.0,calibration,,,,,,,,,,,,,,
introduction,32,178055,0.0-8.0-1.4-0.4,ov8eo4az,,,,,,3034.0,3321,675351e5c347e5839db66ff3,,3321,,calibration,,,,,,,,,,,,,,
introduction,33,178058,0.0-8.0-2.4,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,34,180060,0.0-8.0-0.5,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,3353.0,calibration,,,,,,,,,,,,,,
introduction,35,182414,0.0-8.0-1.5-0.5,ov8eo4az,,,,,,2347.0,1313,675351e5c347e5839db66ff3,,1313,,calibration,,,,,,,,,,,,,,
introduction,36,182418,0.0-8.0-2.5,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,37,184420,0.0-8.0-0.6,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,2056.0,calibration,,,,,,,,,,,,,,
introduction,38,187504,0.0-8.0-1.6-0.6,ov8eo4az,,,,,,3076.0,1321,675351e5c347e5839db66ff3,,1321,,calibration,,,,,,,,,,,,,,
introduction,39,187507,0.0-8.0-2.6,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,40,189512,0.0-8.0-0.7,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,1321.0,calibration,,,,,,,,,,,,,,
introduction,41,192983,0.0-8.0-1.7-0.7,ov8eo4az,,,,,,3465.0,2232,675351e5c347e5839db66ff3,,2232,,calibration,,,,,,,,,,,,,,
introduction,42,192986,0.0-8.0-2.7,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,43,194323,0.0-8.0-0.8,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,img/Red_circle.png,1657.0,calibration,,,,,,,,,,,,,,
introduction,44,197927,0.0-8.0-1.8-0.8,ov8eo4az,,,,,,3596.0,2321,675351e5c347e5839db66ff3,,2321,,calibration,,,,,,,,,,,,,,
introduction,45,199945,0.0-8.0-2.8,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,46,201612,0.0-8.0-0.9,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,img/Red_circle.png,2034.0,calibration,,,,,,,,,,,,,,
introduction,47,204631,0.0-8.0-1.9-0.9,ov8eo4az,,,,,,3011.0,3122,675351e5c347e5839db66ff3,,3122,,calibration,,,,,,,,,,,,,,
introduction,48,204634,0.0-8.0-2.9,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,49,206640,0.0-8.0-0.10,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,1073.0,calibration,,,,,,,,,,,,,,
introduction,50,208543,0.0-8.0-1.10-0.10,ov8eo4az,,,,,,1896.0,212,675351e5c347e5839db66ff3,,212,,calibration,,,,,,,,,,,,,,
introduction,51,208546,0.0-8.0-2.10,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,52,209623,0.0-8.0-0.11,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,img/Red_circle.png,3085.0,calibration,,,,,,,,,,,,,,
introduction,53,212094,0.0-8.0-1.11-0.11,ov8eo4az,,,,,,2465.0,2231,675351e5c347e5839db66ff3,,2231,,calibration,,,,,,,,,,,,,,
introduction,54,212097,0.0-8.0-2.11,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,55,214102,0.0-8.0-0.12,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,2958.0,calibration,,,,,,,,,,,,,,
introduction,56,216991,0.0-8.0-1.12-0.12,ov8eo4az,,,,,,2881.0,2322,675351e5c347e5839db66ff3,,2322,,calibration,,,,,,,,,,,,,,
introduction,57,216994,0.0-8.0-2.12,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,58,219006,0.0-8.0-0.13,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,2873.0,calibration,,,,,,,,,,,,,,
introduction,59,221015,0.0-8.0-1.13-0.13,ov8eo4az,,,,,,2001.0,132,675351e5c347e5839db66ff3,,132,,calibration,,,,,,,,,,,,,,
introduction,60,221018,0.0-8.0-2.13,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,61,223025,0.0-8.0-0.14,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,3010.0,calibration,,,,,,,,,,,,,,
introduction,62,225319,0.0-8.0-1.14-0.14,ov8eo4az,,,,,,2286.0,3123,675351e5c347e5839db66ff3,,3123,,calibration,,,,,,,,,,,,,,
introduction,63,225322,0.0-8.0-2.14,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,64,227322,0.0-8.0-0.15,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,2068.0,calibration,,,,,,,,,,,,,,
introduction,65,229183,0.0-8.0-1.15-0.15,ov8eo4az,,,,,,1853.0,311,675351e5c347e5839db66ff3,,311,,calibration,,,,,,,,,,,,,,
introduction,66,229186,0.0-8.0-2.15,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,67,231190,0.0-8.0-0.16,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,3226.0,calibration,,,,,,,,,,,,,,
introduction,68,233039,0.0-8.0-1.16-0.16,ov8eo4az,,,,,,1841.0,332,675351e5c347e5839db66ff3,,332,,calibration,,,,,,,,,,,,,,
introduction,69,233041,0.0-8.0-2.16,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,70,235043,0.0-8.0-0.17,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,2340.0,calibration,,,,,,,,,,,,,,
introduction,71,237047,0.0-8.0-1.17-0.17,ov8eo4az,,,,,,1996.0,1122,675351e5c347e5839db66ff3,,1122,,calibration,,,,,,,,,,,,,,
introduction,72,237049,0.0-8.0-2.17,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,73,239056,0.0-8.0-0.18,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,3380.0,calibration,,,,,,,,,,,,,,
introduction,74,240903,0.0-8.0-1.18-0.18,ov8eo4az,,,,,,1839.0,1121,675351e5c347e5839db66ff3,,1121,,calibration,,,,,,,,,,,,,,
introduction,75,240906,0.0-8.0-2.18,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,76,242907,0.0-8.0-0.19,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,2957.0,calibration,,,,,,,,,,,,,,
introduction,77,244975,0.0-8.0-1.19-0.19,ov8eo4az,,,,,,2060.0,3311,675351e5c347e5839db66ff3,,3311,,calibration,,,,,,,,,,,,,,
introduction,78,244978,0.0-8.0-2.19,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,79,246989,0.0-8.0-0.20,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,3400.0,calibration,,,,,,,,,,,,,,
introduction,80,249607,0.0-8.0-1.20-0.20,ov8eo4az,,,,,,2610.0,3132,675351e5c347e5839db66ff3,,3132,,calibration,,,,,,,,,,,,,,
introduction,81,249610,0.0-8.0-2.20,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,82,251621,0.0-8.0-0.21,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,2589.0,calibration,,,,,,,,,,,,,,
introduction,83,254223,0.0-8.0-1.21-0.21,ov8eo4az,,,,,,2594.0,2313,675351e5c347e5839db66ff3,,2313,,calibration,,,,,,,,,,,,,,
introduction,84,254226,0.0-8.0-2.21,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,85,256227,0.0-8.0-0.22,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,2342.0,calibration,,,,,,,,,,,,,,
introduction,86,257895,0.0-8.0-1.22-0.22,ov8eo4az,,,,,,1661.0,113,675351e5c347e5839db66ff3,,113,,calibration,,,,,,,,,,,,,,
introduction,87,257899,0.0-8.0-2.22,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,88,259909,0.0-8.0-0.23,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,1925.0,calibration,,,,,,,,,,,,,,
introduction,89,261846,0.0-8.0-1.23-0.23,ov8eo4az,,,,,,1930.0,1233,675351e5c347e5839db66ff3,,1233,,calibration,,,,,,,,,,,,,,
introduction,90,261849,0.0-8.0-2.23,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,91,263794,0.0-8.0-0.24,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,img/Red_circle.png,1705.0,calibration,,,,,,,,,,,,,,
introduction,92,265647,0.0-8.0-1.24-0.24,ov8eo4az,,,,,,1845.0,1232,675351e5c347e5839db66ff3,,1232,,calibration,,,,,,,,,,,,,,
introduction,93,265650,0.0-8.0-2.24,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,94,267360,0.0-8.0-0.25,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,img/Red_circle.png,1670.0,calibration,,,,,,,,,,,,,,
introduction,95,269134,0.0-8.0-1.25-0.25,ov8eo4az,,,,,,1767.0,1233,675351e5c347e5839db66ff3,,1233,,calibration,,,,,,,,,,,,,,
introduction,96,269138,0.0-8.0-2.25,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,97,270819,0.0-8.0-0.26,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,img/Red_circle.png,3451.0,calibration,,,,,,,,,,,,,,
introduction,98,273254,0.0-8.0-1.26-0.26,ov8eo4az,,,,,,2428.0,1311,675351e5c347e5839db66ff3,,1311,,calibration,,,,,,,,,,,,,,
introduction,99,273257,0.0-8.0-2.26,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,,,,,,,,,,,,,,,,,
introduction,100,275260,0.0-8.0-0.27,ov8eo4az,,,,,,,,675351e5c347e5839db66ff3,,<p>CAREFUL. That was too slow.</p>,1661.0,calibration,,,,,,,,,,,,,,
