trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7805,0.0-2.0,cf0l3j5h,,,,,,5921.0,6753746b1f8827e2bd586bf0,6753746b1f8827e2bd586bf0,,,,,,,,,,,,,,,,,,
introduction,3,12522,0.0-3.0,cf0l3j5h,,,,,,4712.0,6753746b1f8827e2bd586bf0,6753746b1f8827e2bd586bf0,,,,,,,,,,,,,,,,,,
introduction,4,21837,0.0-4.0-0.0,cf0l3j5h,,,,,,9314.0,,6753746b1f8827e2bd586bf0,"[{""page_index"":0,""viewing_time"":1286},{""page_index"":1,""viewing_time"":6644},{""page_index"":2,""viewing_time"":1384}]",,,,,,,,,,,,,,,,,
introduction,5,23166,0.0-5.0-0.0,cf0l3j5h,,,,,,1326.0,1,6753746b1f8827e2bd586bf0,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,24013,0.0-5.0-0.1,cf0l3j5h,,,,,,847.0,2,6753746b1f8827e2bd586bf0,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,24709,0.0-5.0-0.2,cf0l3j5h,,,,,,695.0,1,6753746b1f8827e2bd586bf0,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,25471,0.0-5.0-0.3,cf0l3j5h,,,,,,760.0,3,6753746b1f8827e2bd586bf0,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,26208,0.0-5.0-0.4,cf0l3j5h,,,,,,736.0,2,6753746b1f8827e2bd586bf0,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,27189,0.0-5.0-0.5,cf0l3j5h,,,,,,979.0,3,6753746b1f8827e2bd586bf0,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,27924,0.0-5.0-0.6,cf0l3j5h,,,,,,734.0,1,6753746b1f8827e2bd586bf0,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,28551,0.0-5.0-0.7,cf0l3j5h,,,,,,625.0,2,6753746b1f8827e2bd586bf0,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,29398,0.0-5.0-0.8,cf0l3j5h,,,,,,847.0,3,6753746b1f8827e2bd586bf0,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,30148,0.0-5.0-0.9,cf0l3j5h,,,,,,748.0,2,6753746b1f8827e2bd586bf0,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,30837,0.0-5.0-0.10,cf0l3j5h,,,,,,687.0,1,6753746b1f8827e2bd586bf0,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,31590,0.0-5.0-0.11,cf0l3j5h,,,,,,752.0,3,6753746b1f8827e2bd586bf0,,Press: 3,,,,,,,,,,,,,,,,
