trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,35740,0.0-2.0,9jc44t5c,,,,,,9278.0,675436e14d7ef1173a74a5b8,675436e14d7ef1173a74a5b8,,,,,,,,,,,,,,,,,,
introduction,3,39700,0.0-3.0,9jc44t5c,,,,,,3957.0,675436e14d7ef1173a74a5b8,675436e14d7ef1173a74a5b8,,,,,,,,,,,,,,,,,,
introduction,4,155253,0.0-4.0-0.0,9jc44t5c,,,,,,115552.0,,675436e14d7ef1173a74a5b8,"[{""page_index"":0,""viewing_time"":1464},{""page_index"":1,""viewing_time"":112940},{""page_index"":2,""viewing_time"":1147}]",,,,,,,,,,,,,,,,,
introduction,5,155824,0.0-5.0-0.0,9jc44t5c,,,,,,569.0,1,675436e14d7ef1173a74a5b8,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,156373,0.0-5.0-0.1,9jc44t5c,,,,,,548.0,2,675436e14d7ef1173a74a5b8,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,157226,0.0-5.0-0.2,9jc44t5c,,,,,,852.0,1,675436e14d7ef1173a74a5b8,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,157922,0.0-5.0-0.3,9jc44t5c,,,,,,694.0,3,675436e14d7ef1173a74a5b8,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,158677,0.0-5.0-0.4,9jc44t5c,,,,,,755.0,2,675436e14d7ef1173a74a5b8,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,159630,0.0-5.0-0.5,9jc44t5c,,,,,,951.0,3,675436e14d7ef1173a74a5b8,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,160305,0.0-5.0-0.6,9jc44t5c,,,,,,674.0,1,675436e14d7ef1173a74a5b8,,Press: 1,,,,,,,,,,,,,,,,
