trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10189,0.0-2.0,0pnltaox,,,,,,7903.0,67701f255f90407e4cd27c6e,67701f255f90407e4cd27c6e,,,,,,,,,,,,,,,,,,
introduction,3,16794,0.0-3.0,0pnltaox,,,,,,6601.0,67701f255f90407e4cd27c6e,67701f255f90407e4cd27c6e,,,,,,,,,,,,,,,,,,
introduction,4,40148,0.0-4.0-0.0,0pnltaox,,,,,,23351.0,,67701f255f90407e4cd27c6e,"[{""page_index"":0,""viewing_time"":1706},{""page_index"":1,""viewing_time"":19932},{""page_index"":2,""viewing_time"":1712}]",,,,,,,,,,,,,,,,,
introduction,5,42325,0.0-5.0-0.0,0pnltaox,,,,,,2174.0,1,67701f255f90407e4cd27c6e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,43932,0.0-5.0-0.1,0pnltaox,,,,,,1605.0,2,67701f255f90407e4cd27c6e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,46414,0.0-5.0-0.2,0pnltaox,,,,,,2480.0,1,67701f255f90407e4cd27c6e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,47580,0.0-5.0-0.3,0pnltaox,,,,,,1166.0,3,67701f255f90407e4cd27c6e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,48632,0.0-5.0-0.4,0pnltaox,,,,,,1051.0,2,67701f255f90407e4cd27c6e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,49753,0.0-5.0-0.5,0pnltaox,,,,,,1119.0,3,67701f255f90407e4cd27c6e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,50855,0.0-5.0-0.6,0pnltaox,,,,,,1102.0,1,67701f255f90407e4cd27c6e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,51742,0.0-5.0-0.7,0pnltaox,,,,,,886.0,2,67701f255f90407e4cd27c6e,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,52652,0.0-5.0-0.8,0pnltaox,,,,,,909.0,3,67701f255f90407e4cd27c6e,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,53714,0.0-5.0-0.9,0pnltaox,,,,,,1062.0,2,67701f255f90407e4cd27c6e,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,54690,0.0-5.0-0.10,0pnltaox,,,,,,975.0,1,67701f255f90407e4cd27c6e,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,55624,0.0-5.0-0.11,0pnltaox,,,,,,933.0,3,67701f255f90407e4cd27c6e,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,111445,0.0-6.0-0.0,0pnltaox,,,,,,55820.0,,67701f255f90407e4cd27c6e,"[{""page_index"":0,""viewing_time"":2739},{""page_index"":1,""viewing_time"":2472},{""page_index"":2,""viewing_time"":48429},{""page_index"":3,""viewing_time"":2178}]",,,,,,,,,,,,,,,,,
introduction,19,180929,0.0-8.0-0.0,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,img/Red_circle.png,3480.0,calibration,,,,,,,,,,,,,,
introduction,20,192444,0.0-8.0-1.0-0.0,0pnltaox,,,,,,11499.0,332,67701f255f90407e4cd27c6e,,3332,,calibration,,,,,,,,,,,,,,
introduction,21,198911,0.0-8.0-1.1-0.1,0pnltaox,,,,,,6448.0,3332,67701f255f90407e4cd27c6e,,3332,,calibration,,,,,,,,,,,,,,
introduction,22,200914,0.0-8.0-2.0,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,23,204400,0.0-8.0-0.1,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,img/Red_circle.png,2249.0,calibration,,,,,,,,,,,,,,
introduction,24,209429,0.0-8.0-1.2-0.2,0pnltaox,,,,,,5025.0,2112,67701f255f90407e4cd27c6e,,2112,,calibration,,,,,,,,,,,,,,
introduction,25,211431,0.0-8.0-2.1,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,26,213683,0.0-8.0-0.2,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,img/Red_circle.png,3125.0,calibration,,,,,,,,,,,,,,
introduction,27,217615,0.0-8.0-1.3-0.3,0pnltaox,,,,,,3926.0,2232,67701f255f90407e4cd27c6e,,2232,,calibration,,,,,,,,,,,,,,
introduction,28,219617,0.0-8.0-2.2,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,29,222745,0.0-8.0-0.3,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,img/Red_circle.png,2353.0,calibration,,,,,,,,,,,,,,
introduction,30,225378,0.0-8.0-1.4-0.4,0pnltaox,,,,,,2627.0,233,67701f255f90407e4cd27c6e,,233,,calibration,,,,,,,,,,,,,,
introduction,31,225382,0.0-8.0-2.3,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,,,,,,,,,,,,,,,,,
introduction,32,227382,0.0-8.0-0.4,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,<p>CAREFUL. That was too slow.</p>,2860.0,calibration,,,,,,,,,,,,,,
introduction,33,231937,0.0-8.0-1.5-0.5,0pnltaox,,,,,,4549.0,3132,67701f255f90407e4cd27c6e,,3132,,calibration,,,,,,,,,,,,,,
introduction,34,233941,0.0-8.0-2.4,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,35,236804,0.0-8.0-0.5,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,img/Red_circle.png,1805.0,calibration,,,,,,,,,,,,,,
introduction,36,239809,0.0-8.0-1.6-0.6,0pnltaox,,,,,,2999.0,1123,67701f255f90407e4cd27c6e,,1123,,calibration,,,,,,,,,,,,,,
introduction,37,239810,0.0-8.0-2.5,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,,,,,,,,,,,,,,,,,
introduction,38,241618,0.0-8.0-0.6,0pnltaox,,,,,,,,67701f255f90407e4cd27c6e,,img/Red_circle.png,1835.0,calibration,,,,,,,,,,,,,,
