trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,9204,0.0-2.0,7qcha65d,,,,,,5116.0,67758b914f06b14a31669644,67758b914f06b14a31669644,,,,,,,,,,,,,,,,,,
introduction,3,13821,0.0-3.0,7qcha65d,,,,,,4614.0,67758b914f06b14a31669644,67758b914f06b14a31669644,,,,,,,,,,,,,,,,,,
introduction,4,23936,0.0-4.0-0.0,7qcha65d,,,,,,10113.0,,67758b914f06b14a31669644,"[{""page_index"":0,""viewing_time"":1511},{""page_index"":1,""viewing_time"":7135},{""page_index"":2,""viewing_time"":1466}]",,,,,,,,,,,,,,,,,
introduction,5,26193,0.0-5.0-0.0,7qcha65d,,,,,,2254.0,1,67758b914f06b14a31669644,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,27613,0.0-5.0-0.1,7qcha65d,,,,,,1418.0,2,67758b914f06b14a31669644,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,28864,0.0-5.0-0.2,7qcha65d,,,,,,1250.0,1,67758b914f06b14a31669644,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,29767,0.0-5.0-0.3,7qcha65d,,,,,,902.0,3,67758b914f06b14a31669644,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,30345,0.0-5.0-0.4,7qcha65d,,,,,,577.0,2,67758b914f06b14a31669644,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,30924,0.0-5.0-0.5,7qcha65d,,,,,,578.0,3,67758b914f06b14a31669644,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,31457,0.0-5.0-0.6,7qcha65d,,,,,,532.0,1,67758b914f06b14a31669644,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,31985,0.0-5.0-0.7,7qcha65d,,,,,,527.0,2,67758b914f06b14a31669644,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,32449,0.0-5.0-0.8,7qcha65d,,,,,,463.0,3,67758b914f06b14a31669644,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,32932,0.0-5.0-0.9,7qcha65d,,,,,,482.0,2,67758b914f06b14a31669644,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,33390,0.0-5.0-0.10,7qcha65d,,,,,,457.0,1,67758b914f06b14a31669644,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,33929,0.0-5.0-0.11,7qcha65d,,,,,,538.0,3,67758b914f06b14a31669644,,Press: 3,,,,,,,,,,,,,,,,
