trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,21581,0.0-2.0,qbfov55h,,,,,,6158.0,677e3435b16ff7572b1934d2,677e3435b16ff7572b1934d2,,,,,,,,,,,,,,,,,,
introduction,3,26047,0.0-3.0,qbfov55h,,,,,,4461.0,677e3435b16ff7572b1934d2,677e3435b16ff7572b1934d2,,,,,,,,,,,,,,,,,,
introduction,4,33692,0.0-4.0-0.0,qbfov55h,,,,,,7643.0,,677e3435b16ff7572b1934d2,"[{""page_index"":0,""viewing_time"":1052},{""page_index"":1,""viewing_time"":5730},{""page_index"":2,""viewing_time"":861}]",,,,,,,,,,,,,,,,,
introduction,5,36090,0.0-5.0-0.0,qbfov55h,,,,,,2396.0,1,677e3435b16ff7572b1934d2,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,36601,0.0-5.0-0.1,qbfov55h,,,,,,510.0,2,677e3435b16ff7572b1934d2,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,38527,0.0-5.0-0.2,qbfov55h,,,,,,1925.0,1,677e3435b16ff7572b1934d2,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,39406,0.0-5.0-0.3,qbfov55h,,,,,,878.0,3,677e3435b16ff7572b1934d2,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,41461,0.0-5.0-0.4,qbfov55h,,,,,,2054.0,2,677e3435b16ff7572b1934d2,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,42128,0.0-5.0-0.5,qbfov55h,,,,,,666.0,3,677e3435b16ff7572b1934d2,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,42967,0.0-5.0-0.6,qbfov55h,,,,,,838.0,1,677e3435b16ff7572b1934d2,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,43651,0.0-5.0-0.7,qbfov55h,,,,,,682.0,2,677e3435b16ff7572b1934d2,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,44112,0.0-5.0-0.8,qbfov55h,,,,,,460.0,3,677e3435b16ff7572b1934d2,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,45116,0.0-5.0-0.9,qbfov55h,,,,,,1004.0,2,677e3435b16ff7572b1934d2,,Press: 2,,,,,,,,,,,,,,,,
