trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,16137,0.0-2.0,x5ufpxgr,,,,,,8276.0,677f3369d895387e503dbd81,677f3369d895387e503dbd81,,,,,,,,,,,,,,,,,,
introduction,3,19613,0.0-3.0,x5ufpxgr,,,,,,3475.0,677f3369d895387e503dbd81,677f3369d895387e503dbd81,,,,,,,,,,,,,,,,,,
introduction,4,26245,0.0-4.0-0.0,x5ufpxgr,,,,,,6631.0,,677f3369d895387e503dbd81,"[{""page_index"":0,""viewing_time"":781},{""page_index"":1,""viewing_time"":5185},{""page_index"":2,""viewing_time"":665}]",,,,,,,,,,,,,,,,,
introduction,5,26818,0.0-5.0-0.0,x5ufpxgr,,,,,,573.0,1,677f3369d895387e503dbd81,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,27244,0.0-5.0-0.1,x5ufpxgr,,,,,,426.0,2,677f3369d895387e503dbd81,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,27877,0.0-5.0-0.2,x5ufpxgr,,,,,,632.0,1,677f3369d895387e503dbd81,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,28366,0.0-5.0-0.3,x5ufpxgr,,,,,,489.0,3,677f3369d895387e503dbd81,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,28892,0.0-5.0-0.4,x5ufpxgr,,,,,,526.0,2,677f3369d895387e503dbd81,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,29403,0.0-5.0-0.5,x5ufpxgr,,,,,,511.0,3,677f3369d895387e503dbd81,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,29947,0.0-5.0-0.6,x5ufpxgr,,,,,,544.0,1,677f3369d895387e503dbd81,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,30394,0.0-5.0-0.7,x5ufpxgr,,,,,,447.0,2,677f3369d895387e503dbd81,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,30922,0.0-5.0-0.8,x5ufpxgr,,,,,,528.0,3,677f3369d895387e503dbd81,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,31618,0.0-5.0-0.9,x5ufpxgr,,,,,,696.0,2,677f3369d895387e503dbd81,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,32011,0.0-5.0-0.10,x5ufpxgr,,,,,,392.0,1,677f3369d895387e503dbd81,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,32482,0.0-5.0-0.11,x5ufpxgr,,,,,,472.0,3,677f3369d895387e503dbd81,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,42574,0.0-6.0-0.0,x5ufpxgr,,,,,,10091.0,,677f3369d895387e503dbd81,"[{""page_index"":0,""viewing_time"":903},{""page_index"":1,""viewing_time"":1626},{""page_index"":2,""viewing_time"":6749},{""page_index"":3,""viewing_time"":813}]",,,,,,,,,,,,,,,,,
introduction,19,51949,0.0-8.0-0.0,x5ufpxgr,,,,,,,,677f3369d895387e503dbd81,,img/Red_circle.png,1815.0,calibration,,,,,,,,,,,,,,
introduction,20,53492,0.0-8.0-1.0-0.0,x5ufpxgr,,,,,,1542.0,1212,677f3369d895387e503dbd81,,1212,,calibration,,,,,,,,,,,,,,
introduction,21,53493,0.0-8.0-2.0,x5ufpxgr,,,,,,,,677f3369d895387e503dbd81,,,,,,,,,,,,,,,,,,
introduction,22,55322,0.0-8.0-0.1,x5ufpxgr,,,,,,,,677f3369d895387e503dbd81,,img/Red_circle.png,2303.0,calibration,,,,,,,,,,,,,,
introduction,23,56731,0.0-8.0-1.1-0.1,x5ufpxgr,,,,,,1408.0,1122,677f3369d895387e503dbd81,,1122,,calibration,,,,,,,,,,,,,,
introduction,24,56732,0.0-8.0-2.1,x5ufpxgr,,,,,,,,677f3369d895387e503dbd81,,,,,,,,,,,,,,,,,,
introduction,25,58732,0.0-8.0-0.2,x5ufpxgr,,,,,,,,677f3369d895387e503dbd81,,<p>CAREFUL. That was too slow.</p>,2817.0,calibration,,,,,,,,,,,,,,
introduction,26,59941,0.0-8.0-1.2-0.2,x5ufpxgr,,,,,,1207.0,322,677f3369d895387e503dbd81,,322,,calibration,,,,,,,,,,,,,,
introduction,27,59941,0.0-8.0-2.2,x5ufpxgr,,,,,,,,677f3369d895387e503dbd81,,,,,,,,,,,,,,,,,,
introduction,28,61956,0.0-8.0-0.3,x5ufpxgr,,,,,,,,677f3369d895387e503dbd81,,<p>CAREFUL. That was too slow.</p>,2091.0,calibration,,,,,,,,,,,,,,
introduction,29,62980,0.0-8.0-1.3-0.3,x5ufpxgr,,,,,,1022.0,213,677f3369d895387e503dbd81,,213,,calibration,,,,,,,,,,,,,,
introduction,30,62980,0.0-8.0-2.3,x5ufpxgr,,,,,,,,677f3369d895387e503dbd81,,,,,,,,,,,,,,,,,,
introduction,31,64991,0.0-8.0-0.4,x5ufpxgr,,,,,,,,677f3369d895387e503dbd81,,<p>CAREFUL. That was too slow.</p>,1419.0,calibration,,,,,,,,,,,,,,
