trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,63788,0.0-2.0,3boyzxay,,,,,,34798.0,678201fd68120cff1a71a191,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
introduction,3,71931,0.0-3.0,3boyzxay,,,,,,8135.0,678201fd68120cff1a71a191,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
introduction,4,73746,0.0-4.0-0.0,3boyzxay,,,,,,1814.0,,678201fd68120cff1a71a191,"[{""page_index"":0,""viewing_time"":747},{""page_index"":1,""viewing_time"":523},{""page_index"":2,""viewing_time"":544}]",,,,,,,,,,,,,,,,,
introduction,5,75145,0.0-5.0-0.0,3boyzxay,,,,,,1396.0,1,678201fd68120cff1a71a191,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,75674,0.0-5.0-0.1,3boyzxay,,,,,,528.0,2,678201fd68120cff1a71a191,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,76465,0.0-5.0-0.2,3boyzxay,,,,,,790.0,1,678201fd68120cff1a71a191,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,77222,0.0-5.0-0.3,3boyzxay,,,,,,756.0,3,678201fd68120cff1a71a191,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,78186,0.0-5.0-0.4,3boyzxay,,,,,,963.0,2,678201fd68120cff1a71a191,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,78825,0.0-5.0-0.5,3boyzxay,,,,,,638.0,3,678201fd68120cff1a71a191,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,79404,0.0-5.0-0.6,3boyzxay,,,,,,577.0,1,678201fd68120cff1a71a191,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,80045,0.0-5.0-0.7,3boyzxay,,,,,,640.0,2,678201fd68120cff1a71a191,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,80613,0.0-5.0-0.8,3boyzxay,,,,,,567.0,3,678201fd68120cff1a71a191,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,81219,0.0-5.0-0.9,3boyzxay,,,,,,604.0,2,678201fd68120cff1a71a191,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,81711,0.0-5.0-0.10,3boyzxay,,,,,,491.0,1,678201fd68120cff1a71a191,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,82275,0.0-5.0-0.11,3boyzxay,,,,,,562.0,3,678201fd68120cff1a71a191,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,84944,0.0-6.0-0.0,3boyzxay,,,,,,2668.0,,678201fd68120cff1a71a191,"[{""page_index"":0,""viewing_time"":876},{""page_index"":1,""viewing_time"":582},{""page_index"":2,""viewing_time"":622},{""page_index"":3,""viewing_time"":589}]",,,,,,,,,,,,,,,,,
introduction,19,91511,0.0-8.0-0.0,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,img/Red_circle.png,2904.0,calibration,,,,,,,,,,,,,,
introduction,20,93087,0.0-8.0-1.0-0.0,3boyzxay,,,,,,1569.0,333,678201fd68120cff1a71a191,,333,,calibration,,,,,,,,,,,,,,
introduction,21,93089,0.0-8.0-2.0,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
introduction,22,95104,0.0-8.0-0.1,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,<p>CAREFUL. That was too slow.</p>,2246.0,calibration,,,,,,,,,,,,,,
introduction,23,96588,0.0-8.0-1.1-0.1,3boyzxay,,,,,,1479.0,332,678201fd68120cff1a71a191,,332,,calibration,,,,,,,,,,,,,,
introduction,24,96590,0.0-8.0-2.1,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
introduction,25,98592,0.0-8.0-0.2,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,<p>CAREFUL. That was too slow.</p>,2437.0,calibration,,,,,,,,,,,,,,
introduction,26,100541,0.0-8.0-1.2-0.2,3boyzxay,,,,,,1943.0,3321,678201fd68120cff1a71a191,,3321,,calibration,,,,,,,,,,,,,,
introduction,27,100542,0.0-8.0-2.2,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
introduction,28,102543,0.0-8.0-0.3,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,<p>CAREFUL. That was too slow.</p>,2372.0,calibration,,,,,,,,,,,,,,
introduction,29,103775,0.0-8.0-1.3-0.3,3boyzxay,,,,,,1227.0,32,678201fd68120cff1a71a191,,32,,calibration,,,,,,,,,,,,,,
introduction,30,103776,0.0-8.0-2.3,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
introduction,31,105785,0.0-8.0-0.4,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,<p>CAREFUL. That was too slow.</p>,2449.0,calibration,,,,,,,,,,,,,,
introduction,32,108627,0.0-8.0-1.4-0.4,3boyzxay,,,,,,2837.0,2212,678201fd68120cff1a71a191,,2212,,calibration,,,,,,,,,,,,,,
introduction,33,108628,0.0-8.0-2.4,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
introduction,34,110634,0.0-8.0-0.5,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,<p>CAREFUL. That was too slow.</p>,1149.0,calibration,,,,,,,,,,,,,,
introduction,35,112853,0.0-8.0-1.5-0.5,3boyzxay,,,,,,2213.0,2223,678201fd68120cff1a71a191,,2223,,calibration,,,,,,,,,,,,,,
introduction,36,112856,0.0-8.0-2.5,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
introduction,37,114021,0.0-8.0-0.6,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,img/Red_circle.png,1208.0,calibration,,,,,,,,,,,,,,
introduction,38,117156,0.0-8.0-1.6-0.6,3boyzxay,,,,,,3130.0,3323,678201fd68120cff1a71a191,,3323,,calibration,,,,,,,,,,,,,,
introduction,39,117157,0.0-8.0-2.6,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
introduction,40,118377,0.0-8.0-0.7,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,img/Red_circle.png,1579.0,calibration,,,,,,,,,,,,,,
introduction,41,120348,0.0-8.0-1.7-0.7,3boyzxay,,,,,,1966.0,311,678201fd68120cff1a71a191,,311,,calibration,,,,,,,,,,,,,,
introduction,42,120349,0.0-8.0-2.7,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
introduction,43,121943,0.0-8.0-0.8,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,img/Red_circle.png,2011.0,calibration,,,,,,,,,,,,,,
introduction,44,123577,0.0-8.0-1.8-0.8,3boyzxay,,,,,,1630.0,233,678201fd68120cff1a71a191,,233,,calibration,,,,,,,,,,,,,,
introduction,45,123578,0.0-8.0-2.8,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
introduction,46,125588,0.0-8.0-0.9,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,<p>CAREFUL. That was too slow.</p>,1622.0,calibration,,,,,,,,,,,,,,
introduction,47,127410,0.0-8.0-1.9-0.9,3boyzxay,,,,,,1817.0,123,678201fd68120cff1a71a191,,123,,calibration,,,,,,,,,,,,,,
introduction,48,127411,0.0-8.0-2.9,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
introduction,49,129043,0.0-8.0-0.10,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,img/Red_circle.png,2473.0,calibration,,,,,,,,,,,,,,
introduction,50,131348,0.0-8.0-1.10-0.10,3boyzxay,,,,,,2301.0,3323,678201fd68120cff1a71a191,,3323,,calibration,,,,,,,,,,,,,,
introduction,51,131349,0.0-8.0-2.10,3boyzxay,,,,,,,,678201fd68120cff1a71a191,,,,,,,,,,,,,,,,,,
