trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,11223,0.0-2.0,t34u7pjj,,,,,,6520.0,67870824e02758bc16fa96f3,67870824e02758bc16fa96f3,,,,,,,,,,,,,,,,,,
introduction,3,13630,0.0-3.0,t34u7pjj,,,,,,2396.0,67870824e02758bc16fa96f3,67870824e02758bc16fa96f3,,,,,,,,,,,,,,,,,,
introduction,4,21150,0.0-4.0-0.0,t34u7pjj,,,,,,7515.0,,67870824e02758bc16fa96f3,"[{""page_index"":0,""viewing_time"":1113},{""page_index"":1,""viewing_time"":5367},{""page_index"":2,""viewing_time"":1034}]",,,,,,,,,,,,,,,,,
introduction,5,22509,0.0-5.0-0.0,t34u7pjj,,,,,,1354.0,1,67870824e02758bc16fa96f3,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,23345,0.0-5.0-0.1,t34u7pjj,,,,,,835.0,2,67870824e02758bc16fa96f3,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,24153,0.0-5.0-0.2,t34u7pjj,,,,,,806.0,1,67870824e02758bc16fa96f3,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,26368,0.0-5.0-0.3,t34u7pjj,,,,,,2214.0,3,67870824e02758bc16fa96f3,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,27100,0.0-5.0-0.4,t34u7pjj,,,,,,730.0,2,67870824e02758bc16fa96f3,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,27870,0.0-5.0-0.5,t34u7pjj,,,,,,769.0,3,67870824e02758bc16fa96f3,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,29763,0.0-5.0-0.6,t34u7pjj,,,,,,1892.0,1,67870824e02758bc16fa96f3,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,30504,0.0-5.0-0.7,t34u7pjj,,,,,,739.0,2,67870824e02758bc16fa96f3,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,31232,0.0-5.0-0.8,t34u7pjj,,,,,,727.0,3,67870824e02758bc16fa96f3,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,32082,0.0-5.0-0.9,t34u7pjj,,,,,,849.0,2,67870824e02758bc16fa96f3,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,32919,0.0-5.0-0.10,t34u7pjj,,,,,,836.0,1,67870824e02758bc16fa96f3,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,33836,0.0-5.0-0.11,t34u7pjj,,,,,,915.0,3,67870824e02758bc16fa96f3,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,80934,0.0-6.0-0.0,t34u7pjj,,,,,,47098.0,,67870824e02758bc16fa96f3,"[{""page_index"":0,""viewing_time"":5047},{""page_index"":1,""viewing_time"":15260},{""page_index"":2,""viewing_time"":25788},{""page_index"":3,""viewing_time"":1002}]",,,,,,,,,,,,,,,,,
introduction,19,100582,0.0-8.0-0.0,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,img/Red_circle.png,1079.0,calibration,,,,,,,,,,,,,,
introduction,20,104185,0.0-8.0-1.0-0.0,t34u7pjj,,,,,,3595.0,1213,67870824e02758bc16fa96f3,,1213,,calibration,,,,,,,,,,,,,,
introduction,21,106195,0.0-8.0-2.0,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,107278,0.0-8.0-0.1,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,img/Red_circle.png,3119.0,calibration,,,,,,,,,,,,,,
introduction,23,109820,0.0-8.0-1.1-0.1,t34u7pjj,,,,,,2535.0,23,67870824e02758bc16fa96f3,,23,,calibration,,,,,,,,,,,,,,
introduction,24,109821,0.0-8.0-2.1,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,,,,,,,,,,,,,,,,,
introduction,25,111822,0.0-8.0-0.2,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,<p>CAREFUL. That was too slow.</p>,2582.0,calibration,,,,,,,,,,,,,,
introduction,26,114007,0.0-8.0-1.2-0.2,t34u7pjj,,,,,,2172.0,1311,67870824e02758bc16fa96f3,,1311,,calibration,,,,,,,,,,,,,,
introduction,27,114009,0.0-8.0-2.2,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,,,,,,,,,,,,,,,,,
introduction,28,116009,0.0-8.0-0.3,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,<p>CAREFUL. That was too slow.</p>,2032.0,calibration,,,,,,,,,,,,,,
introduction,29,118196,0.0-8.0-1.3-0.3,t34u7pjj,,,,,,2179.0,3233,67870824e02758bc16fa96f3,,3233,,calibration,,,,,,,,,,,,,,
introduction,30,118198,0.0-8.0-2.3,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,,,,,,,,,,,,,,,,,
introduction,31,120199,0.0-8.0-0.4,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,<p>CAREFUL. That was too slow.</p>,3096.0,calibration,,,,,,,,,,,,,,
introduction,32,121722,0.0-8.0-1.4-0.4,t34u7pjj,,,,,,1515.0,31,67870824e02758bc16fa96f3,,31,,calibration,,,,,,,,,,,,,,
introduction,33,121724,0.0-8.0-2.4,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,,,,,,,,,,,,,,,,,
introduction,34,123725,0.0-8.0-0.5,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,<p>CAREFUL. That was too slow.</p>,1125.0,calibration,,,,,,,,,,,,,,
introduction,35,125671,0.0-8.0-1.5-0.5,t34u7pjj,,,,,,1939.0,112,67870824e02758bc16fa96f3,,1132,,calibration,,,,,,,,,,,,,,
introduction,36,128968,0.0-8.0-1.6-0.6,t34u7pjj,,,,,,3279.0,1132,67870824e02758bc16fa96f3,,1132,,calibration,,,,,,,,,,,,,,
introduction,37,130971,0.0-8.0-2.5,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,38,132098,0.0-8.0-0.6,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,img/Red_circle.png,1825.0,calibration,,,,,,,,,,,,,,
introduction,39,133889,0.0-8.0-1.7-0.7,t34u7pjj,,,,,,1788.0,121,67870824e02758bc16fa96f3,,121,,calibration,,,,,,,,,,,,,,
introduction,40,133894,0.0-8.0-2.6,t34u7pjj,,,,,,,,67870824e02758bc16fa96f3,,,,,,,,,,,,,,,,,,
