trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,4430,0.0-2.0,gospp0oh,,,,,,2876.0,6788d82f8ec0422c248b737a,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,3,6864,0.0-3.0,gospp0oh,,,,,,2431.0,6788d82f8ec0422c248b737a,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,4,8383,0.0-4.0-0.0,gospp0oh,,,,,,1517.0,,6788d82f8ec0422c248b737a,"[{""page_index"":0,""viewing_time"":562},{""page_index"":1,""viewing_time"":460},{""page_index"":2,""viewing_time"":495}]",,,,,,,,,,,,,,,,,
introduction,5,9383,0.0-5.0-0.0,gospp0oh,,,,,,997.0,1,6788d82f8ec0422c248b737a,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,9906,0.0-5.0-0.1,gospp0oh,,,,,,520.0,2,6788d82f8ec0422c248b737a,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,10957,0.0-5.0-0.2,gospp0oh,,,,,,1049.0,1,6788d82f8ec0422c248b737a,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,11652,0.0-5.0-0.3,gospp0oh,,,,,,693.0,3,6788d82f8ec0422c248b737a,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,12192,0.0-5.0-0.4,gospp0oh,,,,,,539.0,2,6788d82f8ec0422c248b737a,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,12357,0.0-5.0-0.5,gospp0oh,,,,,,163.0,3,6788d82f8ec0422c248b737a,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,12974,0.0-5.0-0.6,gospp0oh,,,,,,616.0,1,6788d82f8ec0422c248b737a,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,13621,0.0-5.0-0.7,gospp0oh,,,,,,645.0,2,6788d82f8ec0422c248b737a,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,14154,0.0-5.0-0.8,gospp0oh,,,,,,531.0,3,6788d82f8ec0422c248b737a,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,14764,0.0-5.0-0.9,gospp0oh,,,,,,608.0,2,6788d82f8ec0422c248b737a,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,15331,0.0-5.0-0.10,gospp0oh,,,,,,566.0,1,6788d82f8ec0422c248b737a,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,16229,0.0-5.0-0.11,gospp0oh,,,,,,896.0,3,6788d82f8ec0422c248b737a,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,28160,0.0-6.0-0.0,gospp0oh,,,,,,11931.0,,6788d82f8ec0422c248b737a,"[{""page_index"":0,""viewing_time"":1410},{""page_index"":1,""viewing_time"":242},{""page_index"":2,""viewing_time"":9737},{""page_index"":3,""viewing_time"":543}]",,,,,,,,,,,,,,,,,
introduction,19,34408,0.0-8.0-0.0,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,img/Red_circle.png,1330.0,calibration,,,,,,,,,,,,,,
introduction,20,37969,0.0-8.0-1.0-0.0,gospp0oh,,,,,,3554.0,3222,6788d82f8ec0422c248b737a,,3222,,calibration,,,,,,,,,,,,,,
introduction,21,39985,0.0-8.0-2.0,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,41329,0.0-8.0-0.1,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,img/Red_circle.png,1333.0,calibration,,,,,,,,,,,,,,
introduction,23,43287,0.0-8.0-1.1-0.1,gospp0oh,,,,,,1956.0,3232,6788d82f8ec0422c248b737a,,3232,,calibration,,,,,,,,,,,,,,
introduction,24,43288,0.0-8.0-2.1,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,25,44628,0.0-8.0-0.2,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,img/Red_circle.png,1707.0,calibration,,,,,,,,,,,,,,
introduction,26,46437,0.0-8.0-1.2-0.2,gospp0oh,,,,,,1804.0,232,6788d82f8ec0422c248b737a,,232,,calibration,,,,,,,,,,,,,,
introduction,27,46438,0.0-8.0-2.2,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,28,48160,0.0-8.0-0.3,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,img/Red_circle.png,1445.0,calibration,,,,,,,,,,,,,,
introduction,29,50312,0.0-8.0-1.3-0.3,gospp0oh,,,,,,2148.0,31,6788d82f8ec0422c248b737a,,31,,calibration,,,,,,,,,,,,,,
introduction,30,50313,0.0-8.0-2.3,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,31,51768,0.0-8.0-0.4,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,img/Red_circle.png,2678.0,calibration,,,,,,,,,,,,,,
introduction,32,53807,0.0-8.0-1.4-0.4,gospp0oh,,,,,,2033.0,2133,6788d82f8ec0422c248b737a,,2133,,calibration,,,,,,,,,,,,,,
introduction,33,53808,0.0-8.0-2.4,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,34,55809,0.0-8.0-0.5,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,3246.0,calibration,,,,,,,,,,,,,,
introduction,35,57715,0.0-8.0-1.5-0.5,gospp0oh,,,,,,1904.0,13,6788d82f8ec0422c248b737a,,13,,calibration,,,,,,,,,,,,,,
introduction,36,57717,0.0-8.0-2.5,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,37,59722,0.0-8.0-0.6,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,2309.0,calibration,,,,,,,,,,,,,,
introduction,38,62130,0.0-8.0-1.6-0.6,gospp0oh,,,,,,2404.0,1312,6788d82f8ec0422c248b737a,,1312,,calibration,,,,,,,,,,,,,,
introduction,39,62131,0.0-8.0-2.6,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,40,64136,0.0-8.0-0.7,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,2723.0,calibration,,,,,,,,,,,,,,
introduction,41,66136,0.0-8.0-1.7-0.7,gospp0oh,,,,,,1999.0,221,6788d82f8ec0422c248b737a,,221,,calibration,,,,,,,,,,,,,,
introduction,42,66137,0.0-8.0-2.7,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,43,68142,0.0-8.0-0.8,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,2691.0,calibration,,,,,,,,,,,,,,
introduction,44,69993,0.0-8.0-1.8-0.8,gospp0oh,,,,,,1846.0,2231,6788d82f8ec0422c248b737a,,2231,,calibration,,,,,,,,,,,,,,
introduction,45,69994,0.0-8.0-2.8,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,46,72003,0.0-8.0-0.9,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,2746.0,calibration,,,,,,,,,,,,,,
introduction,47,74194,0.0-8.0-1.9-0.9,gospp0oh,,,,,,2186.0,3133,6788d82f8ec0422c248b737a,,3133,,calibration,,,,,,,,,,,,,,
introduction,48,74195,0.0-8.0-2.9,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,49,76204,0.0-8.0-0.10,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,1413.0,calibration,,,,,,,,,,,,,,
introduction,50,77610,0.0-8.0-1.10-0.10,gospp0oh,,,,,,1401.0,322,6788d82f8ec0422c248b737a,,322,,calibration,,,,,,,,,,,,,,
introduction,51,77611,0.0-8.0-2.10,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,52,79033,0.0-8.0-0.11,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,img/Red_circle.png,3004.0,calibration,,,,,,,,,,,,,,
introduction,53,81811,0.0-8.0-1.11-0.11,gospp0oh,,,,,,2775.0,3321,6788d82f8ec0422c248b737a,,3321,,calibration,,,,,,,,,,,,,,
introduction,54,81811,0.0-8.0-2.11,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,55,83815,0.0-8.0-0.12,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,1730.0,calibration,,,,,,,,,,,,,,
introduction,56,86466,0.0-8.0-1.12-0.12,gospp0oh,,,,,,2645.0,3233,6788d82f8ec0422c248b737a,,3233,,calibration,,,,,,,,,,,,,,
introduction,57,86466,0.0-8.0-2.12,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,58,88205,0.0-8.0-0.13,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,img/Red_circle.png,1160.0,calibration,,,,,,,,,,,,,,
introduction,59,89553,0.0-8.0-1.13-0.13,gospp0oh,,,,,,1342.0,111,6788d82f8ec0422c248b737a,,111,,calibration,,,,,,,,,,,,,,
introduction,60,89554,0.0-8.0-2.13,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,61,90724,0.0-8.0-0.14,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,img/Red_circle.png,3172.0,calibration,,,,,,,,,,,,,,
introduction,62,92809,0.0-8.0-1.14-0.14,gospp0oh,,,,,,2080.0,2123,6788d82f8ec0422c248b737a,,2123,,calibration,,,,,,,,,,,,,,
introduction,63,92809,0.0-8.0-2.14,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,64,94814,0.0-8.0-0.15,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,2856.0,calibration,,,,,,,,,,,,,,
introduction,65,97626,0.0-8.0-1.15-0.15,gospp0oh,,,,,,2810.0,3112,6788d82f8ec0422c248b737a,,3112,,calibration,,,,,,,,,,,,,,
introduction,66,97627,0.0-8.0-2.15,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,67,99642,0.0-8.0-0.16,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,2705.0,calibration,,,,,,,,,,,,,,
introduction,68,101543,0.0-8.0-1.16-0.16,gospp0oh,,,,,,1896.0,3111,6788d82f8ec0422c248b737a,,3111,,calibration,,,,,,,,,,,,,,
introduction,69,101543,0.0-8.0-2.16,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,70,103550,0.0-8.0-0.17,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,2262.0,calibration,,,,,,,,,,,,,,
introduction,71,105786,0.0-8.0-1.17-0.17,gospp0oh,,,,,,2233.0,33,6788d82f8ec0422c248b737a,,33,,calibration,,,,,,,,,,,,,,
introduction,72,105786,0.0-8.0-2.17,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,73,107815,0.0-8.0-0.18,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,3195.0,calibration,,,,,,,,,,,,,,
introduction,74,109749,0.0-8.0-1.18-0.18,gospp0oh,,,,,,1932.0,1312,6788d82f8ec0422c248b737a,,1312,,calibration,,,,,,,,,,,,,,
introduction,75,109750,0.0-8.0-2.18,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,76,111753,0.0-8.0-0.19,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,2483.0,calibration,,,,,,,,,,,,,,
introduction,77,113563,0.0-8.0-1.19-0.19,gospp0oh,,,,,,1803.0,1333,6788d82f8ec0422c248b737a,,1333,,calibration,,,,,,,,,,,,,,
introduction,78,113564,0.0-8.0-2.19,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,,,,,,,,,,,,,,,,,
introduction,79,115565,0.0-8.0-0.20,gospp0oh,,,,,,,,6788d82f8ec0422c248b737a,,<p>CAREFUL. That was too slow.</p>,1846.0,calibration,,,,,,,,,,,,,,
