trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,35701,0.0-2.0,vz2ms62d,,,,,,24196.0,6789eb762a533726ccd17f6a,6789eb762a533726ccd17f6a,,,,,,,,,,,,,,,,,,
introduction,3,39369,0.0-3.0,vz2ms62d,,,,,,3664.0,6789eb762a533726ccd17f6a,6789eb762a533726ccd17f6a,,,,,,,,,,,,,,,,,,
introduction,4,55254,0.0-4.0-0.0,vz2ms62d,,,,,,15882.0,,6789eb762a533726ccd17f6a,"[{""page_index"":0,""viewing_time"":1449},{""page_index"":1,""viewing_time"":12989},{""page_index"":2,""viewing_time"":1444}]",,,,,,,,,,,,,,,,,
introduction,5,57039,0.0-5.0-0.0,vz2ms62d,,,,,,1783.0,1,6789eb762a533726ccd17f6a,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,58191,0.0-5.0-0.1,vz2ms62d,,,,,,1150.0,2,6789eb762a533726ccd17f6a,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,59311,0.0-5.0-0.2,vz2ms62d,,,,,,1119.0,1,6789eb762a533726ccd17f6a,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,59853,0.0-5.0-0.3,vz2ms62d,,,,,,542.0,3,6789eb762a533726ccd17f6a,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,60481,0.0-5.0-0.4,vz2ms62d,,,,,,627.0,2,6789eb762a533726ccd17f6a,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,61160,0.0-5.0-0.5,vz2ms62d,,,,,,678.0,3,6789eb762a533726ccd17f6a,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,61687,0.0-5.0-0.6,vz2ms62d,,,,,,527.0,1,6789eb762a533726ccd17f6a,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,62334,0.0-5.0-0.7,vz2ms62d,,,,,,647.0,2,6789eb762a533726ccd17f6a,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,62871,0.0-5.0-0.8,vz2ms62d,,,,,,536.0,3,6789eb762a533726ccd17f6a,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,63470,0.0-5.0-0.9,vz2ms62d,,,,,,598.0,2,6789eb762a533726ccd17f6a,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,64047,0.0-5.0-0.10,vz2ms62d,,,,,,577.0,1,6789eb762a533726ccd17f6a,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,64630,0.0-5.0-0.11,vz2ms62d,,,,,,582.0,3,6789eb762a533726ccd17f6a,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,340861,0.0-6.0-0.0,vz2ms62d,,,,,,276231.0,,6789eb762a533726ccd17f6a,"[{""page_index"":0,""viewing_time"":2967},{""page_index"":1,""viewing_time"":21647},{""page_index"":2,""viewing_time"":238256},{""page_index"":3,""viewing_time"":13360}]",,,,,,,,,,,,,,,,,
introduction,19,364432,0.0-8.0-0.0,vz2ms62d,,,,,,,,6789eb762a533726ccd17f6a,,img/Red_circle.png,1816.0,calibration,,,,,,,,,,,,,,
introduction,20,367067,0.0-8.0-1.0-0.0,vz2ms62d,,,,,,2631.0,1233,6789eb762a533726ccd17f6a,,1233,,calibration,,,,,,,,,,,,,,
