trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,15292,0.0-2.0,7s2bm6w2,,,,,,10138.0,678f02520df6c988ca6bdd85,678f02520df6c988ca6bdd85,,,,,,,,,,,,,,,,,,
introduction,3,23689,0.0-3.0,7s2bm6w2,,,,,,8394.0,678f02520df6c988ca6bdd85,678f02520df6c988ca6bdd85,,,,,,,,,,,,,,,,,,
introduction,4,31446,0.0-4.0-0.0,7s2bm6w2,,,,,,7756.0,,678f02520df6c988ca6bdd85,"[{""page_index"":0,""viewing_time"":1402},{""page_index"":1,""viewing_time"":4931},{""page_index"":2,""viewing_time"":1423}]",,,,,,,,,,,,,,,,,
introduction,5,33230,0.0-5.0-0.0,7s2bm6w2,,,,,,1782.0,1,678f02520df6c988ca6bdd85,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,33695,0.0-5.0-0.1,7s2bm6w2,,,,,,464.0,2,678f02520df6c988ca6bdd85,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,34438,0.0-5.0-0.2,7s2bm6w2,,,,,,742.0,1,678f02520df6c988ca6bdd85,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,35148,0.0-5.0-0.3,7s2bm6w2,,,,,,710.0,3,678f02520df6c988ca6bdd85,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,35798,0.0-5.0-0.4,7s2bm6w2,,,,,,649.0,2,678f02520df6c988ca6bdd85,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,36519,0.0-5.0-0.5,7s2bm6w2,,,,,,720.0,3,678f02520df6c988ca6bdd85,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,37078,0.0-5.0-0.6,7s2bm6w2,,,,,,559.0,1,678f02520df6c988ca6bdd85,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,37646,0.0-5.0-0.7,7s2bm6w2,,,,,,568.0,2,678f02520df6c988ca6bdd85,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,38169,0.0-5.0-0.8,7s2bm6w2,,,,,,522.0,3,678f02520df6c988ca6bdd85,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,38745,0.0-5.0-0.9,7s2bm6w2,,,,,,575.0,2,678f02520df6c988ca6bdd85,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,39273,0.0-5.0-0.10,7s2bm6w2,,,,,,528.0,1,678f02520df6c988ca6bdd85,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,39825,0.0-5.0-0.11,7s2bm6w2,,,,,,551.0,3,678f02520df6c988ca6bdd85,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,61554,0.0-6.0-0.0,7s2bm6w2,,,,,,21729.0,,678f02520df6c988ca6bdd85,"[{""page_index"":0,""viewing_time"":6207},{""page_index"":1,""viewing_time"":1718},{""page_index"":2,""viewing_time"":12479},{""page_index"":3,""viewing_time"":1325}]",,,,,,,,,,,,,,,,,
introduction,19,93512,0.0-8.0-0.0,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,img/Red_circle.png,1447.0,calibration,,,,,,,,,,,,,,
introduction,20,95217,0.0-8.0-1.0-0.0,7s2bm6w2,,,,,,1699.0,121,678f02520df6c988ca6bdd85,,121,,calibration,,,,,,,,,,,,,,
introduction,21,95218,0.0-8.0-2.0,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,,,,,,,,,,,,,,,,,
introduction,22,96667,0.0-8.0-0.1,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,img/Red_circle.png,3364.0,calibration,,,,,,,,,,,,,,
introduction,23,100463,0.0-8.0-1.1-0.1,7s2bm6w2,,,,,,3793.0,3322,678f02520df6c988ca6bdd85,,3322,,calibration,,,,,,,,,,,,,,
introduction,24,102473,0.0-8.0-2.1,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,25,105841,0.0-8.0-0.2,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,img/Red_circle.png,1947.0,calibration,,,,,,,,,,,,,,
introduction,26,107930,0.0-8.0-1.2-0.2,7s2bm6w2,,,,,,2086.0,1322,678f02520df6c988ca6bdd85,,1322,,calibration,,,,,,,,,,,,,,
introduction,27,107930,0.0-8.0-2.2,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,,,,,,,,,,,,,,,,,
introduction,28,109893,0.0-8.0-0.3,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,img/Red_circle.png,1532.0,calibration,,,,,,,,,,,,,,
introduction,29,111776,0.0-8.0-1.3-0.3,7s2bm6w2,,,,,,1877.0,1333,678f02520df6c988ca6bdd85,,1333,,calibration,,,,,,,,,,,,,,
introduction,30,111776,0.0-8.0-2.3,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,,,,,,,,,,,,,,,,,
introduction,31,113312,0.0-8.0-0.4,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,img/Red_circle.png,1555.0,calibration,,,,,,,,,,,,,,
introduction,32,114888,0.0-8.0-1.4-0.4,7s2bm6w2,,,,,,1573.0,223,678f02520df6c988ca6bdd85,,223,,calibration,,,,,,,,,,,,,,
introduction,33,114888,0.0-8.0-2.4,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,,,,,,,,,,,,,,,,,
introduction,34,116450,0.0-8.0-0.5,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,img/Red_circle.png,3363.0,calibration,,,,,,,,,,,,,,
introduction,35,118325,0.0-8.0-1.5-0.5,7s2bm6w2,,,,,,1868.0,1113,678f02520df6c988ca6bdd85,,1113,,calibration,,,,,,,,,,,,,,
introduction,36,118325,0.0-8.0-2.5,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,,,,,,,,,,,,,,,,,
introduction,37,120340,0.0-8.0-0.6,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,<p>CAREFUL. That was too slow.</p>,2824.0,calibration,,,,,,,,,,,,,,
introduction,38,121836,0.0-8.0-1.6-0.6,7s2bm6w2,,,,,,1493.0,2211,678f02520df6c988ca6bdd85,,2211,,calibration,,,,,,,,,,,,,,
introduction,39,121837,0.0-8.0-2.6,7s2bm6w2,,,,,,,,678f02520df6c988ca6bdd85,,,,,,,,,,,,,,,,,,
