trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7649,0.0-2.0,j7e9hd9j,,,,,,5626.0,67a3515d7e5fd6b7f9d1f220,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,3,10561,0.0-3.0,j7e9hd9j,,,,,,2911.0,67a3515d7e5fd6b7f9d1f220,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,4,19064,0.0-4.0-0.0,j7e9hd9j,,,,,,8503.0,,67a3515d7e5fd6b7f9d1f220,"[{""page_index"":0,""viewing_time"":1746},{""page_index"":1,""viewing_time"":5753},{""page_index"":2,""viewing_time"":1003}]",,,,,,,,,,,,,,,,,
introduction,5,19772,0.0-5.0-0.0,j7e9hd9j,,,,,,708.0,1,67a3515d7e5fd6b7f9d1f220,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,20295,0.0-5.0-0.1,j7e9hd9j,,,,,,523.0,2,67a3515d7e5fd6b7f9d1f220,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,20943,0.0-5.0-0.2,j7e9hd9j,,,,,,647.0,1,67a3515d7e5fd6b7f9d1f220,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,21463,0.0-5.0-0.3,j7e9hd9j,,,,,,521.0,3,67a3515d7e5fd6b7f9d1f220,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,22027,0.0-5.0-0.4,j7e9hd9j,,,,,,564.0,2,67a3515d7e5fd6b7f9d1f220,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,22579,0.0-5.0-0.5,j7e9hd9j,,,,,,552.0,3,67a3515d7e5fd6b7f9d1f220,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,23067,0.0-5.0-0.6,j7e9hd9j,,,,,,488.0,1,67a3515d7e5fd6b7f9d1f220,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,23534,0.0-5.0-0.7,j7e9hd9j,,,,,,467.0,2,67a3515d7e5fd6b7f9d1f220,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,23949,0.0-5.0-0.8,j7e9hd9j,,,,,,414.0,3,67a3515d7e5fd6b7f9d1f220,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,24427,0.0-5.0-0.9,j7e9hd9j,,,,,,478.0,2,67a3515d7e5fd6b7f9d1f220,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,24841,0.0-5.0-0.10,j7e9hd9j,,,,,,414.0,1,67a3515d7e5fd6b7f9d1f220,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,25246,0.0-5.0-0.11,j7e9hd9j,,,,,,405.0,3,67a3515d7e5fd6b7f9d1f220,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,42338,0.0-6.0-0.0,j7e9hd9j,,,,,,17092.0,,67a3515d7e5fd6b7f9d1f220,"[{""page_index"":0,""viewing_time"":1856},{""page_index"":1,""viewing_time"":1718},{""page_index"":2,""viewing_time"":11758},{""page_index"":3,""viewing_time"":1760}]",,,,,,,,,,,,,,,,,
introduction,19,53349,0.0-8.0-0.0,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,img/Red_circle.png,1342.0,calibration,,,,,,,,,,,,,,
introduction,20,55473,0.0-8.0-1.0-0.0,j7e9hd9j,,,,,,2123.0,1122,67a3515d7e5fd6b7f9d1f220,,1122,,calibration,,,,,,,,,,,,,,
introduction,21,55473,0.0-8.0-2.0,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,22,56826,0.0-8.0-0.1,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,img/Red_circle.png,1734.0,calibration,,,,,,,,,,,,,,
introduction,23,58347,0.0-8.0-1.1-0.1,j7e9hd9j,,,,,,1520.0,2223,67a3515d7e5fd6b7f9d1f220,,2223,,calibration,,,,,,,,,,,,,,
introduction,24,58347,0.0-8.0-2.1,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,25,60098,0.0-8.0-0.2,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,img/Red_circle.png,2748.0,calibration,,,,,,,,,,,,,,
introduction,26,62248,0.0-8.0-1.2-0.2,j7e9hd9j,,,,,,2149.0,312,67a3515d7e5fd6b7f9d1f220,,312,,calibration,,,,,,,,,,,,,,
introduction,27,62249,0.0-8.0-2.2,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,28,64252,0.0-8.0-0.3,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,<p>CAREFUL. That was too slow.</p>,1572.0,calibration,,,,,,,,,,,,,,
introduction,29,65531,0.0-8.0-1.3-0.3,j7e9hd9j,,,,,,1278.0,21,67a3515d7e5fd6b7f9d1f220,,21,,calibration,,,,,,,,,,,,,,
introduction,30,65531,0.0-8.0-2.3,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,31,67118,0.0-8.0-0.4,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,img/Red_circle.png,3282.0,calibration,,,,,,,,,,,,,,
introduction,32,68606,0.0-8.0-1.4-0.4,j7e9hd9j,,,,,,1487.0,2222,67a3515d7e5fd6b7f9d1f220,,2222,,calibration,,,,,,,,,,,,,,
introduction,33,68606,0.0-8.0-2.4,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,34,70616,0.0-8.0-0.5,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,<p>CAREFUL. That was too slow.</p>,2544.0,calibration,,,,,,,,,,,,,,
introduction,35,72208,0.0-8.0-1.5-0.5,j7e9hd9j,,,,,,1591.0,1223,67a3515d7e5fd6b7f9d1f220,,1223,,calibration,,,,,,,,,,,,,,
introduction,36,72208,0.0-8.0-2.5,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,37,74221,0.0-8.0-0.6,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,<p>CAREFUL. That was too slow.</p>,2626.0,calibration,,,,,,,,,,,,,,
introduction,38,76745,0.0-8.0-1.6-0.6,j7e9hd9j,,,,,,2523.0,3321,67a3515d7e5fd6b7f9d1f220,,3321,,calibration,,,,,,,,,,,,,,
introduction,39,76746,0.0-8.0-2.6,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,40,78749,0.0-8.0-0.7,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,<p>CAREFUL. That was too slow.</p>,2480.0,calibration,,,,,,,,,,,,,,
introduction,41,81406,0.0-8.0-1.7-0.7,j7e9hd9j,,,,,,2656.0,3233,67a3515d7e5fd6b7f9d1f220,,3233,,calibration,,,,,,,,,,,,,,
introduction,42,81407,0.0-8.0-2.7,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,43,83408,0.0-8.0-0.8,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,<p>CAREFUL. That was too slow.</p>,2052.0,calibration,,,,,,,,,,,,,,
introduction,44,86718,0.0-8.0-1.8-0.8,j7e9hd9j,,,,,,3309.0,1332,67a3515d7e5fd6b7f9d1f220,,1332,,calibration,,,,,,,,,,,,,,
introduction,45,86719,0.0-8.0-2.8,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,46,88722,0.0-8.0-0.9,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,<p>CAREFUL. That was too slow.</p>,3119.0,calibration,,,,,,,,,,,,,,
introduction,47,90800,0.0-8.0-1.9-0.9,j7e9hd9j,,,,,,2076.0,1313,67a3515d7e5fd6b7f9d1f220,,1313,,calibration,,,,,,,,,,,,,,
introduction,48,90800,0.0-8.0-2.9,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,49,92811,0.0-8.0-0.10,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,<p>CAREFUL. That was too slow.</p>,2311.0,calibration,,,,,,,,,,,,,,
introduction,50,94676,0.0-8.0-1.10-0.10,j7e9hd9j,,,,,,1864.0,2323,67a3515d7e5fd6b7f9d1f220,,2323,,calibration,,,,,,,,,,,,,,
introduction,51,94677,0.0-8.0-2.10,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,52,96683,0.0-8.0-0.11,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,<p>CAREFUL. That was too slow.</p>,3013.0,calibration,,,,,,,,,,,,,,
introduction,53,99245,0.0-8.0-1.11-0.11,j7e9hd9j,,,,,,2562.0,1331,67a3515d7e5fd6b7f9d1f220,,1331,,calibration,,,,,,,,,,,,,,
introduction,54,99246,0.0-8.0-2.11,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,55,101253,0.0-8.0-0.12,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,<p>CAREFUL. That was too slow.</p>,1532.0,calibration,,,,,,,,,,,,,,
introduction,56,102991,0.0-8.0-1.12-0.12,j7e9hd9j,,,,,,1737.0,2211,67a3515d7e5fd6b7f9d1f220,,2211,,calibration,,,,,,,,,,,,,,
introduction,57,102991,0.0-8.0-2.12,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,58,104528,0.0-8.0-0.13,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,img/Red_circle.png,3272.0,calibration,,,,,,,,,,,,,,
introduction,59,106675,0.0-8.0-1.13-0.13,j7e9hd9j,,,,,,2146.0,2311,67a3515d7e5fd6b7f9d1f220,,2311,,calibration,,,,,,,,,,,,,,
introduction,60,106675,0.0-8.0-2.13,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,61,108683,0.0-8.0-0.14,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,<p>CAREFUL. That was too slow.</p>,1655.0,calibration,,,,,,,,,,,,,,
introduction,62,110509,0.0-8.0-1.14-0.14,j7e9hd9j,,,,,,1825.0,1313,67a3515d7e5fd6b7f9d1f220,,1313,,calibration,,,,,,,,,,,,,,
introduction,63,110509,0.0-8.0-2.14,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,64,112177,0.0-8.0-0.15,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,img/Red_circle.png,1938.0,calibration,,,,,,,,,,,,,,
introduction,65,113773,0.0-8.0-1.15-0.15,j7e9hd9j,,,,,,1595.0,1233,67a3515d7e5fd6b7f9d1f220,,1233,,calibration,,,,,,,,,,,,,,
introduction,66,113773,0.0-8.0-2.15,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,67,115714,0.0-8.0-0.16,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,img/Red_circle.png,2623.0,calibration,,,,,,,,,,,,,,
introduction,68,117122,0.0-8.0-1.16-0.16,j7e9hd9j,,,,,,1407.0,112,67a3515d7e5fd6b7f9d1f220,,112,,calibration,,,,,,,,,,,,,,
introduction,69,117122,0.0-8.0-2.16,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
introduction,70,119127,0.0-8.0-0.17,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,<p>CAREFUL. That was too slow.</p>,2765.0,calibration,,,,,,,,,,,,,,
introduction,71,123015,0.0-8.0-1.17-0.17,j7e9hd9j,,,,,,3887.0,2321,67a3515d7e5fd6b7f9d1f220,,2321,,calibration,,,,,,,,,,,,,,
introduction,72,125029,0.0-8.0-2.17,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,73,127806,0.0-8.0-0.18,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,img/Red_circle.png,2089.0,calibration,,,,,,,,,,,,,,
introduction,74,129807,0.0-8.0-1.18-0.18,j7e9hd9j,,,,,,2000.0,2123,67a3515d7e5fd6b7f9d1f220,,2123,,calibration,,,,,,,,,,,,,,
introduction,75,129807,0.0-8.0-2.18,j7e9hd9j,,,,,,,,67a3515d7e5fd6b7f9d1f220,,,,,,,,,,,,,,,,,,
