trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,15853,0.0-2.0,pmnv8fcu,,,,,,10152.0,67a5410a2444020ff34a1c10,67a5410a2444020ff34a1c10,,,,,,,,,,,,,,,,,,
introduction,3,23277,0.0-3.0,pmnv8fcu,,,,,,7416.0,67a5410a2444020ff34a1c10,67a5410a2444020ff34a1c10,,,,,,,,,,,,,,,,,,
introduction,4,199996,0.0-4.0-0.0,pmnv8fcu,,,,,,176717.0,,67a5410a2444020ff34a1c10,"[{""page_index"":0,""viewing_time"":2172},{""page_index"":1,""viewing_time"":172848},{""page_index"":2,""viewing_time"":1696}]",,,,,,,,,,,,,,,,,
introduction,5,201599,0.0-5.0-0.0,pmnv8fcu,,,,,,1600.0,1,67a5410a2444020ff34a1c10,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,203126,0.0-5.0-0.1,pmnv8fcu,,,,,,1526.0,2,67a5410a2444020ff34a1c10,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,204526,0.0-5.0-0.2,pmnv8fcu,,,,,,1399.0,1,67a5410a2444020ff34a1c10,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,206039,0.0-5.0-0.3,pmnv8fcu,,,,,,1511.0,3,67a5410a2444020ff34a1c10,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,207439,0.0-5.0-0.4,pmnv8fcu,,,,,,1399.0,2,67a5410a2444020ff34a1c10,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,208791,0.0-5.0-0.5,pmnv8fcu,,,,,,1351.0,3,67a5410a2444020ff34a1c10,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,209990,0.0-5.0-0.6,pmnv8fcu,,,,,,1199.0,1,67a5410a2444020ff34a1c10,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,211174,0.0-5.0-0.7,pmnv8fcu,,,,,,1183.0,2,67a5410a2444020ff34a1c10,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,212462,0.0-5.0-0.8,pmnv8fcu,,,,,,1287.0,3,67a5410a2444020ff34a1c10,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,213638,0.0-5.0-0.9,pmnv8fcu,,,,,,1175.0,2,67a5410a2444020ff34a1c10,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,214743,0.0-5.0-0.10,pmnv8fcu,,,,,,1103.0,1,67a5410a2444020ff34a1c10,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,215919,0.0-5.0-0.11,pmnv8fcu,,,,,,1175.0,3,67a5410a2444020ff34a1c10,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,308331,0.0-6.0-0.0,pmnv8fcu,,,,,,92412.0,,67a5410a2444020ff34a1c10,"[{""page_index"":0,""viewing_time"":2188},{""page_index"":1,""viewing_time"":5872},{""page_index"":2,""viewing_time"":81424},{""page_index"":3,""viewing_time"":2928}]",,,,,,,,,,,,,,,,,
introduction,19,337202,0.0-8.0-0.0,pmnv8fcu,,,,,,,,67a5410a2444020ff34a1c10,,img/Red_circle.png,1721.0,calibration,,,,,,,,,,,,,,
introduction,20,342351,0.0-8.0-1.0-0.0,pmnv8fcu,,,,,,5110.0,2132,67a5410a2444020ff34a1c10,,2132,,calibration,,,,,,,,,,,,,,
introduction,21,344360,0.0-8.0-2.0,pmnv8fcu,,,,,,,,67a5410a2444020ff34a1c10,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,346095,0.0-8.0-0.1,pmnv8fcu,,,,,,,,67a5410a2444020ff34a1c10,,img/Red_circle.png,2273.0,calibration,,,,,,,,,,,,,,
introduction,23,348720,0.0-8.0-1.1-0.1,pmnv8fcu,,,,,,2618.0,1111,67a5410a2444020ff34a1c10,,1111,,calibration,,,,,,,,,,,,,,
introduction,24,348721,0.0-8.0-2.1,pmnv8fcu,,,,,,,,67a5410a2444020ff34a1c10,,,,,,,,,,,,,,,,,,
