trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,63559,0.0-2.0,mmldy62m,,,,,,40007.0,67a95d468d14bd6324b4bbba,67a95d468d14bd6324b4bbba,,,,,,,,,,,,,,,,,,
introduction,3,65991,0.0-3.0,mmldy62m,,,,,,2429.0,67a95d468d14bd6324b4bbba,67a95d468d14bd6324b4bbba,,,,,,,,,,,,,,,,,,
introduction,4,69008,0.0-4.0-0.0,mmldy62m,,,,,,3016.0,,67a95d468d14bd6324b4bbba,"[{""page_index"":0,""viewing_time"":854},{""page_index"":1,""viewing_time"":1057},{""page_index"":2,""viewing_time"":1105}]",,,,,,,,,,,,,,,,,
introduction,5,69511,0.0-5.0-0.0,mmldy62m,,,,,,501.0,1,67a95d468d14bd6324b4bbba,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,70241,0.0-5.0-0.1,mmldy62m,,,,,,727.0,2,67a95d468d14bd6324b4bbba,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,71012,0.0-5.0-0.2,mmldy62m,,,,,,768.0,1,67a95d468d14bd6324b4bbba,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,71759,0.0-5.0-0.3,mmldy62m,,,,,,744.0,3,67a95d468d14bd6324b4bbba,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,72489,0.0-5.0-0.4,mmldy62m,,,,,,729.0,2,67a95d468d14bd6324b4bbba,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,73254,0.0-5.0-0.5,mmldy62m,,,,,,763.0,3,67a95d468d14bd6324b4bbba,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,73994,0.0-5.0-0.6,mmldy62m,,,,,,738.0,1,67a95d468d14bd6324b4bbba,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,74668,0.0-5.0-0.7,mmldy62m,,,,,,672.0,2,67a95d468d14bd6324b4bbba,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,75482,0.0-5.0-0.8,mmldy62m,,,,,,813.0,3,67a95d468d14bd6324b4bbba,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,76236,0.0-5.0-0.9,mmldy62m,,,,,,753.0,2,67a95d468d14bd6324b4bbba,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,76947,0.0-5.0-0.10,mmldy62m,,,,,,709.0,1,67a95d468d14bd6324b4bbba,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,77676,0.0-5.0-0.11,mmldy62m,,,,,,728.0,3,67a95d468d14bd6324b4bbba,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,628709,0.0-6.0-0.0,mmldy62m,,,,,,551032.0,,67a95d468d14bd6324b4bbba,"[{""page_index"":0,""viewing_time"":930},{""page_index"":1,""viewing_time"":743},{""page_index"":2,""viewing_time"":548152},{""page_index"":3,""viewing_time"":1207}]",,,,,,,,,,,,,,,,,
introduction,19,637549,0.0-8.0-0.0,mmldy62m,,,,,,,,67a95d468d14bd6324b4bbba,,img/Red_circle.png,3061.0,calibration,,,,,,,,,,,,,,
introduction,20,639454,0.0-8.0-1.0-0.0,mmldy62m,,,,,,1896.0,2311,67a95d468d14bd6324b4bbba,,2311,,calibration,,,,,,,,,,,,,,
introduction,21,639456,0.0-8.0-2.0,mmldy62m,,,,,,,,67a95d468d14bd6324b4bbba,,,,,,,,,,,,,,,,,,
introduction,22,641456,0.0-8.0-0.1,mmldy62m,,,,,,,,67a95d468d14bd6324b4bbba,,<p>CAREFUL. That was too slow.</p>,1894.0,calibration,,,,,,,,,,,,,,
introduction,23,643882,0.0-8.0-1.1-0.1,mmldy62m,,,,,,2423.0,3323,67a95d468d14bd6324b4bbba,,3323,,calibration,,,,,,,,,,,,,,
introduction,24,643883,0.0-8.0-2.1,mmldy62m,,,,,,,,67a95d468d14bd6324b4bbba,,,,,,,,,,,,,,,,,,
introduction,25,645785,0.0-8.0-0.2,mmldy62m,,,,,,,,67a95d468d14bd6324b4bbba,,img/Red_circle.png,2621.0,calibration,,,,,,,,,,,,,,
introduction,26,647628,0.0-8.0-1.2-0.2,mmldy62m,,,,,,1841.0,1111,67a95d468d14bd6324b4bbba,,1111,,calibration,,,,,,,,,,,,,,
introduction,27,647628,0.0-8.0-2.2,mmldy62m,,,,,,,,67a95d468d14bd6324b4bbba,,,,,,,,,,,,,,,,,,
introduction,28,649637,0.0-8.0-0.3,mmldy62m,,,,,,,,67a95d468d14bd6324b4bbba,,<p>CAREFUL. That was too slow.</p>,2739.0,calibration,,,,,,,,,,,,,,
introduction,29,650901,0.0-8.0-1.3-0.3,mmldy62m,,,,,,1261.0,113,67a95d468d14bd6324b4bbba,,113,,calibration,,,,,,,,,,,,,,
introduction,30,650902,0.0-8.0-2.3,mmldy62m,,,,,,,,67a95d468d14bd6324b4bbba,,,,,,,,,,,,,,,,,,
introduction,31,652915,0.0-8.0-0.4,mmldy62m,,,,,,,,67a95d468d14bd6324b4bbba,,<p>CAREFUL. That was too slow.</p>,1284.0,calibration,,,,,,,,,,,,,,
introduction,32,656211,0.0-8.0-1.4-0.4,mmldy62m,,,,,,3288.0,1312,67a95d468d14bd6324b4bbba,,1312,,calibration,,,,,,,,,,,,,,
introduction,33,656213,0.0-8.0-2.4,mmldy62m,,,,,,,,67a95d468d14bd6324b4bbba,,,,,,,,,,,,,,,,,,
