trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,16305,0.0-2.0,zxxgmqtk,,,,,,2932.0,67aa44e0ec4c8a6e21c64636,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,3,18927,0.0-3.0,zxxgmqtk,,,,,,2622.0,67aa44e0ec4c8a6e21c64636,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,4,24510,0.0-4.0-0.0,zxxgmqtk,,,,,,5582.0,,67aa44e0ec4c8a6e21c64636,"[{""page_index"":0,""viewing_time"":771},{""page_index"":1,""viewing_time"":3941},{""page_index"":2,""viewing_time"":870}]",,,,,,,,,,,,,,,,,
introduction,5,26274,0.0-5.0-0.0,zxxgmqtk,,,,,,1764.0,1,67aa44e0ec4c8a6e21c64636,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,26642,0.0-5.0-0.1,zxxgmqtk,,,,,,367.0,2,67aa44e0ec4c8a6e21c64636,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,27378,0.0-5.0-0.2,zxxgmqtk,,,,,,737.0,1,67aa44e0ec4c8a6e21c64636,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,27997,0.0-5.0-0.3,zxxgmqtk,,,,,,620.0,3,67aa44e0ec4c8a6e21c64636,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,28559,0.0-5.0-0.4,zxxgmqtk,,,,,,561.0,2,67aa44e0ec4c8a6e21c64636,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,29108,0.0-5.0-0.5,zxxgmqtk,,,,,,549.0,3,67aa44e0ec4c8a6e21c64636,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,29571,0.0-5.0-0.6,zxxgmqtk,,,,,,462.0,1,67aa44e0ec4c8a6e21c64636,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,29956,0.0-5.0-0.7,zxxgmqtk,,,,,,386.0,2,67aa44e0ec4c8a6e21c64636,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,30336,0.0-5.0-0.8,zxxgmqtk,,,,,,381.0,3,67aa44e0ec4c8a6e21c64636,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,31071,0.0-5.0-0.9,zxxgmqtk,,,,,,734.0,2,67aa44e0ec4c8a6e21c64636,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,31481,0.0-5.0-0.10,zxxgmqtk,,,,,,411.0,1,67aa44e0ec4c8a6e21c64636,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,32112,0.0-5.0-0.11,zxxgmqtk,,,,,,629.0,3,67aa44e0ec4c8a6e21c64636,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,38895,0.0-6.0-0.0,zxxgmqtk,,,,,,6783.0,,67aa44e0ec4c8a6e21c64636,"[{""page_index"":0,""viewing_time"":959},{""page_index"":1,""viewing_time"":1966},{""page_index"":2,""viewing_time"":2985},{""page_index"":3,""viewing_time"":873}]",,,,,,,,,,,,,,,,,
introduction,19,56683,0.0-8.0-0.0,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,img/Red_circle.png,3156.0,calibration,,,,,,,,,,,,,,
introduction,20,59267,0.0-8.0-1.0-0.0,zxxgmqtk,,,,,,2582.0,2321,67aa44e0ec4c8a6e21c64636,,2321,,calibration,,,,,,,,,,,,,,
introduction,21,59267,0.0-8.0-2.0,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,22,61288,0.0-8.0-0.1,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,<p>CAREFUL. That was too slow.</p>,2136.0,calibration,,,,,,,,,,,,,,
introduction,23,63023,0.0-8.0-1.1-0.1,zxxgmqtk,,,,,,1734.0,1323,67aa44e0ec4c8a6e21c64636,,1323,,calibration,,,,,,,,,,,,,,
introduction,24,63024,0.0-8.0-2.1,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,25,65037,0.0-8.0-0.2,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,<p>CAREFUL. That was too slow.</p>,1597.0,calibration,,,,,,,,,,,,,,
introduction,26,66538,0.0-8.0-1.2-0.2,zxxgmqtk,,,,,,1500.0,1132,67aa44e0ec4c8a6e21c64636,,1132,,calibration,,,,,,,,,,,,,,
introduction,27,66538,0.0-8.0-2.2,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,28,68146,0.0-8.0-0.3,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,img/Red_circle.png,2303.0,calibration,,,,,,,,,,,,,,
introduction,29,69747,0.0-8.0-1.3-0.3,zxxgmqtk,,,,,,1600.0,2222,67aa44e0ec4c8a6e21c64636,,2222,,calibration,,,,,,,,,,,,,,
introduction,30,69748,0.0-8.0-2.3,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,31,71762,0.0-8.0-0.4,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,<p>CAREFUL. That was too slow.</p>,1075.0,calibration,,,,,,,,,,,,,,
introduction,32,73684,0.0-8.0-1.4-0.4,zxxgmqtk,,,,,,1920.0,3131,67aa44e0ec4c8a6e21c64636,,3131,,calibration,,,,,,,,,,,,,,
introduction,33,73685,0.0-8.0-2.4,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,34,74766,0.0-8.0-0.5,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,img/Red_circle.png,2832.0,calibration,,,,,,,,,,,,,,
introduction,35,76045,0.0-8.0-1.5-0.5,zxxgmqtk,,,,,,1278.0,233,67aa44e0ec4c8a6e21c64636,,233,,calibration,,,,,,,,,,,,,,
introduction,36,76046,0.0-8.0-2.5,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,37,78160,0.0-8.0-0.6,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,<p>CAREFUL. That was too slow.</p>,1618.0,calibration,,,,,,,,,,,,,,
introduction,38,79833,0.0-8.0-1.6-0.6,zxxgmqtk,,,,,,1671.0,3113,67aa44e0ec4c8a6e21c64636,,3113,,calibration,,,,,,,,,,,,,,
introduction,39,79833,0.0-8.0-2.6,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,40,81456,0.0-8.0-0.7,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,img/Red_circle.png,2259.0,calibration,,,,,,,,,,,,,,
introduction,41,85116,0.0-8.0-1.7-0.7,zxxgmqtk,,,,,,3659.0,3213,67aa44e0ec4c8a6e21c64636,,3213,,calibration,,,,,,,,,,,,,,
introduction,42,87126,0.0-8.0-2.7,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,43,89396,0.0-8.0-0.8,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,img/Red_circle.png,2528.0,calibration,,,,,,,,,,,,,,
introduction,44,91138,0.0-8.0-1.8-0.8,zxxgmqtk,,,,,,1742.0,3231,67aa44e0ec4c8a6e21c64636,,3231,,calibration,,,,,,,,,,,,,,
introduction,45,91138,0.0-8.0-2.8,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,46,93227,0.0-8.0-0.9,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,<p>CAREFUL. That was too slow.</p>,3470.0,calibration,,,,,,,,,,,,,,
introduction,47,95089,0.0-8.0-1.9-0.9,zxxgmqtk,,,,,,1861.0,2313,67aa44e0ec4c8a6e21c64636,,2313,,calibration,,,,,,,,,,,,,,
introduction,48,95089,0.0-8.0-2.9,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,49,97115,0.0-8.0-0.10,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,<p>CAREFUL. That was too slow.</p>,2100.0,calibration,,,,,,,,,,,,,,
introduction,50,98663,0.0-8.0-1.10-0.10,zxxgmqtk,,,,,,1546.0,1112,67aa44e0ec4c8a6e21c64636,,1112,,calibration,,,,,,,,,,,,,,
introduction,51,98663,0.0-8.0-2.10,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,52,100674,0.0-8.0-0.11,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,<p>CAREFUL. That was too slow.</p>,3336.0,calibration,,,,,,,,,,,,,,
introduction,53,101933,0.0-8.0-1.11-0.11,zxxgmqtk,,,,,,1257.0,322,67aa44e0ec4c8a6e21c64636,,322,,calibration,,,,,,,,,,,,,,
introduction,54,101933,0.0-8.0-2.11,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
introduction,55,103938,0.0-8.0-0.12,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,<p>CAREFUL. That was too slow.</p>,2170.0,calibration,,,,,,,,,,,,,,
introduction,56,105195,0.0-8.0-1.12-0.12,zxxgmqtk,,,,,,1257.0,222,67aa44e0ec4c8a6e21c64636,,222,,calibration,,,,,,,,,,,,,,
introduction,57,105195,0.0-8.0-2.12,zxxgmqtk,,,,,,,,67aa44e0ec4c8a6e21c64636,,,,,,,,,,,,,,,,,,
