trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,52068,0.0-2.0,u5apdsgm,,,,,,21596.0,67ad0557981df85a8b4f3fb5,67ad0557981df85a8b4f3fb5,,,,,,,,,,,,,,,,,,
introduction,3,57720,0.0-3.0,u5apdsgm,,,,,,5640.0,67ad0557981df85a8b4f3fb5,67ad0557981df85a8b4f3fb5,,,,,,,,,,,,,,,,,,
introduction,4,79675,0.0-4.0-0.0,u5apdsgm,,,,,,21950.0,,67ad0557981df85a8b4f3fb5,"[{""page_index"":0,""viewing_time"":2817},{""page_index"":1,""viewing_time"":16641},{""page_index"":2,""viewing_time"":2491}]",,,,,,,,,,,,,,,,,
introduction,5,81964,0.0-5.0-0.0,u5apdsgm,,,,,,2286.0,1,67ad0557981df85a8b4f3fb5,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,83373,0.0-5.0-0.1,u5apdsgm,,,,,,1408.0,2,67ad0557981df85a8b4f3fb5,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,84489,0.0-5.0-0.2,u5apdsgm,,,,,,1116.0,1,67ad0557981df85a8b4f3fb5,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,85781,0.0-5.0-0.3,u5apdsgm,,,,,,1291.0,3,67ad0557981df85a8b4f3fb5,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,87406,0.0-5.0-0.4,u5apdsgm,,,,,,1624.0,2,67ad0557981df85a8b4f3fb5,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,88523,0.0-5.0-0.5,u5apdsgm,,,,,,1116.0,3,67ad0557981df85a8b4f3fb5,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,89130,0.0-5.0-0.6,u5apdsgm,,,,,,606.0,1,67ad0557981df85a8b4f3fb5,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,90270,0.0-5.0-0.7,u5apdsgm,,,,,,1139.0,2,67ad0557981df85a8b4f3fb5,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,91771,0.0-5.0-0.8,u5apdsgm,,,,,,1500.0,3,67ad0557981df85a8b4f3fb5,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,92770,0.0-5.0-0.9,u5apdsgm,,,,,,998.0,2,67ad0557981df85a8b4f3fb5,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,93418,0.0-5.0-0.10,u5apdsgm,,,,,,647.0,1,67ad0557981df85a8b4f3fb5,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,94443,0.0-5.0-0.11,u5apdsgm,,,,,,1024.0,3,67ad0557981df85a8b4f3fb5,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,161616,0.0-6.0-0.0,u5apdsgm,,,,,,67172.0,,67ad0557981df85a8b4f3fb5,"[{""page_index"":0,""viewing_time"":1326},{""page_index"":1,""viewing_time"":5843},{""page_index"":2,""viewing_time"":58473},{""page_index"":3,""viewing_time"":1529}]",,,,,,,,,,,,,,,,,
introduction,19,182891,0.0-8.0-0.0,u5apdsgm,,,,,,,,67ad0557981df85a8b4f3fb5,,img/Red_circle.png,2299.0,calibration,,,,,,,,,,,,,,
