trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7084,0.0-2.0,xz7uybmo,,,,,,3769.0,67ad135340401bf2ed4b7e11,67ad135340401bf2ed4b7e11,,,,,,,,,,,,,,,,,,
introduction,3,9087,0.0-3.0,xz7uybmo,,,,,,1996.0,67ad135340401bf2ed4b7e11,67ad135340401bf2ed4b7e11,,,,,,,,,,,,,,,,,,
introduction,4,17201,0.0-4.0-0.0,xz7uybmo,,,,,,8111.0,,67ad135340401bf2ed4b7e11,"[{""page_index"":0,""viewing_time"":1097},{""page_index"":1,""viewing_time"":6093},{""page_index"":2,""viewing_time"":920}]",,,,,,,,,,,,,,,,,
introduction,5,18473,0.0-5.0-0.0,xz7uybmo,,,,,,1268.0,1,67ad135340401bf2ed4b7e11,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,19025,0.0-5.0-0.1,xz7uybmo,,,,,,550.0,2,67ad135340401bf2ed4b7e11,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,20168,0.0-5.0-0.2,xz7uybmo,,,,,,1141.0,1,67ad135340401bf2ed4b7e11,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,20858,0.0-5.0-0.3,xz7uybmo,,,,,,689.0,3,67ad135340401bf2ed4b7e11,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,21542,0.0-5.0-0.4,xz7uybmo,,,,,,682.0,2,67ad135340401bf2ed4b7e11,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,22210,0.0-5.0-0.5,xz7uybmo,,,,,,666.0,3,67ad135340401bf2ed4b7e11,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22854,0.0-5.0-0.6,xz7uybmo,,,,,,642.0,1,67ad135340401bf2ed4b7e11,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,23458,0.0-5.0-0.7,xz7uybmo,,,,,,603.0,2,67ad135340401bf2ed4b7e11,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,24221,0.0-5.0-0.8,xz7uybmo,,,,,,761.0,3,67ad135340401bf2ed4b7e11,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,24866,0.0-5.0-0.9,xz7uybmo,,,,,,644.0,2,67ad135340401bf2ed4b7e11,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,25357,0.0-5.0-0.10,xz7uybmo,,,,,,489.0,1,67ad135340401bf2ed4b7e11,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,25844,0.0-5.0-0.11,xz7uybmo,,,,,,486.0,3,67ad135340401bf2ed4b7e11,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,179049,0.0-6.0-0.0,xz7uybmo,,,,,,153197.0,,67ad135340401bf2ed4b7e11,"[{""page_index"":0,""viewing_time"":724},{""page_index"":1,""viewing_time"":3050},{""page_index"":2,""viewing_time"":148306},{""page_index"":3,""viewing_time"":1116}]",,,,,,,,,,,,,,,,,
introduction,19,204768,0.0-8.0-0.0,xz7uybmo,,,,,,,,67ad135340401bf2ed4b7e11,,img/Red_circle.png,3299.0,calibration,,,,,,,,,,,,,,
introduction,20,207502,0.0-8.0-1.0-0.0,xz7uybmo,,,,,,2722.0,3232,67ad135340401bf2ed4b7e11,,3232,,calibration,,,,,,,,,,,,,,
introduction,21,207507,0.0-8.0-2.0,xz7uybmo,,,,,,,,67ad135340401bf2ed4b7e11,,,,,,,,,,,,,,,,,,
introduction,22,209512,0.0-8.0-0.1,xz7uybmo,,,,,,,,67ad135340401bf2ed4b7e11,,<p>CAREFUL. That was too slow.</p>,2587.0,calibration,,,,,,,,,,,,,,
