trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,53186,0.0-2.0,mkppy101,,,,,,23241.0,67bf3a875e5d45c80be915cf,67bf3a875e5d45c80be915cf,,,,,,,,,,,,,,,,,,
introduction,3,66482,0.0-3.0,mkppy101,,,,,,13294.0,67bf3a875e5d45c80be915cf,67bf3a875e5d45c80be915cf,,,,,,,,,,,,,,,,,,
introduction,4,97250,0.0-4.0-0.0,mkppy101,,,,,,30767.0,,67bf3a875e5d45c80be915cf,"[{""page_index"":0,""viewing_time"":1527},{""page_index"":1,""viewing_time"":28224},{""page_index"":2,""viewing_time"":1016}]",,,,,,,,,,,,,,,,,
introduction,5,99137,0.0-5.0-0.0,mkppy101,,,,,,1887.0,1,67bf3a875e5d45c80be915cf,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,100082,0.0-5.0-0.1,mkppy101,,,,,,944.0,2,67bf3a875e5d45c80be915cf,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,101298,0.0-5.0-0.2,mkppy101,,,,,,1215.0,1,67bf3a875e5d45c80be915cf,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,102322,0.0-5.0-0.3,mkppy101,,,,,,1023.0,3,67bf3a875e5d45c80be915cf,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,102897,0.0-5.0-0.4,mkppy101,,,,,,574.0,2,67bf3a875e5d45c80be915cf,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,103746,0.0-5.0-0.5,mkppy101,,,,,,848.0,3,67bf3a875e5d45c80be915cf,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,104674,0.0-5.0-0.6,mkppy101,,,,,,928.0,1,67bf3a875e5d45c80be915cf,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,105378,0.0-5.0-0.7,mkppy101,,,,,,703.0,2,67bf3a875e5d45c80be915cf,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,105747,0.0-5.0-0.8,mkppy101,,,,,,367.0,3,67bf3a875e5d45c80be915cf,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,106722,0.0-5.0-0.9,mkppy101,,,,,,975.0,2,67bf3a875e5d45c80be915cf,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,107298,0.0-5.0-0.10,mkppy101,,,,,,575.0,1,67bf3a875e5d45c80be915cf,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,108034,0.0-5.0-0.11,mkppy101,,,,,,735.0,3,67bf3a875e5d45c80be915cf,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,135129,0.0-6.0-0.0,mkppy101,,,,,,27094.0,,67bf3a875e5d45c80be915cf,"[{""page_index"":0,""viewing_time"":1686},{""page_index"":1,""viewing_time"":4136},{""page_index"":2,""viewing_time"":19800},{""page_index"":3,""viewing_time"":1472}]",,,,,,,,,,,,,,,,,
introduction,19,156890,0.0-8.0-0.0,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,img/Red_circle.png,1786.0,calibration,,,,,,,,,,,,,,
introduction,20,163634,0.0-8.0-1.0-0.0,mkppy101,,,,,,6739.0,1112,67bf3a875e5d45c80be915cf,,1112,,calibration,,,,,,,,,,,,,,
introduction,21,165641,0.0-8.0-2.0,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,167435,0.0-8.0-0.1,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,img/Red_circle.png,2772.0,calibration,,,,,,,,,,,,,,
introduction,23,170769,0.0-8.0-1.1-0.1,mkppy101,,,,,,3330.0,2133,67bf3a875e5d45c80be915cf,,2133,,calibration,,,,,,,,,,,,,,
introduction,24,170770,0.0-8.0-2.1,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,,,,,,,,,,,,,,,,,
introduction,25,172774,0.0-8.0-0.2,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,<p>CAREFUL. That was too slow.</p>,2752.0,calibration,,,,,,,,,,,,,,
introduction,26,175714,0.0-8.0-1.2-0.2,mkppy101,,,,,,2935.0,2231,67bf3a875e5d45c80be915cf,,2231,,calibration,,,,,,,,,,,,,,
introduction,27,175714,0.0-8.0-2.2,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,,,,,,,,,,,,,,,,,
introduction,28,177727,0.0-8.0-0.3,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,<p>CAREFUL. That was too slow.</p>,2851.0,calibration,,,,,,,,,,,,,,
introduction,29,179537,0.0-8.0-1.3-0.3,mkppy101,,,,,,1806.0,222,67bf3a875e5d45c80be915cf,,222,,calibration,,,,,,,,,,,,,,
introduction,30,179538,0.0-8.0-2.3,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,,,,,,,,,,,,,,,,,
introduction,31,181541,0.0-8.0-0.4,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,<p>CAREFUL. That was too slow.</p>,2936.0,calibration,,,,,,,,,,,,,,
introduction,32,183841,0.0-8.0-1.4-0.4,mkppy101,,,,,,2295.0,332,67bf3a875e5d45c80be915cf,,332,,calibration,,,,,,,,,,,,,,
introduction,33,183842,0.0-8.0-2.4,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,,,,,,,,,,,,,,,,,
introduction,34,185847,0.0-8.0-0.5,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,<p>CAREFUL. That was too slow.</p>,3269.0,calibration,,,,,,,,,,,,,,
introduction,35,188913,0.0-8.0-1.5-0.5,mkppy101,,,,,,3062.0,3121,67bf3a875e5d45c80be915cf,,3121,,calibration,,,,,,,,,,,,,,
introduction,36,188914,0.0-8.0-2.5,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,,,,,,,,,,,,,,,,,
introduction,37,190924,0.0-8.0-0.6,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,<p>CAREFUL. That was too slow.</p>,1180.0,calibration,,,,,,,,,,,,,,
introduction,38,193889,0.0-8.0-1.6-0.6,mkppy101,,,,,,2959.0,3232,67bf3a875e5d45c80be915cf,,3232,,calibration,,,,,,,,,,,,,,
introduction,39,193890,0.0-8.0-2.6,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,,,,,,,,,,,,,,,,,
introduction,40,195077,0.0-8.0-0.7,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,img/Red_circle.png,1745.0,calibration,,,,,,,,,,,,,,
introduction,41,198369,0.0-8.0-1.7-0.7,mkppy101,,,,,,3287.0,2113,67bf3a875e5d45c80be915cf,,2113,,calibration,,,,,,,,,,,,,,
introduction,42,198370,0.0-8.0-2.7,mkppy101,,,,,,,,67bf3a875e5d45c80be915cf,,,,,,,,,,,,,,,,,,
