trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,19240,0.0-2.0,9s8bcxnz,,,,,,16309.0,67c1d7dfe0aaba274972150e,67c1d7dfe0aaba274972150e,,,,,,,,,,,,,,,,,,
introduction,3,22535,0.0-3.0,9s8bcxnz,,,,,,3293.0,67c1d7dfe0aaba274972150e,67c1d7dfe0aaba274972150e,,,,,,,,,,,,,,,,,,
introduction,4,33876,0.0-4.0-0.0,9s8bcxnz,,,,,,11341.0,,67c1d7dfe0aaba274972150e,"[{""page_index"":0,""viewing_time"":1389},{""page_index"":1,""viewing_time"":7883},{""page_index"":2,""viewing_time"":2069}]",,,,,,,,,,,,,,,,,
introduction,5,34884,0.0-5.0-0.0,9s8bcxnz,,,,,,1007.0,1,67c1d7dfe0aaba274972150e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,35475,0.0-5.0-0.1,9s8bcxnz,,,,,,589.0,2,67c1d7dfe0aaba274972150e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,36338,0.0-5.0-0.2,9s8bcxnz,,,,,,862.0,1,67c1d7dfe0aaba274972150e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,37027,0.0-5.0-0.3,9s8bcxnz,,,,,,688.0,3,67c1d7dfe0aaba274972150e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,37754,0.0-5.0-0.4,9s8bcxnz,,,,,,726.0,2,67c1d7dfe0aaba274972150e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,38583,0.0-5.0-0.5,9s8bcxnz,,,,,,829.0,3,67c1d7dfe0aaba274972150e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,39162,0.0-5.0-0.6,9s8bcxnz,,,,,,578.0,1,67c1d7dfe0aaba274972150e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,39883,0.0-5.0-0.7,9s8bcxnz,,,,,,720.0,2,67c1d7dfe0aaba274972150e,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,40726,0.0-5.0-0.8,9s8bcxnz,,,,,,842.0,3,67c1d7dfe0aaba274972150e,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,41610,0.0-5.0-0.9,9s8bcxnz,,,,,,883.0,2,67c1d7dfe0aaba274972150e,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,42203,0.0-5.0-0.10,9s8bcxnz,,,,,,591.0,1,67c1d7dfe0aaba274972150e,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,42874,0.0-5.0-0.11,9s8bcxnz,,,,,,671.0,3,67c1d7dfe0aaba274972150e,,Press: 3,,,,,,,,,,,,,,,,
