trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,51880,0.0-2.0,zcpyceoj,,,,,,6569.0,67c203962e35aa4959661660,67c203962e35aa4959661660,,,,,,,,,,,,,,,,,,
introduction,3,57803,0.0-3.0,zcpyceoj,,,,,,5920.0,67c203962e35aa4959661660,67c203962e35aa4959661660,,,,,,,,,,,,,,,,,,
introduction,4,65480,0.0-4.0-0.0,zcpyceoj,,,,,,7676.0,,67c203962e35aa4959661660,"[{""page_index"":0,""viewing_time"":1603},{""page_index"":1,""viewing_time"":4758},{""page_index"":2,""viewing_time"":1316}]",,,,,,,,,,,,,,,,,
introduction,5,67288,0.0-5.0-0.0,zcpyceoj,,,,,,1806.0,1,67c203962e35aa4959661660,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,68063,0.0-5.0-0.1,zcpyceoj,,,,,,775.0,2,67c203962e35aa4959661660,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,68880,0.0-5.0-0.2,zcpyceoj,,,,,,816.0,1,67c203962e35aa4959661660,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,69767,0.0-5.0-0.3,zcpyceoj,,,,,,887.0,3,67c203962e35aa4959661660,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,70888,0.0-5.0-0.4,zcpyceoj,,,,,,1120.0,2,67c203962e35aa4959661660,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,71744,0.0-5.0-0.5,zcpyceoj,,,,,,856.0,3,67c203962e35aa4959661660,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,72352,0.0-5.0-0.6,zcpyceoj,,,,,,608.0,1,67c203962e35aa4959661660,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,73096,0.0-5.0-0.7,zcpyceoj,,,,,,743.0,2,67c203962e35aa4959661660,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,73673,0.0-5.0-0.8,zcpyceoj,,,,,,576.0,3,67c203962e35aa4959661660,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,74424,0.0-5.0-0.9,zcpyceoj,,,,,,751.0,2,67c203962e35aa4959661660,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,75096,0.0-5.0-0.10,zcpyceoj,,,,,,672.0,1,67c203962e35aa4959661660,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,75816,0.0-5.0-0.11,zcpyceoj,,,,,,720.0,3,67c203962e35aa4959661660,,Press: 3,,,,,,,,,,,,,,,,
