trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,44445,0.0-2.0,8ggrw7go,,,,,,16827.0,67c823f9cafa0e439217f2cc,67c823f9cafa0e439217f2cc,,,,,,,,,,,,,,,,,,
introduction,3,51479,0.0-3.0,8ggrw7go,,,,,,7023.0,67c823f9cafa0e439217f2cc,67c823f9cafa0e439217f2cc,,,,,,,,,,,,,,,,,,
introduction,4,59723,0.0-4.0-0.0,8ggrw7go,,,,,,8242.0,,67c823f9cafa0e439217f2cc,"[{""page_index"":0,""viewing_time"":1618},{""page_index"":1,""viewing_time"":5199},{""page_index"":2,""viewing_time"":1424}]",,,,,,,,,,,,,,,,,
introduction,5,61769,0.0-5.0-0.0,8ggrw7go,,,,,,2043.0,1,67c823f9cafa0e439217f2cc,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,63545,0.0-5.0-0.1,8ggrw7go,,,,,,1774.0,2,67c823f9cafa0e439217f2cc,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,64681,0.0-5.0-0.2,8ggrw7go,,,,,,1135.0,1,67c823f9cafa0e439217f2cc,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,66105,0.0-5.0-0.3,8ggrw7go,,,,,,1423.0,3,67c823f9cafa0e439217f2cc,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,67181,0.0-5.0-0.4,8ggrw7go,,,,,,1074.0,2,67c823f9cafa0e439217f2cc,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,68249,0.0-5.0-0.5,8ggrw7go,,,,,,1068.0,3,67c823f9cafa0e439217f2cc,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,69258,0.0-5.0-0.6,8ggrw7go,,,,,,1007.0,1,67c823f9cafa0e439217f2cc,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,70394,0.0-5.0-0.7,8ggrw7go,,,,,,1135.0,2,67c823f9cafa0e439217f2cc,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,71497,0.0-5.0-0.8,8ggrw7go,,,,,,1103.0,3,67c823f9cafa0e439217f2cc,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,72377,0.0-5.0-0.9,8ggrw7go,,,,,,878.0,2,67c823f9cafa0e439217f2cc,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,73305,0.0-5.0-0.10,8ggrw7go,,,,,,928.0,1,67c823f9cafa0e439217f2cc,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,74314,0.0-5.0-0.11,8ggrw7go,,,,,,1008.0,3,67c823f9cafa0e439217f2cc,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,138267,0.0-6.0-0.0,8ggrw7go,,,,,,63952.0,,67c823f9cafa0e439217f2cc,"[{""page_index"":0,""viewing_time"":2408},{""page_index"":1,""viewing_time"":6408},{""page_index"":2,""viewing_time"":49200},{""page_index"":3,""viewing_time"":5935}]",,,,,,,,,,,,,,,,,
introduction,19,168624,0.0-8.0-0.0,8ggrw7go,,,,,,,,67c823f9cafa0e439217f2cc,,img/Red_circle.png,3386.0,calibration,,,,,,,,,,,,,,
introduction,20,175342,0.0-8.0-1.0-0.0,8ggrw7go,,,,,,6708.0,1123,67c823f9cafa0e439217f2cc,,1123,,calibration,,,,,,,,,,,,,,
introduction,21,177349,0.0-8.0-2.0,8ggrw7go,,,,,,,,67c823f9cafa0e439217f2cc,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,180749,0.0-8.0-0.1,8ggrw7go,,,,,,,,67c823f9cafa0e439217f2cc,,img/Red_circle.png,2144.0,calibration,,,,,,,,,,,,,,
introduction,23,183885,0.0-8.0-1.1-0.1,8ggrw7go,,,,,,3127.0,31,67c823f9cafa0e439217f2cc,,31,,calibration,,,,,,,,,,,,,,
introduction,24,183887,0.0-8.0-2.1,8ggrw7go,,,,,,,,67c823f9cafa0e439217f2cc,,,,,,,,,,,,,,,,,,
introduction,25,185895,0.0-8.0-0.2,8ggrw7go,,,,,,,,67c823f9cafa0e439217f2cc,,<p>CAREFUL. That was too slow.</p>,3204.0,calibration,,,,,,,,,,,,,,
introduction,26,188429,0.0-8.0-1.2-0.2,8ggrw7go,,,,,,2529.0,221,67c823f9cafa0e439217f2cc,,221,,calibration,,,,,,,,,,,,,,
introduction,27,188431,0.0-8.0-2.2,8ggrw7go,,,,,,,,67c823f9cafa0e439217f2cc,,,,,,,,,,,,,,,,,,
introduction,28,190443,0.0-8.0-0.3,8ggrw7go,,,,,,,,67c823f9cafa0e439217f2cc,,<p>CAREFUL. That was too slow.</p>,2650.0,calibration,,,,,,,,,,,,,,
introduction,29,193166,0.0-8.0-1.3-0.3,8ggrw7go,,,,,,2719.0,2213,67c823f9cafa0e439217f2cc,,2213,,calibration,,,,,,,,,,,,,,
introduction,30,193168,0.0-8.0-2.3,8ggrw7go,,,,,,,,67c823f9cafa0e439217f2cc,,,,,,,,,,,,,,,,,,
