trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,34310,0.0-2.0,sg19aqrj,,,,,,13980.0,67ca0274d3bd9d33cb0e6a8b,67ca0274d3bd9d33cb0e6a8b,,,,,,,,,,,,,,,,,,
introduction,3,41024,0.0-3.0,sg19aqrj,,,,,,6702.0,67ca0274d3bd9d33cb0e6a8b,67ca0274d3bd9d33cb0e6a8b,,,,,,,,,,,,,,,,,,
introduction,4,64883,0.0-4.0-0.0,sg19aqrj,,,,,,23853.0,,67ca0274d3bd9d33cb0e6a8b,"[{""page_index"":0,""viewing_time"":2390},{""page_index"":1,""viewing_time"":19327},{""page_index"":2,""viewing_time"":2135}]",,,,,,,,,,,,,,,,,
introduction,5,66939,0.0-5.0-0.0,sg19aqrj,,,,,,2050.0,1,67ca0274d3bd9d33cb0e6a8b,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,68010,0.0-5.0-0.1,sg19aqrj,,,,,,1069.0,2,67ca0274d3bd9d33cb0e6a8b,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,70485,0.0-5.0-0.2,sg19aqrj,,,,,,2473.0,1,67ca0274d3bd9d33cb0e6a8b,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,71819,0.0-5.0-0.3,sg19aqrj,,,,,,1332.0,3,67ca0274d3bd9d33cb0e6a8b,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,72550,0.0-5.0-0.4,sg19aqrj,,,,,,729.0,2,67ca0274d3bd9d33cb0e6a8b,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,74041,0.0-5.0-0.5,sg19aqrj,,,,,,1489.0,3,67ca0274d3bd9d33cb0e6a8b,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,75033,0.0-5.0-0.6,sg19aqrj,,,,,,990.0,1,67ca0274d3bd9d33cb0e6a8b,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,76075,0.0-5.0-0.7,sg19aqrj,,,,,,1039.0,2,67ca0274d3bd9d33cb0e6a8b,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,76771,0.0-5.0-0.8,sg19aqrj,,,,,,694.0,3,67ca0274d3bd9d33cb0e6a8b,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,77582,0.0-5.0-0.9,sg19aqrj,,,,,,809.0,2,67ca0274d3bd9d33cb0e6a8b,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,78278,0.0-5.0-0.10,sg19aqrj,,,,,,695.0,1,67ca0274d3bd9d33cb0e6a8b,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,79289,0.0-5.0-0.11,sg19aqrj,,,,,,1009.0,3,67ca0274d3bd9d33cb0e6a8b,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,126639,0.0-6.0-0.0,sg19aqrj,,,,,,47349.0,,67ca0274d3bd9d33cb0e6a8b,"[{""page_index"":0,""viewing_time"":1222},{""page_index"":1,""viewing_time"":5867},{""page_index"":2,""viewing_time"":37493},{""page_index"":3,""viewing_time"":2766}]",,,,,,,,,,,,,,,,,
introduction,19,158578,0.0-8.0-0.0,sg19aqrj,,,,,,,,67ca0274d3bd9d33cb0e6a8b,,img/Red_circle.png,3164.0,calibration,,,,,,,,,,,,,,
introduction,20,162933,0.0-8.0-1.0-0.0,sg19aqrj,,,,,,4350.0,3232,67ca0274d3bd9d33cb0e6a8b,,3232,,calibration,,,,,,,,,,,,,,
introduction,21,164949,0.0-8.0-2.0,sg19aqrj,,,,,,,,67ca0274d3bd9d33cb0e6a8b,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,168117,0.0-8.0-0.1,sg19aqrj,,,,,,,,67ca0274d3bd9d33cb0e6a8b,,img/Red_circle.png,2356.0,calibration,,,,,,,,,,,,,,
introduction,23,170936,0.0-8.0-1.1-0.1,sg19aqrj,,,,,,2816.0,3313,67ca0274d3bd9d33cb0e6a8b,,3313,,calibration,,,,,,,,,,,,,,
introduction,24,170937,0.0-8.0-2.1,sg19aqrj,,,,,,,,67ca0274d3bd9d33cb0e6a8b,,,,,,,,,,,,,,,,,,
introduction,25,172943,0.0-8.0-0.2,sg19aqrj,,,,,,,,67ca0274d3bd9d33cb0e6a8b,,<p>CAREFUL. That was too slow.</p>,1965.0,calibration,,,,,,,,,,,,,,
introduction,26,176249,0.0-8.0-1.2-0.2,sg19aqrj,,,,,,3299.0,2311,67ca0274d3bd9d33cb0e6a8b,,2311,,calibration,,,,,,,,,,,,,,
introduction,27,176250,0.0-8.0-2.2,sg19aqrj,,,,,,,,67ca0274d3bd9d33cb0e6a8b,,,,,,,,,,,,,,,,,,
introduction,28,178220,0.0-8.0-0.3,sg19aqrj,,,,,,,,67ca0274d3bd9d33cb0e6a8b,,img/Red_circle.png,2106.0,calibration,,,,,,,,,,,,,,
introduction,29,181875,0.0-8.0-1.3-0.3,sg19aqrj,,,,,,3649.0,2131,67ca0274d3bd9d33cb0e6a8b,,2131,,calibration,,,,,,,,,,,,,,
introduction,30,183878,0.0-8.0-2.3,sg19aqrj,,,,,,,,67ca0274d3bd9d33cb0e6a8b,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,31,186004,0.0-8.0-0.4,sg19aqrj,,,,,,,,67ca0274d3bd9d33cb0e6a8b,,img/Red_circle.png,2779.0,calibration,,,,,,,,,,,,,,
introduction,32,188449,0.0-8.0-1.4-0.4,sg19aqrj,,,,,,2437.0,121,67ca0274d3bd9d33cb0e6a8b,,121,,calibration,,,,,,,,,,,,,,
introduction,33,188450,0.0-8.0-2.4,sg19aqrj,,,,,,,,67ca0274d3bd9d33cb0e6a8b,,,,,,,,,,,,,,,,,,
introduction,34,190456,0.0-8.0-0.5,sg19aqrj,,,,,,,,67ca0274d3bd9d33cb0e6a8b,,<p>CAREFUL. That was too slow.</p>,1239.0,calibration,,,,,,,,,,,,,,
introduction,35,193884,0.0-8.0-1.5-0.5,sg19aqrj,,,,,,3422.0,2311,67ca0274d3bd9d33cb0e6a8b,,2311,,calibration,,,,,,,,,,,,,,
