trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,26891,0.0-2.0,faav38fm,,,,,,14909.0,67cb4c2ffd8101f4346059d7,67cb4c2ffd8101f4346059d7,,,,,,,,,,,,,,,,,,
introduction,3,34221,0.0-3.0,faav38fm,,,,,,7321.0,67cb4c2ffd8101f4346059d7,67cb4c2ffd8101f4346059d7,,,,,,,,,,,,,,,,,,
introduction,4,48682,0.0-4.0-0.0,faav38fm,,,,,,14459.0,,67cb4c2ffd8101f4346059d7,"[{""page_index"":0,""viewing_time"":2970},{""page_index"":1,""viewing_time"":9875},{""page_index"":2,""viewing_time"":1614}]",,,,,,,,,,,,,,,,,
introduction,5,51674,0.0-5.0-0.0,faav38fm,,,,,,2990.0,1,67cb4c2ffd8101f4346059d7,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,53085,0.0-5.0-0.1,faav38fm,,,,,,1410.0,2,67cb4c2ffd8101f4346059d7,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,55320,0.0-5.0-0.2,faav38fm,,,,,,2235.0,1,67cb4c2ffd8101f4346059d7,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,56572,0.0-5.0-0.3,faav38fm,,,,,,1250.0,3,67cb4c2ffd8101f4346059d7,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,57956,0.0-5.0-0.4,faav38fm,,,,,,1383.0,2,67cb4c2ffd8101f4346059d7,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,58947,0.0-5.0-0.5,faav38fm,,,,,,990.0,3,67cb4c2ffd8101f4346059d7,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,60017,0.0-5.0-0.6,faav38fm,,,,,,1070.0,1,67cb4c2ffd8101f4346059d7,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,60847,0.0-5.0-0.7,faav38fm,,,,,,829.0,2,67cb4c2ffd8101f4346059d7,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,61837,0.0-5.0-0.8,faav38fm,,,,,,989.0,3,67cb4c2ffd8101f4346059d7,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,62838,0.0-5.0-0.9,faav38fm,,,,,,1000.0,2,67cb4c2ffd8101f4346059d7,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,63778,0.0-5.0-0.10,faav38fm,,,,,,939.0,1,67cb4c2ffd8101f4346059d7,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,64720,0.0-5.0-0.11,faav38fm,,,,,,942.0,3,67cb4c2ffd8101f4346059d7,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,105384,0.0-6.0-0.0,faav38fm,,,,,,40663.0,,67cb4c2ffd8101f4346059d7,"[{""page_index"":0,""viewing_time"":3131},{""page_index"":1,""viewing_time"":4106},{""page_index"":2,""viewing_time"":31484},{""page_index"":3,""viewing_time"":1941}]",,,,,,,,,,,,,,,,,
introduction,19,142722,0.0-8.0-0.0,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,img/Red_circle.png,2353.0,calibration,,,,,,,,,,,,,,
introduction,20,149582,0.0-8.0-1.0-0.0,faav38fm,,,,,,6854.0,2221,67cb4c2ffd8101f4346059d7,,2221,,calibration,,,,,,,,,,,,,,
introduction,21,151587,0.0-8.0-2.0,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,153944,0.0-8.0-0.1,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,img/Red_circle.png,2610.0,calibration,,,,,,,,,,,,,,
introduction,23,157767,0.0-8.0-1.1-0.1,faav38fm,,,,,,3819.0,2221,67cb4c2ffd8101f4346059d7,,2221,,calibration,,,,,,,,,,,,,,
introduction,24,159769,0.0-8.0-2.1,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,25,162381,0.0-8.0-0.2,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,img/Red_circle.png,1875.0,calibration,,,,,,,,,,,,,,
introduction,26,166465,0.0-8.0-1.2-0.2,faav38fm,,,,,,4081.0,2122,67cb4c2ffd8101f4346059d7,,2122,,calibration,,,,,,,,,,,,,,
introduction,27,168467,0.0-8.0-2.2,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,170345,0.0-8.0-0.3,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,img/Red_circle.png,2355.0,calibration,,,,,,,,,,,,,,
introduction,29,174707,0.0-8.0-1.3-0.3,faav38fm,,,,,,4359.0,3221,67cb4c2ffd8101f4346059d7,,3221,,calibration,,,,,,,,,,,,,,
introduction,30,176710,0.0-8.0-2.3,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,31,179068,0.0-8.0-0.4,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,img/Red_circle.png,2565.0,calibration,,,,,,,,,,,,,,
introduction,32,183063,0.0-8.0-1.4-0.4,faav38fm,,,,,,3989.0,3331,67cb4c2ffd8101f4346059d7,,3331,,calibration,,,,,,,,,,,,,,
introduction,33,185065,0.0-8.0-2.4,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,34,187632,0.0-8.0-0.5,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,img/Red_circle.png,2484.0,calibration,,,,,,,,,,,,,,
introduction,35,191772,0.0-8.0-1.5-0.5,faav38fm,,,,,,4137.0,2233,67cb4c2ffd8101f4346059d7,,2233,,calibration,,,,,,,,,,,,,,
introduction,36,193775,0.0-8.0-2.5,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,37,196261,0.0-8.0-0.6,faav38fm,,,,,,,,67cb4c2ffd8101f4346059d7,,img/Red_circle.png,2762.0,calibration,,,,,,,,,,,,,,
introduction,38,201382,0.0-8.0-1.6-0.6,faav38fm,,,,,,5118.0,1123,67cb4c2ffd8101f4346059d7,,1123,,calibration,,,,,,,,,,,,,,
