trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,19328,0.0-2.0,qcp3zzvj,,,,,,8351.0,67cc6814dc9452cccab5fff0,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,3,55363,0.0-3.0,qcp3zzvj,,,,,,36033.0,67cc6814dc9452cccab5fff0,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,4,65163,0.0-4.0-0.0,qcp3zzvj,,,,,,9798.0,,67cc6814dc9452cccab5fff0,"[{""page_index"":0,""viewing_time"":1190},{""page_index"":1,""viewing_time"":6728},{""page_index"":2,""viewing_time"":1880}]",,,,,,,,,,,,,,,,,
introduction,5,66387,0.0-5.0-0.0,qcp3zzvj,,,,,,1223.0,1,67cc6814dc9452cccab5fff0,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,67078,0.0-5.0-0.1,qcp3zzvj,,,,,,689.0,2,67cc6814dc9452cccab5fff0,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,67877,0.0-5.0-0.2,qcp3zzvj,,,,,,798.0,1,67cc6814dc9452cccab5fff0,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,69595,0.0-5.0-0.3,qcp3zzvj,,,,,,1717.0,3,67cc6814dc9452cccab5fff0,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,70236,0.0-5.0-0.4,qcp3zzvj,,,,,,640.0,2,67cc6814dc9452cccab5fff0,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,70833,0.0-5.0-0.5,qcp3zzvj,,,,,,596.0,3,67cc6814dc9452cccab5fff0,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,71345,0.0-5.0-0.6,qcp3zzvj,,,,,,511.0,1,67cc6814dc9452cccab5fff0,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,71974,0.0-5.0-0.7,qcp3zzvj,,,,,,628.0,2,67cc6814dc9452cccab5fff0,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,72578,0.0-5.0-0.8,qcp3zzvj,,,,,,603.0,3,67cc6814dc9452cccab5fff0,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,73089,0.0-5.0-0.9,qcp3zzvj,,,,,,510.0,2,67cc6814dc9452cccab5fff0,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,73609,0.0-5.0-0.10,qcp3zzvj,,,,,,518.0,1,67cc6814dc9452cccab5fff0,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,74033,0.0-5.0-0.11,qcp3zzvj,,,,,,424.0,3,67cc6814dc9452cccab5fff0,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,113203,0.0-6.0-0.0,qcp3zzvj,,,,,,39169.0,,67cc6814dc9452cccab5fff0,"[{""page_index"":0,""viewing_time"":1609},{""page_index"":1,""viewing_time"":1552},{""page_index"":2,""viewing_time"":34816},{""page_index"":3,""viewing_time"":1192}]",,,,,,,,,,,,,,,,,
introduction,19,139065,0.0-8.0-0.0,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,img/Red_circle.png,1525.0,calibration,,,,,,,,,,,,,,
introduction,20,146065,0.0-8.0-1.0-0.0,qcp3zzvj,,,,,,6995.0,3223,67cc6814dc9452cccab5fff0,,3223,,calibration,,,,,,,,,,,,,,
introduction,21,148083,0.0-8.0-2.0,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,149623,0.0-8.0-0.1,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,img/Red_circle.png,1750.0,calibration,,,,,,,,,,,,,,
introduction,23,152201,0.0-8.0-1.1-0.1,qcp3zzvj,,,,,,2574.0,3331,67cc6814dc9452cccab5fff0,,3331,,calibration,,,,,,,,,,,,,,
introduction,24,152202,0.0-8.0-2.1,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,25,153964,0.0-8.0-0.2,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,img/Red_circle.png,3114.0,calibration,,,,,,,,,,,,,,
introduction,26,156352,0.0-8.0-1.2-0.2,qcp3zzvj,,,,,,2384.0,2213,67cc6814dc9452cccab5fff0,,2213,,calibration,,,,,,,,,,,,,,
introduction,27,156353,0.0-8.0-2.2,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,28,158366,0.0-8.0-0.3,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,<p>CAREFUL. That was too slow.</p>,3342.0,calibration,,,,,,,,,,,,,,
introduction,29,161364,0.0-8.0-1.3-0.3,qcp3zzvj,,,,,,2995.0,2231,67cc6814dc9452cccab5fff0,,2231,,calibration,,,,,,,,,,,,,,
introduction,30,161365,0.0-8.0-2.3,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,31,163369,0.0-8.0-0.4,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,<p>CAREFUL. That was too slow.</p>,1883.0,calibration,,,,,,,,,,,,,,
introduction,32,166122,0.0-8.0-1.4-0.4,qcp3zzvj,,,,,,2749.0,1212,67cc6814dc9452cccab5fff0,,1212,,calibration,,,,,,,,,,,,,,
introduction,33,166123,0.0-8.0-2.4,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,34,168017,0.0-8.0-0.5,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,img/Red_circle.png,2718.0,calibration,,,,,,,,,,,,,,
introduction,35,170030,0.0-8.0-1.5-0.5,qcp3zzvj,,,,,,2008.0,122,67cc6814dc9452cccab5fff0,,122,,calibration,,,,,,,,,,,,,,
introduction,36,170031,0.0-8.0-2.5,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,37,172044,0.0-8.0-0.6,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,<p>CAREFUL. That was too slow.</p>,1489.0,calibration,,,,,,,,,,,,,,
introduction,38,173370,0.0-8.0-1.6-0.6,qcp3zzvj,,,,,,1322.0,11,67cc6814dc9452cccab5fff0,,11,,calibration,,,,,,,,,,,,,,
introduction,39,173372,0.0-8.0-2.6,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,40,174869,0.0-8.0-0.7,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,img/Red_circle.png,1624.0,calibration,,,,,,,,,,,,,,
introduction,41,177133,0.0-8.0-1.7-0.7,qcp3zzvj,,,,,,2261.0,211,67cc6814dc9452cccab5fff0,,211,,calibration,,,,,,,,,,,,,,
introduction,42,177134,0.0-8.0-2.7,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,43,178769,0.0-8.0-0.8,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,img/Red_circle.png,1346.0,calibration,,,,,,,,,,,,,,
introduction,44,181102,0.0-8.0-1.8-0.8,qcp3zzvj,,,,,,2330.0,1313,67cc6814dc9452cccab5fff0,,1313,,calibration,,,,,,,,,,,,,,
introduction,45,181104,0.0-8.0-2.8,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,46,182461,0.0-8.0-0.9,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,img/Red_circle.png,1824.0,calibration,,,,,,,,,,,,,,
introduction,47,185971,0.0-8.0-1.9-0.9,qcp3zzvj,,,,,,3506.0,122,67cc6814dc9452cccab5fff0,,122,,calibration,,,,,,,,,,,,,,
introduction,48,187985,0.0-8.0-2.9,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,49,189827,0.0-8.0-0.10,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,img/Red_circle.png,3405.0,calibration,,,,,,,,,,,,,,
introduction,50,192924,0.0-8.0-1.10-0.10,qcp3zzvj,,,,,,3094.0,1333,67cc6814dc9452cccab5fff0,,1333,,calibration,,,,,,,,,,,,,,
introduction,51,192925,0.0-8.0-2.10,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,52,194927,0.0-8.0-0.11,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,<p>CAREFUL. That was too slow.</p>,1411.0,calibration,,,,,,,,,,,,,,
introduction,53,197673,0.0-8.0-1.11-0.11,qcp3zzvj,,,,,,2742.0,3322,67cc6814dc9452cccab5fff0,,3322,,calibration,,,,,,,,,,,,,,
introduction,54,197674,0.0-8.0-2.11,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,55,199100,0.0-8.0-0.12,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,img/Red_circle.png,3206.0,calibration,,,,,,,,,,,,,,
introduction,56,201014,0.0-8.0-1.12-0.12,qcp3zzvj,,,,,,1910.0,333,67cc6814dc9452cccab5fff0,,333,,calibration,,,,,,,,,,,,,,
introduction,57,201015,0.0-8.0-2.12,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,58,203017,0.0-8.0-0.13,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,<p>CAREFUL. That was too slow.</p>,1149.0,calibration,,,,,,,,,,,,,,
introduction,59,204914,0.0-8.0-1.13-0.13,qcp3zzvj,,,,,,1895.0,1313,67cc6814dc9452cccab5fff0,,1313,,calibration,,,,,,,,,,,,,,
introduction,60,204916,0.0-8.0-2.13,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,61,206081,0.0-8.0-0.14,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,img/Red_circle.png,2771.0,calibration,,,,,,,,,,,,,,
introduction,62,207937,0.0-8.0-1.14-0.14,qcp3zzvj,,,,,,1852.0,222,67cc6814dc9452cccab5fff0,,222,,calibration,,,,,,,,,,,,,,
introduction,63,207938,0.0-8.0-2.14,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
introduction,64,209946,0.0-8.0-0.15,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,<p>CAREFUL. That was too slow.</p>,1902.0,calibration,,,,,,,,,,,,,,
introduction,65,212562,0.0-8.0-1.15-0.15,qcp3zzvj,,,,,,2613.0,2122,67cc6814dc9452cccab5fff0,,2122,,calibration,,,,,,,,,,,,,,
introduction,66,212564,0.0-8.0-2.15,qcp3zzvj,,,,,,,,67cc6814dc9452cccab5fff0,,,,,,,,,,,,,,,,,,
