trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,47343,0.0-2.0,hj5ohyuy,,,,,,26726.0,67cd94b40682dece16344252,67cd94b40682dece16344252,,,,,,,,,,,,,,,,,,
introduction,3,53532,0.0-3.0,hj5ohyuy,,,,,,6187.0,67cd94b40682dece16344252,67cd94b40682dece16344252,,,,,,,,,,,,,,,,,,
introduction,4,65165,0.0-4.0-0.0,hj5ohyuy,,,,,,11632.0,,67cd94b40682dece16344252,"[{""page_index"":0,""viewing_time"":1158},{""page_index"":1,""viewing_time"":4390},{""page_index"":2,""viewing_time"":6084}]",,,,,,,,,,,,,,,,,
introduction,5,66270,0.0-5.0-0.0,hj5ohyuy,,,,,,1103.0,1,67cd94b40682dece16344252,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,66983,0.0-5.0-0.1,hj5ohyuy,,,,,,712.0,2,67cd94b40682dece16344252,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,69768,0.0-5.0-0.2,hj5ohyuy,,,,,,2785.0,1,67cd94b40682dece16344252,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,70775,0.0-5.0-0.3,hj5ohyuy,,,,,,1006.0,3,67cd94b40682dece16344252,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,71604,0.0-5.0-0.4,hj5ohyuy,,,,,,828.0,2,67cd94b40682dece16344252,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,72430,0.0-5.0-0.5,hj5ohyuy,,,,,,825.0,3,67cd94b40682dece16344252,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,73117,0.0-5.0-0.6,hj5ohyuy,,,,,,686.0,1,67cd94b40682dece16344252,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,73741,0.0-5.0-0.7,hj5ohyuy,,,,,,623.0,2,67cd94b40682dece16344252,,Press: 2,,,,,,,,,,,,,,,,
