trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,2829616,0.0-2.0,cdyu1v1k,,,,,,2812494.0,67cd9cf6fcf63b6ab8f21390,67cd9cf6fcf63b6ab8f21390,,,,,,,,,,,,,,,,,,
introduction,3,2865786,0.0-3.0,cdyu1v1k,,,,,,36166.0,67cd9cf6fcf63b6ab8f21390,67cd9cf6fcf63b6ab8f21390,,,,,,,,,,,,,,,,,,
introduction,4,2878074,0.0-4.0-0.0,cdyu1v1k,,,,,,12287.0,,67cd9cf6fcf63b6ab8f21390,"[{""page_index"":0,""viewing_time"":2151},{""page_index"":1,""viewing_time"":9152},{""page_index"":2,""viewing_time"":983}]",,,,,,,,,,,,,,,,,
introduction,5,2952453,0.0-5.0-0.0,cdyu1v1k,,,,,,74376.0,1,67cd9cf6fcf63b6ab8f21390,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,2953056,0.0-5.0-0.1,cdyu1v1k,,,,,,601.0,2,67cd9cf6fcf63b6ab8f21390,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,2954943,0.0-5.0-0.2,cdyu1v1k,,,,,,1886.0,1,67cd9cf6fcf63b6ab8f21390,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,2955763,0.0-5.0-0.3,cdyu1v1k,,,,,,819.0,3,67cd9cf6fcf63b6ab8f21390,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,2956408,0.0-5.0-0.4,cdyu1v1k,,,,,,644.0,2,67cd9cf6fcf63b6ab8f21390,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,2957065,0.0-5.0-0.5,cdyu1v1k,,,,,,656.0,3,67cd9cf6fcf63b6ab8f21390,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,2957894,0.0-5.0-0.6,cdyu1v1k,,,,,,828.0,1,67cd9cf6fcf63b6ab8f21390,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,2958409,0.0-5.0-0.7,cdyu1v1k,,,,,,513.0,2,67cd9cf6fcf63b6ab8f21390,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,2959053,0.0-5.0-0.8,cdyu1v1k,,,,,,644.0,3,67cd9cf6fcf63b6ab8f21390,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,2959748,0.0-5.0-0.9,cdyu1v1k,,,,,,693.0,2,67cd9cf6fcf63b6ab8f21390,,Press: 2,,,,,,,,,,,,,,,,
