trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,30713,0.0-2.0,s9cud9wb,,,,,,18228.0,67cf5470a1373ac0273a9225,67cf5470a1373ac0273a9225,,,,,,,,,,,,,,,,,,
introduction,3,34321,0.0-3.0,s9cud9wb,,,,,,3600.0,67cf5470a1373ac0273a9225,67cf5470a1373ac0273a9225,,,,,,,,,,,,,,,,,,
introduction,4,52478,0.0-4.0-0.0,s9cud9wb,,,,,,18154.0,,67cf5470a1373ac0273a9225,"[{""page_index"":0,""viewing_time"":1363},{""page_index"":1,""viewing_time"":15375},{""page_index"":2,""viewing_time"":1415}]",,,,,,,,,,,,,,,,,
introduction,5,54606,0.0-5.0-0.0,s9cud9wb,,,,,,2125.0,1,67cf5470a1373ac0273a9225,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,55840,0.0-5.0-0.1,s9cud9wb,,,,,,1232.0,2,67cf5470a1373ac0273a9225,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,56990,0.0-5.0-0.2,s9cud9wb,,,,,,1148.0,1,67cf5470a1373ac0273a9225,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,57999,0.0-5.0-0.3,s9cud9wb,,,,,,1007.0,3,67cf5470a1373ac0273a9225,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,59060,0.0-5.0-0.4,s9cud9wb,,,,,,1060.0,2,67cf5470a1373ac0273a9225,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,60043,0.0-5.0-0.5,s9cud9wb,,,,,,981.0,3,67cf5470a1373ac0273a9225,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,61004,0.0-5.0-0.6,s9cud9wb,,,,,,960.0,1,67cf5470a1373ac0273a9225,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,62066,0.0-5.0-0.7,s9cud9wb,,,,,,1061.0,2,67cf5470a1373ac0273a9225,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,63262,0.0-5.0-0.8,s9cud9wb,,,,,,1194.0,3,67cf5470a1373ac0273a9225,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,64214,0.0-5.0-0.9,s9cud9wb,,,,,,950.0,2,67cf5470a1373ac0273a9225,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,65234,0.0-5.0-0.10,s9cud9wb,,,,,,1019.0,1,67cf5470a1373ac0273a9225,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,66208,0.0-5.0-0.11,s9cud9wb,,,,,,973.0,3,67cf5470a1373ac0273a9225,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,153975,0.0-6.0-0.0,s9cud9wb,,,,,,87766.0,,67cf5470a1373ac0273a9225,"[{""page_index"":0,""viewing_time"":1333},{""page_index"":1,""viewing_time"":46952},{""page_index"":2,""viewing_time"":38248},{""page_index"":3,""viewing_time"":1232}]",,,,,,,,,,,,,,,,,
introduction,19,173390,0.0-8.0-0.0,s9cud9wb,,,,,,,,67cf5470a1373ac0273a9225,,img/Red_circle.png,1060.0,calibration,,,,,,,,,,,,,,
introduction,20,173542,0.0-8.0-1.0-0.0,s9cud9wb,,,,,,135.0,,67cf5470a1373ac0273a9225,,23,,calibration,,,,,,,,,,,,,,
