trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,209741,0.0-2.0,faak0qoc,,,,,,100688.0,67d091986b6c1ab1acedbb05,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,3,212569,0.0-3.0,faak0qoc,,,,,,2825.0,67d091986b6c1ab1acedbb05,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,4,560843,0.0-4.0-0.0,faak0qoc,,,,,,348380.0,,67d091986b6c1ab1acedbb05,"[{""page_index"":0,""viewing_time"":3299},{""page_index"":1,""viewing_time"":344367},{""page_index"":2,""viewing_time"":714}]",,,,,,,,,,,,,,,,,
introduction,5,562585,0.0-5.0-0.0,faak0qoc,,,,,,1741.0,1,67d091986b6c1ab1acedbb05,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,563088,0.0-5.0-0.1,faak0qoc,,,,,,502.0,2,67d091986b6c1ab1acedbb05,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,564001,0.0-5.0-0.2,faak0qoc,,,,,,912.0,1,67d091986b6c1ab1acedbb05,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,564622,0.0-5.0-0.3,faak0qoc,,,,,,621.0,3,67d091986b6c1ab1acedbb05,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,565183,0.0-5.0-0.4,faak0qoc,,,,,,560.0,2,67d091986b6c1ab1acedbb05,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,565773,0.0-5.0-0.5,faak0qoc,,,,,,590.0,3,67d091986b6c1ab1acedbb05,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,566235,0.0-5.0-0.6,faak0qoc,,,,,,461.0,1,67d091986b6c1ab1acedbb05,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,566679,0.0-5.0-0.7,faak0qoc,,,,,,443.0,2,67d091986b6c1ab1acedbb05,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,567118,0.0-5.0-0.8,faak0qoc,,,,,,438.0,3,67d091986b6c1ab1acedbb05,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,567823,0.0-5.0-0.9,faak0qoc,,,,,,705.0,2,67d091986b6c1ab1acedbb05,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,568299,0.0-5.0-0.10,faak0qoc,,,,,,475.0,1,67d091986b6c1ab1acedbb05,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,568485,0.0-5.0-0.11,faak0qoc,,,,,,186.0,3,67d091986b6c1ab1acedbb05,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,588759,0.0-6.0-0.0,faak0qoc,,,,,,20273.0,,67d091986b6c1ab1acedbb05,"[{""page_index"":0,""viewing_time"":843},{""page_index"":1,""viewing_time"":1214},{""page_index"":2,""viewing_time"":17228},{""page_index"":3,""viewing_time"":988}]",,,,,,,,,,,,,,,,,
introduction,19,599955,0.0-8.0-0.0,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,img/Red_circle.png,3389.0,calibration,,,,,,,,,,,,,,
introduction,20,603429,0.0-8.0-1.0-0.0,faak0qoc,,,,,,3471.0,3323,67d091986b6c1ab1acedbb05,,3323,,calibration,,,,,,,,,,,,,,
introduction,21,603432,0.0-8.0-2.0,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,22,605434,0.0-8.0-0.1,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,<p>CAREFUL. That was too slow.</p>,1355.0,calibration,,,,,,,,,,,,,,
introduction,23,608460,0.0-8.0-1.1-0.1,faak0qoc,,,,,,3023.0,1223,67d091986b6c1ab1acedbb05,,2221,,calibration,,,,,,,,,,,,,,
introduction,24,610852,0.0-8.0-1.2-0.2,faak0qoc,,,,,,2390.0,2221,67d091986b6c1ab1acedbb05,,2221,,calibration,,,,,,,,,,,,,,
introduction,25,612855,0.0-8.0-2.1,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,26,614213,0.0-8.0-0.2,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,img/Red_circle.png,3119.0,calibration,,,,,,,,,,,,,,
introduction,27,616765,0.0-8.0-1.3-0.3,faak0qoc,,,,,,2549.0,2131,67d091986b6c1ab1acedbb05,,2131,,calibration,,,,,,,,,,,,,,
introduction,28,616766,0.0-8.0-2.2,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,29,618769,0.0-8.0-0.3,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,<p>CAREFUL. That was too slow.</p>,1609.0,calibration,,,,,,,,,,,,,,
introduction,30,623508,0.0-8.0-1.4-0.4,faak0qoc,,,,,,4736.0,3313,67d091986b6c1ab1acedbb05,,3313,,calibration,,,,,,,,,,,,,,
introduction,31,625511,0.0-8.0-2.3,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,32,627123,0.0-8.0-0.4,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,img/Red_circle.png,2383.0,calibration,,,,,,,,,,,,,,
introduction,33,629064,0.0-8.0-1.5-0.5,faak0qoc,,,,,,1937.0,2211,67d091986b6c1ab1acedbb05,,2211,,calibration,,,,,,,,,,,,,,
introduction,34,629065,0.0-8.0-2.4,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,35,631067,0.0-8.0-0.5,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,<p>CAREFUL. That was too slow.</p>,3288.0,calibration,,,,,,,,,,,,,,
introduction,36,632829,0.0-8.0-1.6-0.6,faak0qoc,,,,,,1761.0,1112,67d091986b6c1ab1acedbb05,,1112,,calibration,,,,,,,,,,,,,,
introduction,37,632830,0.0-8.0-2.5,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,38,634831,0.0-8.0-0.6,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,<p>CAREFUL. That was too slow.</p>,2879.0,calibration,,,,,,,,,,,,,,
introduction,39,636880,0.0-8.0-1.7-0.7,faak0qoc,,,,,,2046.0,2132,67d091986b6c1ab1acedbb05,,2132,,calibration,,,,,,,,,,,,,,
introduction,40,636881,0.0-8.0-2.6,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,41,638882,0.0-8.0-0.7,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,<p>CAREFUL. That was too slow.</p>,1021.0,calibration,,,,,,,,,,,,,,
introduction,42,643319,0.0-8.0-1.8-0.8,faak0qoc,,,,,,4433.0,1211,67d091986b6c1ab1acedbb05,,1211,,calibration,,,,,,,,,,,,,,
introduction,43,645322,0.0-8.0-2.7,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,44,646346,0.0-8.0-0.8,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,img/Red_circle.png,1485.0,calibration,,,,,,,,,,,,,,
introduction,45,651812,0.0-8.0-1.9-0.9,faak0qoc,,,,,,5463.0,1311,67d091986b6c1ab1acedbb05,,1311,,calibration,,,,,,,,,,,,,,
introduction,46,653815,0.0-8.0-2.8,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,47,655303,0.0-8.0-0.9,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,img/Red_circle.png,1564.0,calibration,,,,,,,,,,,,,,
introduction,48,658086,0.0-8.0-1.10-0.10,faak0qoc,,,,,,2781.0,3223,67d091986b6c1ab1acedbb05,,3223,,calibration,,,,,,,,,,,,,,
introduction,49,658087,0.0-8.0-2.9,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,50,659654,0.0-8.0-0.10,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,img/Red_circle.png,3365.0,calibration,,,,,,,,,,,,,,
introduction,51,661247,0.0-8.0-1.11-0.11,faak0qoc,,,,,,1592.0,2211,67d091986b6c1ab1acedbb05,,2211,,calibration,,,,,,,,,,,,,,
introduction,52,661248,0.0-8.0-2.10,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,53,663250,0.0-8.0-0.11,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,<p>CAREFUL. That was too slow.</p>,1305.0,calibration,,,,,,,,,,,,,,
introduction,54,666592,0.0-8.0-1.12-0.12,faak0qoc,,,,,,3339.0,3221,67d091986b6c1ab1acedbb05,,3221,,calibration,,,,,,,,,,,,,,
introduction,55,666593,0.0-8.0-2.11,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,56,667900,0.0-8.0-0.12,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,img/Red_circle.png,3060.0,calibration,,,,,,,,,,,,,,
introduction,57,671347,0.0-8.0-1.13-0.13,faak0qoc,,,,,,3445.0,1131,67d091986b6c1ab1acedbb05,,1131,,calibration,,,,,,,,,,,,,,
introduction,58,671348,0.0-8.0-2.12,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,59,673350,0.0-8.0-0.13,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,<p>CAREFUL. That was too slow.</p>,2457.0,calibration,,,,,,,,,,,,,,
introduction,60,675643,0.0-8.0-1.14-0.14,faak0qoc,,,,,,2291.0,2323,67d091986b6c1ab1acedbb05,,2323,,calibration,,,,,,,,,,,,,,
introduction,61,675644,0.0-8.0-2.13,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,62,677646,0.0-8.0-0.14,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,<p>CAREFUL. That was too slow.</p>,1696.0,calibration,,,,,,,,,,,,,,
introduction,63,679697,0.0-8.0-1.15-0.15,faak0qoc,,,,,,2048.0,2333,67d091986b6c1ab1acedbb05,,2333,,calibration,,,,,,,,,,,,,,
introduction,64,679698,0.0-8.0-2.14,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,,,,,,,,,,,,,,,,,
introduction,65,681397,0.0-8.0-0.15,faak0qoc,,,,,,,,67d091986b6c1ab1acedbb05,,img/Red_circle.png,1565.0,calibration,,,,,,,,,,,,,,
