trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,22932,0.0-2.0,629hhkje,,,,,,11739.0,67d1370a55879f58029b4e79,67d1370a55879f58029b4e79,,,,,,,,,,,,,,,,,,
introduction,3,28388,0.0-3.0,629hhkje,,,,,,5450.0,67d1370a55879f58029b4e79,67d1370a55879f58029b4e79,,,,,,,,,,,,,,,,,,
introduction,4,48376,0.0-4.0-0.0,629hhkje,,,,,,19985.0,,67d1370a55879f58029b4e79,"[{""page_index"":0,""viewing_time"":1587},{""page_index"":1,""viewing_time"":16808},{""page_index"":2,""viewing_time"":1591}]",,,,,,,,,,,,,,,,,
introduction,5,49228,0.0-5.0-0.0,629hhkje,,,,,,850.0,1,67d1370a55879f58029b4e79,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,50004,0.0-5.0-0.1,629hhkje,,,,,,774.0,2,67d1370a55879f58029b4e79,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,50917,0.0-5.0-0.2,629hhkje,,,,,,911.0,1,67d1370a55879f58029b4e79,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,51761,0.0-5.0-0.3,629hhkje,,,,,,843.0,3,67d1370a55879f58029b4e79,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,52492,0.0-5.0-0.4,629hhkje,,,,,,729.0,2,67d1370a55879f58029b4e79,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,53506,0.0-5.0-0.5,629hhkje,,,,,,1013.0,3,67d1370a55879f58029b4e79,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,54140,0.0-5.0-0.6,629hhkje,,,,,,632.0,1,67d1370a55879f58029b4e79,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,54740,0.0-5.0-0.7,629hhkje,,,,,,599.0,2,67d1370a55879f58029b4e79,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,55223,0.0-5.0-0.8,629hhkje,,,,,,481.0,3,67d1370a55879f58029b4e79,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,55775,0.0-5.0-0.9,629hhkje,,,,,,552.0,2,67d1370a55879f58029b4e79,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,56276,0.0-5.0-0.10,629hhkje,,,,,,499.0,1,67d1370a55879f58029b4e79,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,56971,0.0-5.0-0.11,629hhkje,,,,,,694.0,3,67d1370a55879f58029b4e79,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,82042,0.0-6.0-0.0,629hhkje,,,,,,25071.0,,67d1370a55879f58029b4e79,"[{""page_index"":0,""viewing_time"":1380},{""page_index"":1,""viewing_time"":3640},{""page_index"":2,""viewing_time"":18497},{""page_index"":3,""viewing_time"":1553}]",,,,,,,,,,,,,,,,,
introduction,19,104146,0.0-8.0-0.0,629hhkje,,,,,,,,67d1370a55879f58029b4e79,,img/Red_circle.png,1339.0,calibration,,,,,,,,,,,,,,
introduction,20,106226,0.0-8.0-1.0-0.0,629hhkje,,,,,,2073.0,111,67d1370a55879f58029b4e79,,111,,calibration,,,,,,,,,,,,,,
