trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,22914,0.0-2.0,lkraunfp,,,,,,10743.0,67d20620c8e4b6f823d6c3e4,67d20620c8e4b6f823d6c3e4,,,,,,,,,,,,,,,,,,
introduction,3,26725,0.0-3.0,lkraunfp,,,,,,3807.0,67d20620c8e4b6f823d6c3e4,67d20620c8e4b6f823d6c3e4,,,,,,,,,,,,,,,,,,
introduction,4,39395,0.0-4.0-0.0,lkraunfp,,,,,,12667.0,,67d20620c8e4b6f823d6c3e4,"[{""page_index"":0,""viewing_time"":1399},{""page_index"":1,""viewing_time"":9100},{""page_index"":2,""viewing_time"":2168}]",,,,,,,,,,,,,,,,,
introduction,5,40951,0.0-5.0-0.0,lkraunfp,,,,,,1554.0,1,67d20620c8e4b6f823d6c3e4,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,41673,0.0-5.0-0.1,lkraunfp,,,,,,721.0,2,67d20620c8e4b6f823d6c3e4,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,42998,0.0-5.0-0.2,lkraunfp,,,,,,1324.0,1,67d20620c8e4b6f823d6c3e4,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,44037,0.0-5.0-0.3,lkraunfp,,,,,,1039.0,3,67d20620c8e4b6f823d6c3e4,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,44841,0.0-5.0-0.4,lkraunfp,,,,,,804.0,2,67d20620c8e4b6f823d6c3e4,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,45808,0.0-5.0-0.5,lkraunfp,,,,,,966.0,3,67d20620c8e4b6f823d6c3e4,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,46695,0.0-5.0-0.6,lkraunfp,,,,,,886.0,1,67d20620c8e4b6f823d6c3e4,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,47542,0.0-5.0-0.7,lkraunfp,,,,,,847.0,2,67d20620c8e4b6f823d6c3e4,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,48233,0.0-5.0-0.8,lkraunfp,,,,,,691.0,3,67d20620c8e4b6f823d6c3e4,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,49080,0.0-5.0-0.9,lkraunfp,,,,,,846.0,2,67d20620c8e4b6f823d6c3e4,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,50047,0.0-5.0-0.10,lkraunfp,,,,,,966.0,1,67d20620c8e4b6f823d6c3e4,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,50974,0.0-5.0-0.11,lkraunfp,,,,,,927.0,3,67d20620c8e4b6f823d6c3e4,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,112001,0.0-6.0-0.0,lkraunfp,,,,,,61026.0,,67d20620c8e4b6f823d6c3e4,"[{""page_index"":0,""viewing_time"":6050},{""page_index"":1,""viewing_time"":3776},{""page_index"":2,""viewing_time"":47250},{""page_index"":3,""viewing_time"":3950}]",,,,,,,,,,,,,,,,,
introduction,19,131081,0.0-8.0-0.0,lkraunfp,,,,,,,,67d20620c8e4b6f823d6c3e4,,img/Red_circle.png,2926.0,calibration,,,,,,,,,,,,,,
