trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,12117,0.0-2.0,m9lb1zbj,,,,,,9519.0,67d29732f4c73016f59056f6,67d29732f4c73016f59056f6,,,,,,,,,,,,,,,,,,
introduction,3,20644,0.0-3.0,m9lb1zbj,,,,,,8524.0,67d29732f4c73016f59056f6,67d29732f4c73016f59056f6,,,,,,,,,,,,,,,,,,
introduction,4,57987,0.0-4.0-0.0,m9lb1zbj,,,,,,37342.0,,67d29732f4c73016f59056f6,"[{""page_index"":0,""viewing_time"":4198},{""page_index"":1,""viewing_time"":28455},{""page_index"":2,""viewing_time"":4688}]",,,,,,,,,,,,,,,,,
introduction,5,61107,0.0-5.0-0.0,m9lb1zbj,,,,,,3119.0,1,67d29732f4c73016f59056f6,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,62915,0.0-5.0-0.1,m9lb1zbj,,,,,,1807.0,2,67d29732f4c73016f59056f6,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,64442,0.0-5.0-0.2,m9lb1zbj,,,,,,1527.0,1,67d29732f4c73016f59056f6,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,65859,0.0-5.0-0.3,m9lb1zbj,,,,,,1416.0,3,67d29732f4c73016f59056f6,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,67004,0.0-5.0-0.4,m9lb1zbj,,,,,,1144.0,2,67d29732f4c73016f59056f6,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,68673,0.0-5.0-0.5,m9lb1zbj,,,,,,1668.0,3,67d29732f4c73016f59056f6,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,69681,0.0-5.0-0.6,m9lb1zbj,,,,,,1008.0,1,67d29732f4c73016f59056f6,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,70978,0.0-5.0-0.7,m9lb1zbj,,,,,,1296.0,2,67d29732f4c73016f59056f6,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,71995,0.0-5.0-0.8,m9lb1zbj,,,,,,1017.0,3,67d29732f4c73016f59056f6,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,72986,0.0-5.0-0.9,m9lb1zbj,,,,,,990.0,2,67d29732f4c73016f59056f6,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,73809,0.0-5.0-0.10,m9lb1zbj,,,,,,823.0,1,67d29732f4c73016f59056f6,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,74931,0.0-5.0-0.11,m9lb1zbj,,,,,,1121.0,3,67d29732f4c73016f59056f6,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,140049,0.0-6.0-0.0,m9lb1zbj,,,,,,65118.0,,67d29732f4c73016f59056f6,"[{""page_index"":0,""viewing_time"":2959},{""page_index"":1,""viewing_time"":10287},{""page_index"":2,""viewing_time"":49480},{""page_index"":3,""viewing_time"":2393}]",,,,,,,,,,,,,,,,,
introduction,19,190792,0.0-8.0-0.0,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,img/Red_circle.png,1075.0,calibration,,,,,,,,,,,,,,
introduction,20,194324,0.0-8.0-1.0-0.0,m9lb1zbj,,,,,,3529.0,222,67d29732f4c73016f59056f6,,222,,calibration,,,,,,,,,,,,,,
introduction,21,196338,0.0-8.0-2.0,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,197424,0.0-8.0-0.1,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,img/Red_circle.png,2775.0,calibration,,,,,,,,,,,,,,
introduction,23,200921,0.0-8.0-1.1-0.1,m9lb1zbj,,,,,,3494.0,3232,67d29732f4c73016f59056f6,,3232,,calibration,,,,,,,,,,,,,,
introduction,24,200922,0.0-8.0-2.1,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,,,,,,,,,,,,,,,,,
introduction,25,202938,0.0-8.0-0.2,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,<p>CAREFUL. That was too slow.</p>,1165.0,calibration,,,,,,,,,,,,,,
introduction,26,206583,0.0-8.0-1.2-0.2,m9lb1zbj,,,,,,3642.0,2223,67d29732f4c73016f59056f6,,2223,,calibration,,,,,,,,,,,,,,
introduction,27,208590,0.0-8.0-2.2,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,209768,0.0-8.0-0.3,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,img/Red_circle.png,2304.0,calibration,,,,,,,,,,,,,,
introduction,29,212537,0.0-8.0-1.3-0.3,m9lb1zbj,,,,,,2766.0,323,67d29732f4c73016f59056f6,,323,,calibration,,,,,,,,,,,,,,
introduction,30,212538,0.0-8.0-2.3,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,,,,,,,,,,,,,,,,,
introduction,31,214554,0.0-8.0-0.4,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,<p>CAREFUL. That was too slow.</p>,2418.0,calibration,,,,,,,,,,,,,,
introduction,32,218080,0.0-8.0-1.4-0.4,m9lb1zbj,,,,,,3524.0,1213,67d29732f4c73016f59056f6,,1213,,calibration,,,,,,,,,,,,,,
introduction,33,220094,0.0-8.0-2.4,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,34,222517,0.0-8.0-0.5,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,img/Red_circle.png,2177.0,calibration,,,,,,,,,,,,,,
introduction,35,225457,0.0-8.0-1.5-0.5,m9lb1zbj,,,,,,2936.0,2233,67d29732f4c73016f59056f6,,2233,,calibration,,,,,,,,,,,,,,
introduction,36,225458,0.0-8.0-2.5,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,,,,,,,,,,,,,,,,,
introduction,37,227462,0.0-8.0-0.6,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,<p>CAREFUL. That was too slow.</p>,1389.0,calibration,,,,,,,,,,,,,,
introduction,38,229880,0.0-8.0-1.6-0.6,m9lb1zbj,,,,,,2414.0,1132,67d29732f4c73016f59056f6,,1132,,calibration,,,,,,,,,,,,,,
introduction,39,229881,0.0-8.0-2.6,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,,,,,,,,,,,,,,,,,
introduction,40,231287,0.0-8.0-0.7,m9lb1zbj,,,,,,,,67d29732f4c73016f59056f6,,img/Red_circle.png,1692.0,calibration,,,,,,,,,,,,,,
