trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,13068,0.0-2.0,xtbad40c,,,,,,8506.0,67d33f8c7e70f6285bf004e2,67d33f8c7e70f6285bf004e2,,,,,,,,,,,,,,,,,,
introduction,3,25850,0.0-3.0,xtbad40c,,,,,,12779.0,67d33f8c7e70f6285bf004e2,67d33f8c7e70f6285bf004e2,,,,,,,,,,,,,,,,,,
introduction,4,38689,0.0-4.0-0.0,xtbad40c,,,,,,12838.0,,67d33f8c7e70f6285bf004e2,"[{""page_index"":0,""viewing_time"":1886},{""page_index"":1,""viewing_time"":9064},{""page_index"":2,""viewing_time"":1888}]",,,,,,,,,,,,,,,,,
introduction,5,40352,0.0-5.0-0.0,xtbad40c,,,,,,1662.0,1,67d33f8c7e70f6285bf004e2,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,41479,0.0-5.0-0.1,xtbad40c,,,,,,1126.0,2,67d33f8c7e70f6285bf004e2,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,42762,0.0-5.0-0.2,xtbad40c,,,,,,1283.0,1,67d33f8c7e70f6285bf004e2,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,43991,0.0-5.0-0.3,xtbad40c,,,,,,1227.0,3,67d33f8c7e70f6285bf004e2,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,45213,0.0-5.0-0.4,xtbad40c,,,,,,1222.0,2,67d33f8c7e70f6285bf004e2,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,46251,0.0-5.0-0.5,xtbad40c,,,,,,1037.0,3,67d33f8c7e70f6285bf004e2,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,47378,0.0-5.0-0.6,xtbad40c,,,,,,1127.0,1,67d33f8c7e70f6285bf004e2,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,48566,0.0-5.0-0.7,xtbad40c,,,,,,1187.0,2,67d33f8c7e70f6285bf004e2,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,49950,0.0-5.0-0.8,xtbad40c,,,,,,1384.0,3,67d33f8c7e70f6285bf004e2,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,50927,0.0-5.0-0.9,xtbad40c,,,,,,977.0,2,67d33f8c7e70f6285bf004e2,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,52185,0.0-5.0-0.10,xtbad40c,,,,,,1258.0,1,67d33f8c7e70f6285bf004e2,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,54147,0.0-5.0-0.11,xtbad40c,,,,,,1961.0,3,67d33f8c7e70f6285bf004e2,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,97465,0.0-6.0-0.0,xtbad40c,,,,,,43318.0,,67d33f8c7e70f6285bf004e2,"[{""page_index"":0,""viewing_time"":1894},{""page_index"":1,""viewing_time"":6032},{""page_index"":2,""viewing_time"":32824},{""page_index"":3,""viewing_time"":2568}]",,,,,,,,,,,,,,,,,
introduction,19,119704,0.0-8.0-0.0,xtbad40c,,,,,,,,67d33f8c7e70f6285bf004e2,,img/Red_circle.png,2303.0,calibration,,,,,,,,,,,,,,
introduction,20,124242,0.0-8.0-1.0-0.0,xtbad40c,,,,,,4535.0,1331,67d33f8c7e70f6285bf004e2,,1331,,calibration,,,,,,,,,,,,,,
introduction,21,126250,0.0-8.0-2.0,xtbad40c,,,,,,,,67d33f8c7e70f6285bf004e2,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,128564,0.0-8.0-0.1,xtbad40c,,,,,,,,67d33f8c7e70f6285bf004e2,,img/Red_circle.png,3311.0,calibration,,,,,,,,,,,,,,
introduction,23,131490,0.0-8.0-1.1-0.1,xtbad40c,,,,,,2924.0,22331,67d33f8c7e70f6285bf004e2,,3311,,calibration,,,,,,,,,,,,,,
introduction,24,135538,0.0-8.0-1.2-0.2,xtbad40c,,,,,,4045.0,3311,67d33f8c7e70f6285bf004e2,,3311,,calibration,,,,,,,,,,,,,,
introduction,25,137549,0.0-8.0-2.1,xtbad40c,,,,,,,,67d33f8c7e70f6285bf004e2,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,26,140870,0.0-8.0-0.2,xtbad40c,,,,,,,,67d33f8c7e70f6285bf004e2,,img/Red_circle.png,3035.0,calibration,,,,,,,,,,,,,,
introduction,27,144274,0.0-8.0-1.3-0.3,xtbad40c,,,,,,3401.0,3332,67d33f8c7e70f6285bf004e2,,3332,,calibration,,,,,,,,,,,,,,
