trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,28643,0.0-2.0,t98u369f,,,,,,12099.0,67d3429b4fd895a6f9d81f2c,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,3,31976,0.0-3.0,t98u369f,,,,,,3330.0,67d3429b4fd895a6f9d81f2c,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,4,40233,0.0-4.0-0.0,t98u369f,,,,,,8256.0,,67d3429b4fd895a6f9d81f2c,"[{""page_index"":0,""viewing_time"":1279},{""page_index"":1,""viewing_time"":5944},{""page_index"":2,""viewing_time"":1033}]",,,,,,,,,,,,,,,,,
introduction,5,41660,0.0-5.0-0.0,t98u369f,,,,,,1426.0,1,67d3429b4fd895a6f9d81f2c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,42678,0.0-5.0-0.1,t98u369f,,,,,,1016.0,2,67d3429b4fd895a6f9d81f2c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,44057,0.0-5.0-0.2,t98u369f,,,,,,1378.0,1,67d3429b4fd895a6f9d81f2c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,45003,0.0-5.0-0.3,t98u369f,,,,,,945.0,3,67d3429b4fd895a6f9d81f2c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,46027,0.0-5.0-0.4,t98u369f,,,,,,1023.0,2,67d3429b4fd895a6f9d81f2c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,47065,0.0-5.0-0.5,t98u369f,,,,,,1036.0,3,67d3429b4fd895a6f9d81f2c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,47896,0.0-5.0-0.6,t98u369f,,,,,,830.0,1,67d3429b4fd895a6f9d81f2c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,48701,0.0-5.0-0.7,t98u369f,,,,,,805.0,2,67d3429b4fd895a6f9d81f2c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,49642,0.0-5.0-0.8,t98u369f,,,,,,939.0,3,67d3429b4fd895a6f9d81f2c,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,50454,0.0-5.0-0.9,t98u369f,,,,,,811.0,2,67d3429b4fd895a6f9d81f2c,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,51367,0.0-5.0-0.10,t98u369f,,,,,,912.0,1,67d3429b4fd895a6f9d81f2c,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,52294,0.0-5.0-0.11,t98u369f,,,,,,926.0,3,67d3429b4fd895a6f9d81f2c,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,57232,0.0-6.0-0.0,t98u369f,,,,,,4937.0,,67d3429b4fd895a6f9d81f2c,"[{""page_index"":0,""viewing_time"":929},{""page_index"":1,""viewing_time"":1175},{""page_index"":2,""viewing_time"":1648},{""page_index"":3,""viewing_time"":1185}]",,,,,,,,,,,,,,,,,
introduction,19,92955,0.0-8.0-0.0,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,img/Red_circle.png,1933.0,calibration,,,,,,,,,,,,,,
introduction,20,95462,0.0-8.0-1.0-0.0,t98u369f,,,,,,2503.0,1111,67d3429b4fd895a6f9d81f2c,,1111,,calibration,,,,,,,,,,,,,,
introduction,21,95463,0.0-8.0-2.0,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,22,97415,0.0-8.0-0.1,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,img/Red_circle.png,2224.0,calibration,,,,,,,,,,,,,,
introduction,23,100175,0.0-8.0-1.1-0.1,t98u369f,,,,,,2754.0,2113,67d3429b4fd895a6f9d81f2c,,2113,,calibration,,,,,,,,,,,,,,
introduction,24,100176,0.0-8.0-2.1,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,25,102178,0.0-8.0-0.2,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,<p>CAREFUL. That was too slow.</p>,2162.0,calibration,,,,,,,,,,,,,,
introduction,26,105840,0.0-8.0-1.2-0.2,t98u369f,,,,,,3657.0,3133,67d3429b4fd895a6f9d81f2c,,3133,,calibration,,,,,,,,,,,,,,
introduction,27,107844,0.0-8.0-2.2,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,110015,0.0-8.0-0.3,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,img/Red_circle.png,3144.0,calibration,,,,,,,,,,,,,,
introduction,29,111801,0.0-8.0-1.3-0.3,t98u369f,,,,,,1784.0,2121,67d3429b4fd895a6f9d81f2c,,2121,,calibration,,,,,,,,,,,,,,
introduction,30,111802,0.0-8.0-2.3,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,31,113817,0.0-8.0-0.4,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,<p>CAREFUL. That was too slow.</p>,1037.0,calibration,,,,,,,,,,,,,,
introduction,32,115636,0.0-8.0-1.4-0.4,t98u369f,,,,,,1813.0,222,67d3429b4fd895a6f9d81f2c,,222,,calibration,,,,,,,,,,,,,,
introduction,33,115637,0.0-8.0-2.4,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,34,116676,0.0-8.0-0.5,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,img/Red_circle.png,1203.0,calibration,,,,,,,,,,,,,,
introduction,35,119507,0.0-8.0-1.5-0.5,t98u369f,,,,,,2825.0,1312,67d3429b4fd895a6f9d81f2c,,1312,,calibration,,,,,,,,,,,,,,
introduction,36,119508,0.0-8.0-2.5,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,37,120716,0.0-8.0-0.6,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,img/Red_circle.png,3277.0,calibration,,,,,,,,,,,,,,
introduction,38,123115,0.0-8.0-1.6-0.6,t98u369f,,,,,,2394.0,2321,67d3429b4fd895a6f9d81f2c,,2321,,calibration,,,,,,,,,,,,,,
introduction,39,123116,0.0-8.0-2.6,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,40,125117,0.0-8.0-0.7,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,<p>CAREFUL. That was too slow.</p>,2148.0,calibration,,,,,,,,,,,,,,
introduction,41,126755,0.0-8.0-1.7-0.7,t98u369f,,,,,,1633.0,213,67d3429b4fd895a6f9d81f2c,,213,,calibration,,,,,,,,,,,,,,
introduction,42,126756,0.0-8.0-2.7,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,43,128766,0.0-8.0-0.8,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,<p>CAREFUL. That was too slow.</p>,2451.0,calibration,,,,,,,,,,,,,,
introduction,44,131506,0.0-8.0-1.8-0.8,t98u369f,,,,,,2735.0,2133,67d3429b4fd895a6f9d81f2c,,2133,,calibration,,,,,,,,,,,,,,
introduction,45,131507,0.0-8.0-2.8,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,46,133509,0.0-8.0-0.9,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,<p>CAREFUL. That was too slow.</p>,1222.0,calibration,,,,,,,,,,,,,,
introduction,47,135666,0.0-8.0-1.9-0.9,t98u369f,,,,,,2151.0,3311,67d3429b4fd895a6f9d81f2c,,3311,,calibration,,,,,,,,,,,,,,
introduction,48,135667,0.0-8.0-2.9,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,49,136895,0.0-8.0-0.10,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,img/Red_circle.png,1435.0,calibration,,,,,,,,,,,,,,
introduction,50,138681,0.0-8.0-1.10-0.10,t98u369f,,,,,,1781.0,231,67d3429b4fd895a6f9d81f2c,,231,,calibration,,,,,,,,,,,,,,
introduction,51,138682,0.0-8.0-2.10,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,52,140134,0.0-8.0-0.11,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,img/Red_circle.png,3477.0,calibration,,,,,,,,,,,,,,
introduction,53,142707,0.0-8.0-1.11-0.11,t98u369f,,,,,,2569.0,2113,67d3429b4fd895a6f9d81f2c,,2113,,calibration,,,,,,,,,,,,,,
introduction,54,142708,0.0-8.0-2.11,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,55,144712,0.0-8.0-0.12,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,<p>CAREFUL. That was too slow.</p>,1432.0,calibration,,,,,,,,,,,,,,
introduction,56,146716,0.0-8.0-1.12-0.12,t98u369f,,,,,,2002.0,1133,67d3429b4fd895a6f9d81f2c,,1133,,calibration,,,,,,,,,,,,,,
introduction,57,146717,0.0-8.0-2.12,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,58,148162,0.0-8.0-0.13,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,img/Red_circle.png,2725.0,calibration,,,,,,,,,,,,,,
introduction,59,149459,0.0-8.0-1.13-0.13,t98u369f,,,,,,1292.0,12,67d3429b4fd895a6f9d81f2c,,12,,calibration,,,,,,,,,,,,,,
introduction,60,149460,0.0-8.0-2.13,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,61,151474,0.0-8.0-0.14,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,<p>CAREFUL. That was too slow.</p>,1274.0,calibration,,,,,,,,,,,,,,
introduction,62,153473,0.0-8.0-1.14-0.14,t98u369f,,,,,,1994.0,322,67d3429b4fd895a6f9d81f2c,,322,,calibration,,,,,,,,,,,,,,
introduction,63,153474,0.0-8.0-2.14,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,64,154751,0.0-8.0-0.15,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,img/Red_circle.png,1881.0,calibration,,,,,,,,,,,,,,
introduction,65,157933,0.0-8.0-1.15-0.15,t98u369f,,,,,,3177.0,3121,67d3429b4fd895a6f9d81f2c,,3121,,calibration,,,,,,,,,,,,,,
introduction,66,157935,0.0-8.0-2.15,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,67,159822,0.0-8.0-0.16,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,img/Red_circle.png,2558.0,calibration,,,,,,,,,,,,,,
introduction,68,162312,0.0-8.0-1.16-0.16,t98u369f,,,,,,2489.0,2231,67d3429b4fd895a6f9d81f2c,,2231,,calibration,,,,,,,,,,,,,,
introduction,69,162313,0.0-8.0-2.16,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,70,164327,0.0-8.0-0.17,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,<p>CAREFUL. That was too slow.</p>,1709.0,calibration,,,,,,,,,,,,,,
introduction,71,167179,0.0-8.0-1.17-0.17,t98u369f,,,,,,2847.0,3131,67d3429b4fd895a6f9d81f2c,,3131,,calibration,,,,,,,,,,,,,,
introduction,72,167180,0.0-8.0-2.17,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,73,168897,0.0-8.0-0.18,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,img/Red_circle.png,2405.0,calibration,,,,,,,,,,,,,,
introduction,74,171135,0.0-8.0-1.18-0.18,t98u369f,,,,,,2233.0,2121,67d3429b4fd895a6f9d81f2c,,2121,,calibration,,,,,,,,,,,,,,
introduction,75,171136,0.0-8.0-2.18,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,76,173147,0.0-8.0-0.19,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,<p>CAREFUL. That was too slow.</p>,2386.0,calibration,,,,,,,,,,,,,,
introduction,77,174994,0.0-8.0-1.19-0.19,t98u369f,,,,,,1842.0,11,67d3429b4fd895a6f9d81f2c,,11,,calibration,,,,,,,,,,,,,,
introduction,78,174995,0.0-8.0-2.19,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,79,177009,0.0-8.0-0.20,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,<p>CAREFUL. That was too slow.</p>,2088.0,calibration,,,,,,,,,,,,,,
introduction,80,178987,0.0-8.0-1.20-0.20,t98u369f,,,,,,1973.0,122,67d3429b4fd895a6f9d81f2c,,122,,calibration,,,,,,,,,,,,,,
introduction,81,178988,0.0-8.0-2.20,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
introduction,82,180989,0.0-8.0-0.21,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,<p>CAREFUL. That was too slow.</p>,3333.0,calibration,,,,,,,,,,,,,,
introduction,83,183105,0.0-8.0-1.21-0.21,t98u369f,,,,,,2111.0,232,67d3429b4fd895a6f9d81f2c,,232,,calibration,,,,,,,,,,,,,,
introduction,84,183106,0.0-8.0-2.21,t98u369f,,,,,,,,67d3429b4fd895a6f9d81f2c,,,,,,,,,,,,,,,,,,
