trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,15987,0.0-2.0,ss7g8vmk,,,,,,5666.0,67d4a2815ebaf958aa085c6d,67d4a2815ebaf958aa085c6d,,,,,,,,,,,,,,,,,,
introduction,3,20804,0.0-3.0,ss7g8vmk,,,,,,4812.0,67d4a2815ebaf958aa085c6d,67d4a2815ebaf958aa085c6d,,,,,,,,,,,,,,,,,,
introduction,4,52464,0.0-4.0-0.0,ss7g8vmk,,,,,,31658.0,,67d4a2815ebaf958aa085c6d,"[{""page_index"":0,""viewing_time"":20219},{""page_index"":1,""viewing_time"":9760},{""page_index"":2,""viewing_time"":1679}]",,,,,,,,,,,,,,,,,
introduction,5,54289,0.0-5.0-0.0,ss7g8vmk,,,,,,1823.0,1,67d4a2815ebaf958aa085c6d,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,55650,0.0-5.0-0.1,ss7g8vmk,,,,,,1360.0,2,67d4a2815ebaf958aa085c6d,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,57259,0.0-5.0-0.2,ss7g8vmk,,,,,,1607.0,1,67d4a2815ebaf958aa085c6d,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,58420,0.0-5.0-0.3,ss7g8vmk,,,,,,1161.0,3,67d4a2815ebaf958aa085c6d,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,59823,0.0-5.0-0.4,ss7g8vmk,,,,,,1402.0,2,67d4a2815ebaf958aa085c6d,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,60985,0.0-5.0-0.5,ss7g8vmk,,,,,,1162.0,3,67d4a2815ebaf958aa085c6d,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,62074,0.0-5.0-0.6,ss7g8vmk,,,,,,1088.0,1,67d4a2815ebaf958aa085c6d,,Press: 1,,,,,,,,,,,,,,,,
