trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,27405,0.0-2.0,6brxae7l,,,,,,15765.0,67d5ad565d7133672bf783d6,67d5ad565d7133672bf783d6,,,,,,,,,,,,,,,,,,
introduction,3,35513,0.0-3.0,6brxae7l,,,,,,8105.0,67d5ad565d7133672bf783d6,67d5ad565d7133672bf783d6,,,,,,,,,,,,,,,,,,
introduction,4,100590,0.0-4.0-0.0,6brxae7l,,,,,,65075.0,,67d5ad565d7133672bf783d6,"[{""page_index"":0,""viewing_time"":2103},{""page_index"":1,""viewing_time"":54408},{""page_index"":2,""viewing_time"":8564}]",,,,,,,,,,,,,,,,,
introduction,5,102234,0.0-5.0-0.0,6brxae7l,,,,,,1641.0,1,67d5ad565d7133672bf783d6,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,103308,0.0-5.0-0.1,6brxae7l,,,,,,1072.0,2,67d5ad565d7133672bf783d6,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,104425,0.0-5.0-0.2,6brxae7l,,,,,,1115.0,1,67d5ad565d7133672bf783d6,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,106510,0.0-5.0-0.3,6brxae7l,,,,,,2083.0,3,67d5ad565d7133672bf783d6,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,107350,0.0-5.0-0.4,6brxae7l,,,,,,838.0,2,67d5ad565d7133672bf783d6,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,108278,0.0-5.0-0.5,6brxae7l,,,,,,927.0,3,67d5ad565d7133672bf783d6,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,109197,0.0-5.0-0.6,6brxae7l,,,,,,917.0,1,67d5ad565d7133672bf783d6,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,109909,0.0-5.0-0.7,6brxae7l,,,,,,711.0,2,67d5ad565d7133672bf783d6,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,110650,0.0-5.0-0.8,6brxae7l,,,,,,739.0,3,67d5ad565d7133672bf783d6,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,111480,0.0-5.0-0.9,6brxae7l,,,,,,828.0,2,67d5ad565d7133672bf783d6,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,112212,0.0-5.0-0.10,6brxae7l,,,,,,730.0,1,67d5ad565d7133672bf783d6,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,113111,0.0-5.0-0.11,6brxae7l,,,,,,898.0,3,67d5ad565d7133672bf783d6,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,157514,0.0-6.0-0.0,6brxae7l,,,,,,44402.0,,67d5ad565d7133672bf783d6,"[{""page_index"":0,""viewing_time"":1630},{""page_index"":1,""viewing_time"":19895},{""page_index"":2,""viewing_time"":18734},{""page_index"":3,""viewing_time"":4143}]",,,,,,,,,,,,,,,,,
introduction,19,226660,0.0-8.0-0.0,6brxae7l,,,,,,,,67d5ad565d7133672bf783d6,,img/Red_circle.png,1959.0,calibration,,,,,,,,,,,,,,
introduction,20,231311,0.0-8.0-1.0-0.0,6brxae7l,,,,,,4609.0,2321,67d5ad565d7133672bf783d6,,2321,,calibration,,,,,,,,,,,,,,
